id,profession,equipid,equipsuit,equipplace,hp,minAttack,maxAttack,minDef,maxDef,strengthmax,kind,fire,ice,poison,dark,wind,resistance,atk_percent
1,3,145161301,2,11,0,8,19,0,0,32,1,0,0,0,0,0,0,0
2,1,145152101,1,2,270,0,0,3,7,32,1,0,0,0,0,0,0,0
3,2,145152201,1,2,270,0,0,3,7,32,1,0,0,0,0,0,0,0
4,1,145161101,2,11,0,8,19,0,0,32,1,0,0,0,0,0,0,0
5,3,145152301,1,2,270,0,0,3,7,32,1,0,0,0,0,0,0,0
6,2,145161201,2,11,0,8,19,0,0,32,1,0,0,0,0,0,0,0
7,2,145161210,2,11,0,19,46,0,0,32,1,0,0,0,0,0,0,0
8,3,145161310,2,11,0,19,46,0,0,32,1,0,0,0,0,0,0,0
9,3,145162310,2,12,0,10,25,0,0,32,1,0,0,0,0,0,0,0
10,1,145158110,2,8,0,9,21,0,0,32,1,0,0,0,0,0,0,0
11,1,145159110,2,9,0,7,18,0,0,32,1,0,0,0,0,0,0,0
12,2,145153210,1,3,337,0,0,3,8,32,1,0,0,0,0,0,0,0
13,1,145156110,1,6,562,0,0,0,0,32,1,0,0,0,0,0,0,0
14,3,145159310,2,9,0,7,18,0,0,32,1,0,0,0,0,0,0,0
15,2,145156210,1,6,562,0,0,0,0,32,1,0,0,0,0,0,0,0
16,1,145160110,2,10,0,7,18,0,0,32,1,0,0,0,0,0,0,0
17,1,145151110,1,1,0,0,0,6,15,32,1,0,0,0,0,0,0,0
18,2,145162210,2,12,0,10,25,0,0,32,1,0,0,0,0,0,0,0
19,1,145162110,2,12,0,10,25,0,0,32,1,0,0,0,0,0,0,0
20,1,145155110,1,5,675,0,0,0,0,32,1,0,0,0,0,0,0,0
21,1,145153110,1,3,337,0,0,3,8,32,1,0,0,0,0,0,0,0
22,1,145152110,1,2,675,0,0,7,18,32,1,0,0,0,0,0,0,0
23,2,145158210,2,8,0,9,21,0,0,32,1,0,0,0,0,0,0,0
24,3,145158310,2,8,0,9,21,0,0,32,1,0,0,0,0,0,0,0
25,3,145155310,1,5,675,0,0,0,0,32,1,0,0,0,0,0,0,0
26,2,145155210,1,5,675,0,0,0,0,32,1,0,0,0,0,0,0,0
27,3,145153310,1,3,337,0,0,3,8,32,1,0,0,0,0,0,0,0
28,3,145152310,1,2,675,0,0,7,18,32,1,0,0,0,0,0,0,0
29,3,145160310,2,10,0,7,18,0,0,32,1,0,0,0,0,0,0,0
30,2,145160210,2,10,0,7,18,0,0,32,1,0,0,0,0,0,0,0
31,2,145152210,1,2,675,0,0,7,18,32,1,0,0,0,0,0,0,0
32,2,145151210,1,1,0,0,0,6,15,32,1,0,0,0,0,0,0,0
33,3,145156310,1,6,562,0,0,0,0,32,1,0,0,0,0,0,0,0
34,3,145151310,1,1,0,0,0,6,15,32,1,0,0,0,0,0,0,0
35,2,145159210,2,9,0,7,18,0,0,32,1,0,0,0,0,0,0,0
36,1,145161110,2,11,0,19,46,0,0,32,1,0,0,0,0,0,0,0
37,3,145152320,1,2,1350,0,0,16,37,32,1,0,0,0,0,0,0,0
38,2,142162220,2,12,0,172,403,0,0,32,1,0,0,0,0,0,0,0
39,1,142160120,2,10,0,129,302,0,0,32,1,0,0,0,0,0,0,0
40,2,142161220,2,11,0,324,756,0,0,32,1,0,0,0,0,0,0,0
41,3,142162320,2,12,0,172,403,0,0,32,1,0,0,0,0,0,0,0
42,1,142158120,2,8,0,151,352,0,0,32,1,0,0,0,0,0,0,0
43,3,142158320,2,8,0,151,352,0,0,32,1,0,0,0,0,0,0,0
44,3,142153320,1,3,5400,0,0,64,151,32,1,0,0,0,0,0,0,0
45,1,145156120,1,6,1125,0,0,0,0,32,1,0,0,0,0,0,0,0
46,2,143158220,2,8,0,88,205,0,0,32,1,0,0,0,0,0,0,0
47,3,144156320,1,6,2250,0,0,0,0,32,1,0,0,0,0,0,0,0
48,2,143159220,2,9,0,75,176,0,0,32,1,0,0,0,0,0,0,0
49,1,142162120,2,12,0,172,403,0,0,32,1,0,0,0,0,0,0,0
50,3,143156320,1,6,5250,0,0,0,0,32,1,0,0,0,0,0,0,0
51,3,145159320,2,9,0,16,37,0,0,32,1,0,0,0,0,0,0,0
52,2,145156220,1,6,1125,0,0,0,0,32,1,0,0,0,0,0,0,0
53,1,143152120,1,2,6300,0,0,75,176,32,1,0,0,0,0,0,0,0
54,3,145161320,2,11,0,40,93,0,0,32,1,0,0,0,0,0,0,0
55,3,144153320,1,3,1350,0,0,16,37,32,1,0,0,0,0,0,0,0
56,2,143152220,1,2,6300,0,0,75,176,32,1,0,0,0,0,0,0,0
57,1,143158120,2,8,0,88,205,0,0,32,1,0,0,0,0,0,0,0
58,1,145160120,2,10,0,16,37,0,0,32,1,0,0,0,0,0,0,0
59,2,143161220,2,11,0,189,441,0,0,32,1,0,0,0,0,0,0,0
60,3,143162320,2,12,0,100,235,0,0,32,1,0,0,0,0,0,0,0
61,3,143155320,1,5,6300,0,0,0,0,32,1,0,0,0,0,0,0,0
62,2,144161220,2,11,0,81,189,0,0,32,1,0,0,0,0,0,0,0
63,3,143153320,1,3,3150,0,0,37,88,32,1,0,0,0,0,0,0,0
64,3,142156320,1,6,9000,0,0,0,0,32,1,0,0,0,0,0,0,0
65,3,142159320,2,9,0,129,302,0,0,32,1,0,0,0,0,0,0,0
66,1,142159120,2,9,0,129,302,0,0,32,1,0,0,0,0,0,0,0
67,3,143160320,2,10,0,75,176,0,0,32,1,0,0,0,0,0,0,0
68,1,145159120,2,9,0,16,37,0,0,32,1,0,0,0,0,0,0,0
69,2,142156220,1,6,9000,0,0,0,0,32,1,0,0,0,0,0,0,0
70,1,142151120,1,1,0,0,0,108,252,32,1,0,0,0,0,0,0,0
71,1,144152120,1,2,2700,0,0,32,75,32,1,0,0,0,0,0,0,0
72,3,144161320,2,11,0,81,189,0,0,32,1,0,0,0,0,0,0,0
73,2,145153220,1,3,675,0,0,7,18,32,1,0,0,0,0,0,0,0
74,1,142153120,1,3,5400,0,0,64,151,32,1,0,0,0,0,0,0,0
75,3,143159320,2,9,0,75,176,0,0,32,1,0,0,0,0,0,0,0
76,2,145158220,2,8,0,18,43,0,0,32,1,0,0,0,0,0,0,0
77,2,142151220,1,1,0,0,0,108,252,32,1,0,0,0,0,0,0,0
78,2,144152220,1,2,2700,0,0,32,75,32,1,0,0,0,0,0,0,0
79,3,144160320,2,10,0,32,75,0,0,32,1,0,0,0,0,0,0,0
80,3,142151320,1,1,0,0,0,108,252,32,1,0,0,0,0,0,0,0
81,2,143156220,1,6,5250,0,0,0,0,32,1,0,0,0,0,0,0,0
82,1,144153120,1,3,1350,0,0,16,37,32,1,0,0,0,0,0,0,0
83,2,142159220,2,9,0,129,302,0,0,32,1,0,0,0,0,0,0,0
84,1,145152120,1,2,1350,0,0,16,37,32,1,0,0,0,0,0,0,0
85,2,143151220,1,1,0,0,0,63,147,32,1,0,0,0,0,0,0,0
86,2,143155220,1,5,6300,0,0,0,0,32,1,0,0,0,0,0,0,0
87,3,145158320,2,8,0,18,43,0,0,32,1,0,0,0,0,0,0,0
88,2,144153220,1,3,1350,0,0,16,37,32,1,0,0,0,0,0,0,0
89,1,145151120,1,1,0,0,0,13,30,32,1,0,0,0,0,0,0,0
90,3,142161320,2,11,0,324,756,0,0,32,1,0,0,0,0,0,0,0
91,3,143152320,1,2,6300,0,0,75,176,32,1,0,0,0,0,0,0,0
92,3,145155320,1,5,1350,0,0,0,0,32,1,0,0,0,0,0,0,0
93,1,143155120,1,5,6300,0,0,0,0,32,1,0,0,0,0,0,0,0
94,3,145156320,1,6,1125,0,0,0,0,32,1,0,0,0,0,0,0,0
95,3,145153320,1,3,675,0,0,7,18,32,1,0,0,0,0,0,0,0
96,2,144160220,2,10,0,32,75,0,0,32,1,0,0,0,0,0,0,0
97,3,144155320,1,5,2700,0,0,0,0,32,1,0,0,0,0,0,0,0
98,2,145152220,1,2,1350,0,0,16,37,32,1,0,0,0,0,0,0,0
99,3,145160320,2,10,0,16,37,0,0,32,1,0,0,0,0,0,0,0
100,3,144152320,1,2,2700,0,0,32,75,32,1,0,0,0,0,0,0,0
101,2,145151220,1,1,0,0,0,13,30,32,1,0,0,0,0,0,0,0
102,3,142160320,2,10,0,129,302,0,0,32,1,0,0,0,0,0,0,0
103,3,143151320,1,1,0,0,0,63,147,32,1,0,0,0,0,0,0,0
104,1,142161120,2,11,0,324,756,0,0,32,1,0,0,0,0,0,0,0
105,3,143158320,2,8,0,88,205,0,0,32,1,0,0,0,0,0,0,0
106,3,144151320,1,1,0,0,0,27,63,32,1,0,0,0,0,0,0,0
107,2,142155220,1,5,10800,0,0,0,0,32,1,0,0,0,0,0,0,0
108,2,143153220,1,3,3150,0,0,37,88,32,1,0,0,0,0,0,0,0
109,1,144161120,2,11,0,81,189,0,0,32,1,0,0,0,0,0,0,0
110,1,144151120,1,1,0,0,0,27,63,32,1,0,0,0,0,0,0,0
111,3,142152320,1,2,10800,0,0,129,302,32,1,0,0,0,0,0,0,0
112,3,144158320,2,8,0,37,88,0,0,32,1,0,0,0,0,0,0,0
113,2,144158220,2,8,0,37,88,0,0,32,1,0,0,0,0,0,0,0
114,1,142155120,1,5,10800,0,0,0,0,32,1,0,0,0,0,0,0,0
115,2,145162220,2,12,0,21,50,0,0,32,1,0,0,0,0,0,0,0
116,1,145155120,1,5,1350,0,0,0,0,32,1,0,0,0,0,0,0,0
117,3,144159320,2,9,0,32,75,0,0,32,1,0,0,0,0,0,0,0
118,2,143160220,2,10,0,75,176,0,0,32,1,0,0,0,0,0,0,0
119,2,142152220,1,2,10800,0,0,129,302,32,1,0,0,0,0,0,0,0
120,3,142155320,1,5,10800,0,0,0,0,32,1,0,0,0,0,0,0,0
121,2,144151220,1,1,0,0,0,27,63,32,1,0,0,0,0,0,0,0
122,3,144162320,2,12,0,43,100,0,0,32,1,0,0,0,0,0,0,0
123,1,144158120,2,8,0,37,88,0,0,32,1,0,0,0,0,0,0,0
124,1,142156120,1,6,9000,0,0,0,0,32,1,0,0,0,0,0,0,0
125,1,143156120,1,6,5250,0,0,0,0,32,1,0,0,0,0,0,0,0
126,2,145159220,2,9,0,16,37,0,0,32,1,0,0,0,0,0,0,0
