id,colour,property_type,property_mix,property_max,percent
1,1,1,375,1125,7143
2,2,1,1500,2250,4286
3,3,1,2625,3375,2571
4,4,1,4125,5250,261
5,5,1,6000,7500,24
6,1,2,8,23,7143
7,2,2,30,45,4286
8,3,2,53,68,2571
9,4,2,83,105,261
10,5,2,120,150,24
11,1,3,8,23,7144
12,2,3,30,45,4286
13,3,3,53,68,2571
14,4,3,83,105,261
15,5,3,120,150,24
16,1,4,4,11,7144
17,2,4,15,23,4286
18,3,4,26,34,2571
19,4,4,41,53,261
20,5,4,60,75,24
21,1,5,4,11,7144
22,2,5,15,23,4286
23,3,5,26,34,2571
24,4,5,41,53,261
25,5,5,60,75,24
26,1,6,8,23,7144
27,2,6,30,45,4286
28,3,6,53,68,2571
29,4,6,83,105,261
30,5,6,120,150,24
31,1,7,8,23,7144
32,2,7,30,45,4286
33,3,7,53,68,2571
34,4,7,83,105,261
35,5,7,120,150,24
