id,color,level,costid,costnumber
1,2,20,183356001,0
2,2,30,183356001,0
3,2,40,183356001,0
4,2,1050,183356001,0
5,2,3060,183356001,0
6,2,5070,183356001,0
7,2,7080,183356001,0
8,2,9090,183356001,0
9,2,11100,183356001,0
10,2,13110,183356001,0
11,2,15120,183356001,0
12,3,20,183356001,0
13,3,30,183356001,0
14,3,40,183356001,1
15,3,1050,183356001,3
16,3,3060,183356001,6
17,3,5070,183356001,10
18,3,7080,183356001,15
19,3,9090,183356001,20
20,3,11100,183356001,30
21,3,13110,183356001,40
22,3,15120,183356001,50
23,4,20,183356001,0
24,4,30,183356001,0
25,4,40,183356001,1
26,4,1050,183356001,3
27,4,3060,183356001,6
28,4,5070,183356001,10
29,4,7080,183356001,15
30,4,9090,183356001,20
31,4,11100,183356001,30
32,4,13110,183356001,40
33,4,15120,183356001,50
34,5,20,183356001,0
35,5,30,183356001,1
36,5,40,183356001,2
37,5,1050,183356001,6
38,5,3060,183356001,12
39,5,5070,183356001,20
40,5,7080,183356001,30
41,5,9090,183356001,40
42,5,11100,183356001,60
43,5,13110,183356001,80
44,5,15120,183356001,100
45,6,20,183356001,0
46,6,30,183356001,2
47,6,40,183356001,4
48,6,1050,183356001,12
49,6,3060,183356001,24
50,6,5070,183356001,40
51,6,7080,183356001,60
52,6,9090,183356001,80
53,6,11100,183356001,120
54,6,13110,183356001,160
55,6,15120,183356001,200
