id,nowobjectid,nextobjectid,stoneid,stonenum,goldnum
1,143151130,142151130,182353001,1,300000
2,143152130,142152130,182353001,2,600000
3,143153130,142153130,182353001,1,300000
4,143154130,142154130,182353001,1,300000
5,143155130,142155130,182353001,1,300000
6,143156130,142156130,182353001,1,300000
7,143157130,142157130,182353001,1,300000
8,143158130,142158130,182353001,1,300000
9,143159130,142159130,182353001,1,300000
10,143160130,142160130,182353001,1,300000
11,143161130,142161130,182353001,2,600000
12,143162130,142162130,182353001,1,300000
13,143151230,142151230,182353001,1,300000
14,143152230,142152230,182353001,2,600000
15,143153230,142153230,182353001,1,300000
16,143154230,142154230,182353001,1,300000
17,143155230,142155230,182353001,1,300000
18,143156230,142156230,182353001,1,300000
19,143157230,142157230,182353001,1,300000
20,143158230,142158230,182353001,1,300000
21,143159230,142159230,182353001,1,300000
22,143160230,142160230,182353001,1,300000
23,143161230,142161230,182353001,2,600000
24,143162230,142162230,182353001,1,300000
25,143151330,142151330,182353001,1,300000
26,143152330,142152330,182353001,2,600000
27,143153330,142153330,182353001,1,300000
28,143154330,142154330,182353001,1,300000
29,143155330,142155330,182353001,1,300000
30,143156330,142156330,182353001,1,300000
31,143157330,142157330,182353001,1,300000
32,143158330,142158330,182353001,1,300000
33,143159330,142159330,182353001,1,300000
34,143160330,142160330,182353001,1,300000
35,143161330,142161330,182353001,2,600000
36,143162330,142162330,182353001,1,300000
37,143151140,142151140,182353001,3,900000
38,143152140,142152140,182353001,6,1800000
39,143153140,142153140,182353001,3,900000
40,143154140,142154140,182353001,3,900000
41,143155140,142155140,182353001,3,900000
42,143156140,142156140,182353001,3,900000
43,143157140,142157140,182353001,3,900000
44,143158140,142158140,182353001,3,900000
45,143159140,142159140,182353001,3,900000
46,143160140,142160140,182353001,3,900000
47,143161140,142161140,182353001,6,1800000
48,143162140,142162140,182353001,3,900000
49,143151240,142151240,182353001,3,900000
50,143152240,142152240,182353001,6,1800000
51,143153240,142153240,182353001,3,900000
52,143154240,142154240,182353001,3,900000
53,143155240,142155240,182353001,3,900000
54,143156240,142156240,182353001,3,900000
55,143157240,142157240,182353001,3,900000
56,143158240,142158240,182353001,3,900000
57,143159240,142159240,182353001,3,900000
58,143160240,142160240,182353001,3,900000
59,143161240,142161240,182353001,6,1800000
60,143162240,142162240,182353001,3,900000
61,143151340,142151340,182353001,3,900000
62,143152340,142152340,182353001,6,1800000
63,143153340,142153340,182353001,3,900000
64,143154340,142154340,182353001,3,900000
65,143155340,142155340,182353001,3,900000
66,143156340,142156340,182353001,3,900000
67,143157340,142157340,182353001,3,900000
68,143158340,142158340,182353001,3,900000
69,143159340,142159340,182353001,3,900000
70,143160340,142160340,182353001,3,900000
71,143161340,142161340,182353001,6,1800000
72,143162340,142162340,182353001,3,900000
73,143151150,142151150,182353001,6,1800000
74,143152150,142152150,182353001,12,3600000
75,143153150,142153150,182353001,6,1800000
76,143154150,142154150,182353001,6,1800000
77,143155150,142155150,182353001,6,1800000
78,143156150,142156150,182353001,6,1800000
79,143157150,142157150,182353001,6,1800000
80,143158150,142158150,182353001,6,1800000
81,143159150,142159150,182353001,6,1800000
82,143160150,142160150,182353001,6,1800000
83,143161150,142161150,182353001,12,3600000
84,143162150,142162150,182353001,6,1800000
85,143151250,142151250,182353001,6,1800000
