strengthlv,costgold,coststoneid,coststonenum,minperfect,maxperfect,perfectid,perfectnum
1,800,195401001,1,100,100,-1,0
2,800,195401001,1,50,80,-1,0
3,800,195401001,1,40,60,-1,0
4,800,195401001,1,30,50,-1,0
5,1600,195401001,2,20,40,-1,0
6,1600,195401001,2,16,36,-1,0
7,1600,195401001,2,14,34,-1,0
8,1600,195401001,2,12,32,-1,0
9,2800,194401002,1,20,40,194404005,1
10,2800,194401002,1,16,36,194404005,1
11,2800,194401002,1,14,34,194404005,1
12,2800,194401002,1,12,32,194404005,1
13,5600,194401002,2,20,40,194404004,1
14,5600,194401002,2,16,36,194404004,1
15,5600,194401002,2,14,34,194404004,1
16,5600,194401002,2,12,32,194404004,1
17,9800,193401003,1,16,36,193404003,1
18,9800,193401003,1,12,32,193404003,1
19,9800,193401003,1,8,28,193404003,1
20,9800,193401003,1,8,24,193404003,1
21,19600,193401003,2,16,36,193404002,1
22,19600,193401003,2,12,32,193404002,1
23,19600,193401003,2,8,28,193404002,1
24,19600,193401003,2,8,24,193404002,1
25,36800,192401004,1,16,36,192404001,1
26,36800,192401004,1,12,32,192404001,1
27,36800,192401004,1,8,28,192404001,1
28,36800,192401004,1,8,24,192404001,1
29,36800,192401004,2,12,32,192404001,1
30,36800,192401004,2,10,28,192404001,1
31,36800,192401004,2,8,24,192404001,1
32,36800,192401004,2,6,20,192404001,1
