id,strengthlv,part,atk,def,hp,fire,ice,poison,dark,wind,resistance,atk_percent
1,1,1,0,8,0,0,0,0,0,0,0,0
2,2,1,0,19,0,0,0,0,0,0,0,0
3,3,1,0,33,0,0,0,0,0,0,0,0
4,4,1,0,50,0,0,0,0,0,0,0,0
5,5,1,0,69,0,0,0,0,0,0,0,0
6,6,1,0,91,0,0,0,0,0,0,0,0
7,7,1,0,116,0,0,0,0,0,0,0,0
8,8,1,0,144,0,0,0,0,0,0,0,0
9,9,1,0,175,0,0,0,0,0,0,0,0
10,10,1,0,209,0,0,0,0,0,0,0,0
11,11,1,0,246,0,0,0,0,0,0,0,0
12,12,1,0,286,0,0,0,0,0,0,0,0
13,13,1,0,329,0,0,0,0,0,0,0,0
14,14,1,0,375,0,0,0,0,0,0,0,0
15,15,1,0,424,0,0,0,0,0,0,0,0
16,16,1,0,476,0,0,0,0,0,0,0,0
17,17,1,0,531,0,0,0,0,0,0,0,0
18,18,1,0,589,0,0,0,0,0,0,0,0
19,19,1,0,650,0,0,0,0,0,0,0,0
20,20,1,0,714,0,0,0,0,0,0,0,0
21,21,1,0,781,0,0,0,0,0,0,0,0
22,22,1,0,851,0,0,0,0,0,0,0,0
23,23,1,0,924,0,0,0,0,0,0,0,0
24,24,1,0,1000,0,0,0,0,0,0,0,0
25,25,1,0,1079,0,0,0,0,0,0,0,0
26,26,1,0,1161,0,0,0,0,0,0,0,0
27,27,1,0,1246,0,0,0,0,0,0,0,0
28,28,1,0,1334,0,0,0,0,0,0,0,0
29,29,1,0,1425,0,0,0,0,0,0,0,0
30,30,1,0,1519,0,0,0,0,0,0,0,0
31,31,1,0,1616,0,0,0,0,0,0,0,0
32,32,1,0,1716,0,0,0,0,0,0,0,0
33,1,2,0,10,480,0,0,0,0,0,0,0
34,2,2,0,23,1140,0,0,0,0,0,0,0
35,3,2,0,40,1980,0,0,0,0,0,0,0
36,4,2,0,60,3000,0,0,0,0,0,0,0
37,5,2,0,83,4140,0,0,0,0,0,0,0
38,6,2,0,109,5460,0,0,0,0,0,0,0
39,7,2,0,139,6960,0,0,0,0,0,0,0
40,8,2,0,173,8640,0,0,0,0,0,0,0
41,9,2,0,210,10500,0,0,0,0,0,0,0
42,10,2,0,251,12540,0,0,0,0,0,0,0
43,11,2,0,295,14760,0,0,0,0,0,0,0
44,12,2,0,343,17160,0,0,0,0,0,0,0
45,13,2,0,395,19740,0,0,0,0,0,0,0
46,14,2,0,450,22500,0,0,0,0,0,0,0
47,15,2,0,509,25440,0,0,0,0,0,0,0
48,16,2,0,571,28560,0,0,0,0,0,0,0
49,17,2,0,637,31860,0,0,0,0,0,0,0
50,18,2,0,707,35340,0,0,0,0,0,0,0
51,19,2,0,780,39000,0,0,0,0,0,0,0
52,20,2,0,857,42840,0,0,0,0,0,0,0
53,21,2,0,937,46860,0,0,0,0,0,0,0
54,22,2,0,1021,51060,0,0,0,0,0,0,0
55,23,2,0,1109,55440,0,0,0,0,0,0,0
56,24,2,0,1200,60000,0,0,0,0,0,0,0
57,25,2,0,1295,64740,0,0,0,0,0,0,0
58,26,2,0,1393,69660,0,0,0,0,0,0,0
59,27,2,0,1495,74760,0,0,0,0,0,0,0
60,28,2,0,1601,80040,0,0,0,0,0,0,0
61,29,2,0,1710,85500,0,0,0,0,0,0,0
62,30,2,0,1823,91140,0,0,0,0,0,0,0
63,31,2,0,1939,96960,0,0,0,0,0,0,0
64,32,2,0,2059,102960,0,0,0,0,0,0,0
65,1,3,0,5,240,0,0,0,0,0,0,0
66,2,3,0,11,570,0,0,0,0,0,0,0
67,3,3,0,20,990,0,0,0,0,0,0,0
68,4,3,0,30,1500,0,0,0,0,0,0,0
69,5,3,0,41,2070,0,0,0,0,0,0,0
70,6,3,0,55,2730,0,0,0,0,0,0,0
71,7,3,0,70,3480,0,0,0,0,0,0,0
72,8,3,0,86,4320,0,0,0,0,0,0,0
73,9,3,0,105,5250,0,0,0,0,0,0,0
74,10,3,0,125,6270,0,0,0,0,0,0,0
75,11,3,0,148,7380,0,0,0,0,0,0,0
76,12,3,0,172,8580,0,0,0,0,0,0,0
77,13,3,0,197,9870,0,0,0,0,0,0,0
78,14,3,0,225,11250,0,0,0,0,0,0,0
79,15,3,0,254,12720,0,0,0,0,0,0,0
80,16,3,0,286,14280,0,0,0,0,0,0,0
81,17,3,0,319,15930,0,0,0,0,0,0,0
82,18,3,0,353,17670,0,0,0,0,0,0,0
83,19,3,0,390,19500,0,0,0,0,0,0,0
84,20,3,0,428,21420,0,0,0,0,0,0,0
85,21,3,0,469,23430,0,0,0,0,0,0,0
86,22,3,0,511,25530,0,0,0,0,0,0,0
87,23,3,0,554,27720,0,0,0,0,0,0,0
88,24,3,0,600,30000,0,0,0,0,0,0,0
89,25,3,0,647,32370,0,0,0,0,0,0,0
90,26,3,0,697,34830,0,0,0,0,0,0,0
91,27,3,0,748,37380,0,0,0,0,0,0,0
92,28,3,0,800,40020,0,0,0,0,0,0,0
93,29,3,0,855,42750,0,0,0,0,0,0,0
94,30,3,0,911,45570,0,0,0,0,0,0,0
95,31,3,0,970,48480,0,0,0,0,0,0,0
96,32,3,0,1030,51480,0,0,0,0,0,0,0
97,1,4,13,0,0,0,0,0,0,0,0,0
98,2,4,30,0,0,0,0,0,0,0,0,0
99,3,4,53,0,0,0,0,0,0,0,0,0
100,4,4,80,0,0,0,0,0,0,0,0,0
101,5,4,110,0,0,0,0,0,0,0,0,0
102,6,4,145,0,0,0,0,0,0,0,0,0
103,7,4,185,0,0,0,0,0,0,0,0,0
104,8,4,230,0,0,0,0,0,0,0,0,0
105,9,4,280,0,0,0,0,0,0,0,0,0
106,10,4,334,0,0,0,0,0,0,0,0,0
107,11,4,393,0,0,0,0,0,0,0,0,0
108,12,4,457,0,0,0,0,0,0,0,0,0
109,13,4,526,0,0,0,0,0,0,0,0,0
110,14,4,600,0,0,0,0,0,0,0,0,0
111,15,4,678,0,0,0,0,0,0,0,0,0
112,16,4,761,0,0,0,0,0,0,0,0,0
113,17,4,849,0,0,0,0,0,0,0,0,0
114,18,4,942,0,0,0,0,0,0,0,0,0
115,19,4,1040,0,0,0,0,0,0,0,0,0
116,20,4,1142,0,0,0,0,0,0,0,0,0
117,21,4,1249,0,0,0,0,0,0,0,0,0
118,22,4,1361,0,0,0,0,0,0,0,0,0
119,23,4,1478,0,0,0,0,0,0,0,0,0
120,24,4,1600,0,0,0,0,0,0,0,0,0
121,25,4,1726,0,0,0,0,0,0,0,0,0
122,26,4,1857,0,0,0,0,0,0,0,0,0
123,27,4,1993,0,0,0,0,0,0,0,0,0
124,28,4,2134,0,0,0,0,0,0,0,0,0
125,29,4,2280,0,0,0,0,0,0,0,0,0
126,30,4,2430,0,0,0,0,0,0,0,0,0
127,31,4,2585,0,0,0,0,0,0,0,0,0
128,32,4,2745,0,0,0,0,0,0,0,0,0
129,1,5,0,0,480,0,0,0,0,0,0,0
130,2,5,0,0,1140,0,0,0,0,0,0,0
131,3,5,0,0,1980,0,0,0,0,0,0,0
132,4,5,0,0,3000,0,0,0,0,0,0,0
133,5,5,0,0,4140,0,0,0,0,0,0,0
134,6,5,0,0,5460,0,0,0,0,0,0,0
135,7,5,0,0,6960,0,0,0,0,0,0,0
136,8,5,0,0,8640,0,0,0,0,0,0,0
137,9,5,0,0,10500,0,0,0,0,0,0,0
138,10,5,0,0,12540,0,0,0,0,0,0,0
139,11,5,0,0,14760,0,0,0,0,0,0,0
140,12,5,0,0,17160,0,0,0,0,0,0,0
141,13,5,0,0,19740,0,0,0,0,0,0,0
142,14,5,0,0,22500,0,0,0,0,0,0,0
143,15,5,0,0,25440,0,0,0,0,0,0,0
144,16,5,0,0,28560,0,0,0,0,0,0,0
145,17,5,0,0,31860,0,0,0,0,0,0,0
146,18,5,0,0,35340,0,0,0,0,0,0,0
147,19,5,0,0,39000,0,0,0,0,0,0,0
148,20,5,0,0,42840,0,0,0,0,0,0,0
149,21,5,0,0,46860,0,0,0,0,0,0,0
150,22,5,0,0,51060,0,0,0,0,0,0,0
151,23,5,0,0,55440,0,0,0,0,0,0,0
152,24,5,0,0,60000,0,0,0,0,0,0,0
153,25,5,0,0,64740,0,0,0,0,0,0,0
154,26,5,0,0,69660,0,0,0,0,0,0,0
155,27,5,0,0,74760,0,0,0,0,0,0,0
156,28,5,0,0,80040,0,0,0,0,0,0,0
157,29,5,0,0,85500,0,0,0,0,0,0,0
158,30,5,0,0,91140,0,0,0,0,0,0,0
159,31,5,0,0,96960,0,0,0,0,0,0,0
160,32,5,0,0,102960,0,0,0,0,0,0,0
161,1,6,0,0,400,0,0,0,0,0,0,0
162,2,6,0,0,950,0,0,0,0,0,0,0
163,3,6,0,0,1650,0,0,0,0,0,0,0
164,4,6,0,0,2500,0,0,0,0,0,0,0
165,5,6,0,0,3450,0,0,0,0,0,0,0
166,6,6,0,0,4550,0,0,0,0,0,0,0
167,7,6,0,0,5800,0,0,0,0,0,0,0
168,8,6,0,0,7200,0,0,0,0,0,0,0
169,9,6,0,0,8750,0,0,0,0,0,0,0
170,10,6,0,0,10450,0,0,0,0,0,0,0
171,11,6,0,0,12300,0,0,0,0,0,0,0
172,12,6,0,0,14300,0,0,0,0,0,0,0
173,13,6,0,0,16450,0,0,0,0,0,0,0
174,14,6,0,0,18750,0,0,0,0,0,0,0
175,15,6,0,0,21200,0,0,0,0,0,0,0
176,16,6,0,0,23800,0,0,0,0,0,0,0
177,17,6,0,0,26550,0,0,0,0,0,0,0
178,18,6,0,0,29450,0,0,0,0,0,0,0
179,19,6,0,0,32500,0,0,0,0,0,0,0
180,20,6,0,0,35700,0,0,0,0,0,0,0
181,21,6,0,0,39050,0,0,0,0,0,0,0
182,22,6,0,0,42550,0,0,0,0,0,0,0
