id,level,color,suit,number,property_type,property
1,20,4,1,3,1,1000
2,30,4,1,3,1,2000
3,40,4,1,3,1,3000
4,50,4,1,3,1,4000
5,60,4,1,3,1,5000
6,70,4,1,3,1,6000
7,80,4,1,3,1,7000
8,90,4,1,3,1,8000
9,100,4,1,3,1,9000
10,30,5,1,3,1,10000
11,40,5,1,3,1,13000
12,50,5,1,3,1,16000
13,60,5,1,3,1,19000
14,70,5,1,3,1,22000
15,80,5,1,3,1,25000
16,90,5,1,3,1,30000
17,100,5,1,3,1,35000
18,50,6,1,3,1,40000
19,60,6,1,3,1,45000
20,70,6,1,3,1,50000
21,80,6,1,3,1,55000
22,90,6,1,3,1,60000
23,100,6,1,3,1,65000
24,20,4,1,6,10,20
25,30,4,1,6,10,40
26,40,4,1,6,10,60
27,50,4,1,6,10,80
28,60,4,1,6,10,100
29,70,4,1,6,10,120
30,80,4,1,6,10,140
31,90,4,1,6,10,160
32,100,4,1,6,10,180
33,30,5,1,6,10,200
34,40,5,1,6,10,260
35,50,5,1,6,10,320
36,60,5,1,6,10,380
37,70,5,1,6,10,440
38,80,5,1,6,10,500
39,90,5,1,6,10,600
40,100,5,1,6,10,700
41,50,6,1,6,10,800
42,60,6,1,6,10,900
43,70,6,1,6,10,1000
44,80,6,1,6,10,1100
45,90,6,1,6,10,1200
46,100,6,1,6,10,1300
47,20,4,2,3,2,20
48,30,4,2,3,2,40
49,40,4,2,3,2,60
50,50,4,2,3,2,80
51,60,4,2,3,2,100
52,70,4,2,3,2,120
53,80,4,2,3,2,140
54,90,4,2,3,2,160
55,100,4,2,3,2,180
56,30,5,2,3,2,200
57,40,5,2,3,2,260
58,50,5,2,3,2,320
59,60,5,2,3,2,380
60,70,5,2,3,2,440
61,80,5,2,3,2,500
62,90,5,2,3,2,600
63,100,5,2,3,2,700
64,50,6,2,3,2,800
65,60,6,2,3,2,900
66,70,6,2,3,2,1000
67,80,6,2,3,2,1100
68,90,6,2,3,2,1200
69,100,6,2,3,2,1300
70,20,4,2,6,9,20
71,30,4,2,6,9,40
72,40,4,2,6,9,60
73,50,4,2,6,9,80
74,60,4,2,6,9,100
75,70,4,2,6,9,120
76,80,4,2,6,9,140
77,90,4,2,6,9,160
78,100,4,2,6,9,180
79,30,5,2,6,9,200
80,40,5,2,6,9,260
81,50,5,2,6,9,320
82,60,5,2,6,9,380
83,70,5,2,6,9,440
84,80,5,2,6,9,500
85,90,5,2,6,9,600
86,100,5,2,6,9,700
87,50,6,2,6,9,800
88,60,6,2,6,9,900
89,70,6,2,6,9,1000
90,80,6,2,6,9,1100
91,90,6,2,6,9,1200
92,100,6,2,6,9,1300
93,40,3,3,4,9,50
94,60,3,3,4,9,100
95,80,3,3,4,9,150
96,90,3,3,4,9,200
97,100,3,3,4,9,250
98,40,4,3,4,9,300
99,60,4,3,4,9,350
100,80,4,3,4,9,400
101,90,4,3,4,9,450
102,100,4,3,4,9,500
103,40,5,3,4,9,550
104,60,5,3,4,9,600
105,80,5,3,4,9,650
106,90,5,3,4,9,700
107,100,5,3,4,9,750
108,40,6,3,4,9,800
109,60,6,3,4,9,900
110,80,6,3,4,9,1000
111,90,6,3,4,9,1100
112,100,6,3,4,9,1200
113,40,3,3,2,10,50
114,60,3,3,2,10,100
115,80,3,3,2,10,150
116,90,3,3,2,10,200
117,100,3,3,2,10,250
118,40,4,3,2,10,300
119,60,4,3,2,10,350
120,80,4,3,2,10,400
121,90,4,3,2,10,450
122,100,4,3,2,10,500
123,40,5,3,2,10,550
124,60,5,3,2,10,600
125,80,5,3,2,10,650
126,90,5,3,2,10,700
127,100,5,3,2,10,750
128,40,6,3,2,10,800
129,60,6,3,2,10,900
130,80,6,3,2,10,1000
131,90,6,3,2,10,1100
132,100,6,3,2,10,1200
