id,level,exp
1,1,10000
2,2,11500
3,3,13225
4,4,15208
5,5,17489
6,6,20112
7,7,23128
8,8,26597
9,9,30586
10,10,35173
11,11,40448
12,12,46515
13,13,53492
14,14,61515
15,15,70742
16,16,81353
17,17,93555
18,18,107588
19,19,123726
20,20,142284
21,21,163626
22,22,188169
23,23,216394
24,24,248853
25,25,286180
26,26,329107
27,27,378473
28,28,435243
29,29,500529
30,30,575608
31,31,661949
32,32,761241
33,33,875427
34,34,1006741
35,35,1157752
36,36,1331414
37,37,1531126
38,38,1760794
39,39,2024913
40,40,2328649
41,41,3842271
42,42,4226498
43,43,4649148
44,44,5114063
45,45,5625469
46,46,6188016
47,47,6806817
48,48,7487499
49,49,8236249
50,50,9059874
51,51,9965861
52,52,10962447
53,53,12058692
54,54,13264561
55,55,14591017
56,56,16779670
57,57,19296620
58,58,22191113
59,59,25519780
60,60,29347747
61,61,33749909
62,62,38812396
63,63,44634255
64,64,51329393
65,65,59028802
66,66,67883123
67,67,78065591
68,68,89775430
69,69,103241744
70,70,118728006
71,71,136537207
72,72,157017788
73,73,180570456
74,74,207656024
75,75,238804428
76,76,274625092
77,77,315818856
78,78,363191684
79,79,417670437
80,80,480321003
81,81,552369153
82,82,635224526
83,83,730508205
84,84,840084435
85,85,966097101
86,86,1111011666
87,87,1277663416
88,88,1469312928
89,89,1689709867
90,90,1943166347
91,91,2234641300
92,92,2569837494
93,93,2955313119
94,94,3398610086
95,95,3908401599
96,96,4494661839
97,97,5168861115
98,98,5944190282
99,99,6835818825
100,100,7861191648
