id,fashion_id,fashion_type,rank,health,attack,defence,crit,toughness,hit,dodge,fashion_exp,time
1,112001001,1,1,0,0,100,0,100,0,0,8000,-1
2,112001002,1,2,15000,0,400,0,0,0,0,28000,-1
3,112001003,1,3,5000,0,0,0,200,0,100,20000,-1
4,112001004,1,4,5000,0,0,0,0,0,0,4000,-1
5,112001005,1,5,5000,0,200,0,200,0,0,20000,-1
6,112001006,1,6,5000,0,200,0,200,0,0,20000,-1
7,112001007,1,7,5000,0,200,0,200,0,0,20000,-1
8,112001008,1,8,5000,0,200,0,200,0,0,20000,-1
9,112002001,1,1,0,0,100,0,100,0,0,8000,-1
10,112002002,1,2,15000,0,400,0,0,0,0,28000,-1
11,112002003,1,3,5000,0,0,0,200,0,100,20000,-1
12,112002004,1,4,5000,0,0,0,0,0,0,4000,-1
13,112002005,1,5,5000,0,200,0,200,0,0,20000,-1
14,112002006,1,6,5000,0,200,0,200,0,0,20000,-1
15,112002007,1,7,5000,0,200,0,200,0,0,20000,-1
16,112002008,1,8,5000,0,200,0,200,0,0,20000,-1
17,112003001,1,1,0,0,100,0,100,0,0,8000,-1
18,112003002,1,2,15000,0,400,0,0,0,0,28000,-1
19,112003003,1,3,5000,0,0,0,200,0,100,20000,-1
20,112003004,1,4,5000,0,0,0,0,0,0,4000,-1
21,112003005,1,5,5000,0,200,0,200,0,0,20000,-1
22,112003006,1,6,5000,0,200,0,200,0,0,20000,-1
23,112003007,1,7,5000,0,200,0,200,0,0,20000,-1
24,112003008,1,8,5000,0,200,0,200,0,0,20000,-1
25,112004001,1,1,0,0,100,0,100,0,0,2000,259200
26,112004002,1,2,15000,0,400,0,0,0,0,7000,259200
27,112004003,1,3,5000,0,0,0,200,0,100,5000,259200
28,112004004,1,4,5000,0,0,0,0,0,0,1000,259200
29,112004005,1,5,5000,0,200,0,200,0,0,5000,259200
30,112004006,1,6,5000,0,200,0,200,0,0,5000,259200
31,112004007,1,7,5000,0,200,0,200,0,0,10000,604800
32,112004008,1,8,5000,0,200,0,200,0,0,5000,259200
33,112005001,1,1,0,0,100,0,100,0,0,2000,259200
34,112005002,1,2,15000,0,400,0,0,0,0,7000,259200
35,112005003,1,3,5000,0,0,0,200,0,100,5000,259200
36,112005004,1,4,5000,0,0,0,0,0,0,1000,259200
37,112005005,1,5,5000,0,200,0,200,0,0,5000,259200
38,112005006,1,6,5000,0,200,0,200,0,0,5000,259200
39,112005007,1,7,5000,0,200,0,200,0,0,10000,604800
40,112005008,1,8,5000,0,200,0,200,0,0,5000,259200
41,112006001,1,1,0,0,100,0,100,0,0,2000,259200
42,112006002,1,2,15000,0,400,0,0,0,0,7000,259200
43,112006003,1,3,5000,0,0,0,200,0,100,5000,259200
44,112006004,1,4,5000,0,0,0,0,0,0,1000,259200
45,112006005,1,5,5000,0,200,0,200,0,0,5000,259200
46,112006006,1,6,5000,0,200,0,200,0,0,5000,259200
47,112006007,1,7,5000,0,200,0,200,0,0,10000,604800
48,112006008,1,8,5000,0,200,0,200,0,0,5000,259200
49,112007001,2,1,0,100,0,100,0,0,0,8000,-1
50,112007002,2,2,0,400,0,300,0,0,0,28000,-1
51,112007003,2,3,0,100,0,200,0,100,0,20000,-1
52,112007004,2,4,0,100,0,0,0,0,0,4000,-1
53,112007005,2,5,0,300,0,200,0,100,0,20000,-1
54,112007006,2,6,0,300,0,200,0,100,0,20000,-1
55,112007007,2,7,0,300,0,200,0,100,0,20000,-1
56,112007008,2,8,0,300,0,200,0,100,0,20000,-1
57,112008001,2,1,0,100,0,100,0,0,0,8000,-1
58,112008002,2,2,0,400,0,300,0,0,0,28000,-1
59,112008003,2,3,0,100,0,200,0,100,0,20000,-1
60,112008004,2,4,0,100,0,0,0,0,0,4000,-1
61,112008005,2,5,0,300,0,200,0,100,0,20000,-1
62,112008006,2,6,0,300,0,200,0,100,0,20000,-1
63,112008007,2,7,0,300,0,200,0,100,0,20000,-1
64,112008008,2,8,0,300,0,200,0,100,0,20000,-1
65,112009001,2,1,0,100,0,100,0,0,0,8000,-1
66,112009002,2,2,0,400,0,300,0,0,0,28000,-1
67,112009003,2,3,0,100,0,200,0,100,0,20000,-1
68,112009004,2,4,0,100,0,0,0,0,0,4000,-1
69,112009005,2,5,0,300,0,200,0,100,0,20000,-1
70,112009006,2,6,0,300,0,200,0,100,0,20000,-1
71,112009007,2,7,0,300,0,200,0,100,0,20000,-1
72,112009008,2,8,0,300,0,200,0,100,0,20000,-1
73,112010001,2,1,0,100,0,100,0,0,0,2000,259200
74,112010002,2,2,0,400,0,300,0,0,0,7000,259200
75,112010003,2,3,0,100,0,200,0,100,0,5000,259200
76,112010004,2,4,0,100,0,0,0,0,0,1000,259200
