id,modelid,bones,profession
1,0,zz_Bone001,1
2,0,zz_Bone002,1
3,0,zz_Bone003,1
4,0,zz_Bone004,1
5,0,zz_Bone005,1
6,0,zz_Bone006,1
7,0,zz_Bone007,1
8,0,zz_Bone008,1
9,0,zz_Bone009,1
10,0,zz_Bone012,1
11,1,jx_Bone001,1
12,1,jx_Bone002,1
13,1,jx_Bone003,1
14,1,jx_Bone004,1
15,1,jx_Bone005,1
16,1,jx_Bone006,1
17,1,jx_Bone007,1
18,1,jx_Bone008,1
19,1,jx_Bone009,1
20,1,jx_Bone010,1
21,1,jx_Bone011,1
22,1,jx_Bone012,1
23,1,jx_Bone013,1
24,1,jx_Bone014,1
25,1,jx_Bone015,1
26,1,jx_Bone016,1
27,1,jx_Bone017,1
28,1,jx_Bone018,1
29,1,jx_Bone019,1
30,1,jx_Bone020,1
31,1,jx_Bone021,1
32,1,jx_Bone022,1
33,2,ah_Bone001,1
34,2,ah_Bone002,1
35,2,ah_Bone003,1
36,2,ah_Bone004,1
37,2,ah_Bone005,1
38,2,ah_Bone006,1
39,2,ah_Bone007,1
40,2,ah_Bone008,1
41,2,ah_Bone008(mirrored),1
42,2,ah_Bone009,1
43,2,ah_Bone009(mirrored),1
44,3,dts_Bone114,1
45,3,dts_Bone115,1
46,3,dts_Bone116,1
47,3,dts_Bone117,1
48,3,dts_Bone118,1
49,3,dts_Bone119,1
50,3,dts_Bone120,1
51,3,dts_Bone121,1
52,3,dts_Bone122,1
53,3,dts_Bone123,1
54,3,dts_Bone124,1
55,3,dts_Bone125,1
56,3,dts_Bone126,1
57,3,dts_Bone127,1
58,3,dts_Bone128,1
59,4,DY_Bone001,1
60,4,DY_Bone002,1
61,4,DY_Bone003,1
62,4,DY_Bone004,1
63,4,DY_Bone005,1
64,4,DY_Bone006,1
65,4,DY_Bone007,1
66,4,DY_Bone008,1
67,4,DY_Bone009,1
68,4,DY_Bone010,1
69,4,DY_Bone011,1
70,4,DY_Bone012,1
71,4,DY_Bone013,1
72,4,DY_Bone014,1
73,4,DY_Bone015,1
74,4,DY_Bone016,1
75,4,DY_Bone017,1
76,4,DY_Bone018,1
77,4,DY_Bone019,1
78,4,DY_Bone020,1
79,4,DY_Bone021,1
80,5,Bone032_XinNian,1
81,5,Bone033_XinNian,1
82,5,Bone034_XinNian,1
83,5,Bone036_XinNian,1
84,5,Bone037_XinNian,1
85,5,Bone038_XinNian,1
86,5,Bone040_XinNian,1
