id,modelid,bones,profession
1,0,Bone001,1
2,0,Bone002,1
3,0,Bone003,1
4,0,Bone005,1
5,0,Bone006,1
6,0,Bone012,1
7,0,Bone013,1
8,0,Bone015,1
9,0,Bone021,1
10,0,Bone022,1
11,0,Bone024,1
12,0,Bone025,1
13,0,Bone027,1
14,0,Bone028,1
15,0,Bone029,1
16,1,Bone030,1
17,1,Bone031,1
18,1,Bone032,1
19,1,Bone033,1
20,1,Bone034,1
21,1,Bone035,1
22,1,Bone036,1
23,1,Bone037,1
24,1,Bone038,1
25,1,Bone039,1
26,1,Bone040,1
27,1,Bone041,1
28,1,Bone042,1
29,1,Bone043,1
30,2,Bone009,1
31,2,Bone010,1
32,2,Bone017,1
33,2,Bone046,1
34,2,Bone047,1
35,2,Bone049,1
36,2,Bone050,1
37,2,Bone051,1
38,2,Bone053,1
39,2,Bone054,1
40,2,Bone055,1
41,2,Bone056,1
42,3,Bone058,1
43,3,Bone060,1
44,3,Bone062,1
45,3,Bone063,1
46,3,Bone064,1
47,3,Bone065,1
48,3,Bone067,1
49,3,Bone068,1
50,3,Bone069,1
51,3,Bone070,1
52,3,Bone072,1
53,3,Bone073,1
54,3,Bone075,1
55,3,Bone076,1
56,3,Bone078,1
57,3,Bone080,1
58,4,Bone082,1
59,4,Bone084,1
60,4,Bone086,1
61,4,Bone087,1
62,4,Bone089,1
63,4,Bone090,1
64,4,Bone092,1
65,4,Bone093,1
66,4,Bone095,1
67,4,Bone096,1
68,5,Bone001,1
69,5,Bone002,1
70,5,Bone003,1
71,5,Bone005,1
72,5,Bone006,1
73,5,Bone012,1
74,5,Bone013,1
75,5,Bone015,1
76,5,Bone021,1
77,5,Bone022,1
78,5,Bone024,1
79,5,Bone025,1
80,5,Bone027,1
81,5,Bone028,1
82,5,Bone029,1
83,0,Bone001,3
84,0,Bone002,3
85,0,Bone003,3
86,0,Bone005,3
87,0,Bone007,3
88,0,Bone008,3
89,0,Bone009,3
90,0,Bone011,3
91,0,Bone012,3
92,0,Bone013,3
93,0,Bone015,3
94,0,Bone016,3
95,0,Bone017,3
96,0,Bone019,3
97,0,Bone020,3
98,0,Bone021,3
99,0,Bone023,3
100,0,Bone024,3
101,0,Bone026,3
102,0,Bone028,3
103,1,Bone30,3
104,1,Bone31,3
105,1,Bone32,3
106,1,Bone44,3
107,1,Bone45,3
108,1,Bone47,3
109,1,Bone48,3
110,1,Bone54,3
111,1,Bone55,3
112,1,Bone56,3
113,1,Bone57,3
114,1,Bone58,3
115,1,Bone60,3
116,1,Bone61,3
117,1,Bone63,3
118,1,Bone64,3
119,1,Bone67,3
120,1,Bone69,3
121,2,Bone71,3
122,2,Bone73,3
123,2,Bone75,3
124,2,Bone77,3
125,2,Bone79,3
126,2,Bone81,3
127,2,Bone82,3
128,2,Bone83,3
129,2,Bone85,3
130,2,Bone86,3
131,2,Bone87,3
132,2,Bone89,3
133,2,Bone90,3
134,2,Bone91,3
135,3,Bone93,3
136,3,Bone94,3
137,3,Bone95,3
138,3,Bone97,3
139,3,Bone98,3
140,3,Bone99,3
141,3,Bone101,3
142,3,Bone103,3
143,4,Bone142,3
144,4,Bone143,3
145,4,Bone145,3
146,4,Bone146,3
147,4,Bone148,3
148,4,Bone149,3
149,4,Bone151,3
150,4,Bone152,3
151,4,Bone154,3
152,4,Bone155,3
153,4,Bone157,3
154,4,Bone158,3
155,4,Bone160,3
156,4,Bone161,3
157,4,Bone163,3
158,4,Bone164,3
159,4,Bone166,3
160,4,Bone168,3
161,4,Bone170,3
162,4,Bone172,3
163,5,Bone001,3
164,5,Bone002,3
165,5,Bone003,3
166,5,Bone005,3
167,5,Bone007,3
168,5,Bone008,3
169,5,Bone009,3
170,5,Bone011,3
171,5,Bone012,3
172,5,Bone013,3
173,5,Bone015,3
174,5,Bone016,3
175,5,Bone017,3
176,5,Bone019,3
177,5,Bone020,3
178,5,Bone021,3
179,5,Bone023,3
180,5,Bone024,3
181,5,Bone026,3
182,5,Bone028,3
183,0,Bone009,2
184,0,Bone010,2
185,0,Bone011,2
186,0,Bone013,2
187,0,Bone014,2
188,0,Bone016,2
189,0,Bone018,2
190,0,Bone020,2
191,0,Bone021,2
192,0,Bone022,2
193,0,Bone024,2
194,0,Bone025,2
195,0,Bone026,2
196,0,Bone027,2
197,1,Bone028,2
198,1,Bone029,2
199,1,Bone030,2
200,1,Bone031,2
201,1,Bone032,2
202,1,Bone033,2
203,1,Bone034,2
204,1,Bone035,2
205,1,Bone036,2
206,1,Bone037,2
207,1,Bone038,2
208,1,Bone039,2
209,1,Bone040,2
210,1,Bone041,2
211,1,Bone042,2
212,1,Bone043,2
213,2,Bone045,2
214,2,Bone046,2
215,2,Bone047,2
216,2,Bone049,2
217,2,Bone051,2
218,2,Bone053,2
219,2,Bone055,2
220,2,Bone057,2
221,2,Bone059,2
222,2,Bone060,2
223,2,Bone061,2
224,2,Bone063,2
225,2,Bone064,2
226,2,Bone065,2
227,3,Bone066,2
228,3,Bone067,2
229,3,Bone068,2
230,3,Bone069,2
231,3,Bone070,2
232,3,Bone072,2
233,3,Bone074,2
234,3,Bone076,2
235,3,Bone078,2
236,3,Bone080,2
237,3,Bone082,2
238,3,Bone083,2
239,3,Bone085,2
240,3,Bone086,2
241,3,Bone089,2
242,3,Bone091,2
243,4,Bone093,2
244,4,Bone095,2
245,4,Bone096,2
246,4,Bone097,2
247,4,Bone098,2
248,4,Bone100,2
249,5,Bone009,2
250,5,Bone010,2
251,5,Bone011,2
252,5,Bone013,2
253,5,Bone014,2
254,5,Bone016,2
255,5,Bone018,2
256,5,Bone020,2
257,5,Bone021,2
258,5,Bone022,2
259,5,Bone024,2
260,5,Bone025,2
261,5,Bone026,2
262,5,Bone027,2
