id,fashion_id,cost_id,cost_number,compose_id
1,112004001,112000002,2,112001001
2,112004002,112000002,2,112001002
3,112004003,112000002,2,112001003
4,112004004,112000002,2,112001004
5,112004005,112000002,2,112001005
6,112004006,112000002,2,112001006
7,112004007,112000002,-1,112001007
8,112004008,112000002,2,112001008
9,112005001,112000002,2,112002001
10,112005002,112000002,2,112002002
11,112005003,112000002,2,112002003
12,112005004,112000002,2,112002004
13,112005005,112000002,2,112002005
14,112005006,112000002,2,112002006
15,112005007,112000002,-1,112002007
16,112005008,112000002,2,112002008
17,112006001,112000002,2,112003001
18,112006002,112000002,2,112003002
19,112006003,112000002,2,112003003
20,112006004,112000002,2,112003004
21,112006005,112000002,2,112003005
22,112006006,112000002,2,112003006
23,112006007,112000002,-1,112003007
24,112006008,112000002,2,112003008
25,112010001,112000002,2,112007001
26,112010002,112000002,2,112007002
27,112010003,112000002,2,112007003
28,112010004,112000002,2,112007004
29,112010005,112000002,2,112007005
30,112010006,112000002,2,112007006
31,112010007,112000002,-1,112007007
32,112010008,112000002,2,112007008
33,112011001,112000002,2,112008001
34,112011002,112000002,2,112008002
35,112011003,112000002,2,112008003
36,112011004,112000002,2,112008004
37,112011005,112000002,2,112008005
38,112011006,112000002,2,112008006
39,112011007,112000002,-1,112008007
40,112011008,112000002,2,112008008
41,112012001,112000002,2,112009001
42,112012002,112000002,2,112009002
43,112012003,112000002,2,112009003
44,112012004,112000002,2,112009004
45,112012005,112000002,2,112009005
46,112012006,112000002,2,112009006
47,112012007,112000002,-1,112009007
48,112012008,112000002,2,112009008
