id,fashion_type,rank,icon,model_id
112001001,1,1,112001001,1
112001002,1,2,112001002,2
112001003,1,3,112001003,3
112001004,1,4,112001004,4
112001005,1,5,112001005,5
112001006,1,6,112001006,6
112001007,1,7,112001007,7
112001008,1,8,112001008,8
112002001,1,1,112002001,1
112002002,1,2,112002002,2
112002003,1,3,112002003,3
112002004,1,4,112002004,4
112002005,1,5,112002005,5
112002006,1,6,112002006,6
112002007,1,7,112002007,7
112002008,1,8,112002008,8
112003001,1,1,112003001,1
112003002,1,2,112003002,2
112003003,1,3,112003003,3
112003004,1,4,112003004,4
112003005,1,5,112003005,5
112003006,1,6,112003006,6
112003007,1,7,112003007,7
112003008,1,8,112003008,8
112004001,1,1,112001001,1
112004002,1,2,112001002,2
112004003,1,3,112001003,3
112004004,1,4,112001004,4
112004005,1,5,112001005,5
112004006,1,6,112001006,6
112004007,1,7,112001007,7
112004008,1,8,112001008,8
112005001,1,1,112002001,1
112005002,1,2,112002002,2
112005003,1,3,112002003,3
112005004,1,4,112002004,4
112005005,1,5,112002005,5
112005006,1,6,112002006,6
112005007,1,7,112002007,7
112005008,1,8,112002008,8
112006001,1,1,112003001,1
112006002,1,2,112003002,2
112006003,1,3,112003003,3
112006004,1,4,112003004,4
112006005,1,5,112003005,5
112006006,1,6,112003006,6
112006007,1,7,112003007,7
112006008,1,8,112003008,8
112007001,2,1,112007001,1
112007002,2,2,112007002,2
112007003,2,3,112007003,3
112007004,2,4,112007004,4
112007005,2,5,112007005,5
112007006,2,6,112007006,6
112007007,2,7,112007007,7
112007008,2,8,112007008,8
112008001,2,1,112008001,1
112008002,2,2,112008002,2
112008003,2,3,112008003,3
112008004,2,4,112008004,4
112008005,2,5,112008005,5
112008006,2,6,112008006,6
112008007,2,7,112008007,7
112008008,2,8,112008008,8
112009001,2,1,112009001,1
112009002,2,2,112009002,2
112009003,2,3,112009003,3
112009004,2,4,112009004,4
112009005,2,5,112009005,5
112009006,2,6,112009006,6
112009007,2,7,112009007,7
112009008,2,8,112009008,8
112010001,2,1,112007001,1
112010002,2,2,112007002,2
112010003,2,3,112007003,3
112010004,2,4,112007004,4
112010005,2,5,112007005,5
112010006,2,6,112007006,6
112010007,2,7,112007007,7
112010008,2,8,112007008,8
112011001,2,1,112008001,1
112011002,2,2,112008002,2
112011003,2,3,112008003,3
112011004,2,4,112008004,4
112011005,2,5,112008005,5
112011006,2,6,112008006,6
112011007,2,7,112008007,7
112011008,2,8,112008008,8
112012001,2,1,112009001,1
112012002,2,2,112009002,2
112012003,2,3,112009003,3
112012004,2,4,112009004,4
112012005,2,5,112009005,5
112012006,2,6,112009006,6
112012007,2,7,112009007,7
112012008,2,8,112009008,8
