id,level,health,attack,defence,crit,toughness,hit,dodge,exp
1,0,0,0,0,0,0,0,0,10000
2,1,3000,30,30,3,3,3,3,20000
3,2,6500,65,65,6,6,6,6,35000
4,3,10500,105,105,10,10,10,10,55000
5,4,15000,150,150,15,15,15,15,80000
6,5,20000,200,200,20,20,20,20,110000
7,6,25500,255,255,25,25,25,25,150000
8,7,31500,315,315,31,31,31,31,200000
9,8,38000,380,380,38,38,38,38,260000
10,9,45000,450,450,45,45,45,45,330000
11,10,52500,525,525,52,52,52,52,420000
12,11,60500,605,605,60,60,60,60,530000
13,12,69000,690,690,69,69,69,69,660000
14,13,78000,780,780,78,78,78,78,820000
15,14,88000,880,880,88,88,88,88,1020000
16,15,100000,1000,1000,100,100,100,100,1020000
