id,fieldid,level,process,health,attack,defence,crit,toughness,hit,dodge,buffid,bufflv,describe
1,1,0,0,0,0,0,0,0,0,0,-1,-1,在领域内的敌人每秒受到最大生命的百分比伤害
2,1,1,30,1050,0,0,0,0,18,0,-1,-1,在领域内的敌人每秒受到最大生命的百分比伤害
3,1,2,50,1680,0,0,0,0,21,0,-1,-1,在领域内的敌人每秒受到最大生命的百分比伤害
4,1,3,70,2415,0,0,0,0,25,0,-1,-1,在领域内的敌人每秒受到最大生命的百分比伤害
5,1,4,90,3255,0,0,0,0,31,0,-1,-1,在领域内的敌人每秒受到最大生命的百分比伤害
6,1,5,130,4200,0,0,0,0,38,0,800100,1,在领域内的敌人每秒受到最大生命[008800]0.5%[-]的伤害
7,1,6,170,5250,0,0,0,0,47,0,800100,1,在领域内的敌人每秒受到最大生命[008800]0.5%[-]的伤害
8,1,7,210,6405,0,0,0,0,57,0,800100,1,在领域内的敌人每秒受到最大生命[008800]0.5%[-]的伤害
9,1,8,250,7665,0,0,0,0,68,0,800100,1,在领域内的敌人每秒受到最大生命[008800]0.5%[-]的伤害
10,1,9,290,9030,0,0,0,0,81,0,800100,1,在领域内的敌人每秒受到最大生命[008800]0.5%[-]的伤害
11,1,10,360,10500,0,0,0,0,95,0,800100,2,在领域的敌人内每秒受到最大生命[008800]0.7%[-]的伤害
12,1,11,430,12075,0,0,0,0,111,0,800100,2,在领域的敌人内每秒受到最大生命[008800]0.7%[-]的伤害
13,1,12,500,13755,0,0,0,0,128,0,800100,2,在领域的敌人内每秒受到最大生命[008800]0.7%[-]的伤害
14,1,13,570,15540,0,0,0,0,146,0,800100,2,在领域的敌人内每秒受到最大生命[008800]0.7%[-]的伤害
15,1,14,640,17430,0,0,0,0,166,0,800100,2,在领域的敌人内每秒受到最大生命[008800]0.7%[-]的伤害
16,1,15,750,19425,0,0,0,0,187,0,800100,3,在领域的敌人内每秒受到最大生命[008800]0.9%[-]的伤害
17,1,16,860,21525,0,0,0,0,210,0,800100,3,在领域的敌人内每秒受到最大生命[008800]0.9%[-]的伤害
18,1,17,970,23730,0,0,0,0,234,0,800100,3,在领域的敌人内每秒受到最大生命[008800]0.9%[-]的伤害
19,1,18,1080,26040,0,0,0,0,259,0,800100,3,在领域的敌人内每秒受到最大生命[008800]0.9%[-]的伤害
20,1,19,1190,28455,0,0,0,0,286,0,800100,3,在领域的敌人内每秒受到最大生命[008800]0.9%[-]的伤害
21,1,20,1350,30975,0,0,0,0,314,0,800100,4,在领域内的敌人每秒受到最大生命[008800]1.1%[-]的伤害
22,1,21,1510,33600,0,0,0,0,344,0,800100,4,在领域内的敌人每秒受到最大生命[008800]1.1%[-]的伤害
23,1,22,1670,36330,0,0,0,0,375,0,800100,4,在领域内的敌人每秒受到最大生命[008800]1.1%[-]的伤害
24,1,23,1830,39165,0,0,0,0,407,0,800100,4,在领域内的敌人每秒受到最大生命[008800]1.1%[-]的伤害
25,1,24,1990,42105,0,0,0,0,441,0,800100,4,在领域内的敌人每秒受到最大生命[008800]1.1%[-]的伤害
26,1,25,2210,45150,0,0,0,0,476,0,800100,5,在领域内的敌人每秒受到最大生命[008800]1.3%[-]的伤害
27,1,26,2430,48300,0,0,0,0,513,0,800100,5,在领域内的敌人每秒受到最大生命[008800]1.3%[-]的伤害
28,1,27,2650,51555,0,0,0,0,551,0,800100,5,在领域内的敌人每秒受到最大生命[008800]1.3%[-]的伤害
29,1,28,2870,54915,0,0,0,0,590,0,800100,5,在领域内的敌人每秒受到最大生命[008800]1.3%[-]的伤害
30,1,29,3090,58380,0,0,0,0,631,0,800100,5,在领域内的敌人每秒受到最大生命[008800]1.3%[-]的伤害
31,1,30,3380,61950,0,0,0,0,673,0,800100,6,在领域内的敌人每秒受到最大生命[008800]1.5%[-]的伤害
32,1,31,3670,65625,0,0,0,0,717,0,800100,6,在领域内的敌人每秒受到最大生命[008800]1.5%[-]的伤害
33,1,32,3960,69405,0,0,0,0,762,0,800100,6,在领域内的敌人每秒受到最大生命[008800]1.5%[-]的伤害
34,1,33,4250,73290,0,0,0,0,808,0,800100,6,在领域内的敌人每秒受到最大生命[008800]1.5%[-]的伤害
35,1,34,4540,77280,0,0,0,0,856,0,800100,6,在领域内的敌人每秒受到最大生命[008800]1.5%[-]的伤害
36,1,35,4910,81375,0,0,0,0,905,0,800100,7,在领域内的敌人每秒受到最大生命[008800]1.7%[-]的伤害
37,1,36,5280,85575,0,0,0,0,956,0,800100,7,在领域内的敌人每秒受到最大生命[008800]1.7%[-]的伤害
38,1,37,5650,89880,0,0,0,0,1008,0,800100,7,在领域内的敌人每秒受到最大生命[008800]1.7%[-]的伤害
39,1,38,6020,94290,0,0,0,0,1061,0,800100,7,在领域内的敌人每秒受到最大生命[008800]1.7%[-]的伤害
40,1,39,6390,98805,0,0,0,0,1116,0,800100,7,在领域内的敌人每秒受到最大生命[008800]1.7%[-]的伤害
41,1,40,-1,103425,0,0,0,0,1172,0,800100,8,在领域内的敌人每秒受到最大生命[008800]2%[-]的伤害
42,2,0,0,0,0,0,0,0,0,0,-1,-1,在领域内的敌人防御降低百分比降低
