id,classify,kind,money,diamond,type,value,describe,value1,rank
1,1,1001,0,10,1,20101,水府试炼,,1
2,1,1002,0,10,1,20102,水府试炼,,1
3,1,1003,0,10,1,20103,水府试炼,,1
4,1,1004,0,10,1,20104,水府试炼,,1
5,2,2001,0,10,1,20201,明月山水图,,2
6,2,2002,0,10,1,20202,明月山水图,,2
7,2,2003,0,10,1,20203,明月山水图,,2
8,2,2004,0,10,1,20204,明月山水图,,2
9,3,3001,0,10,1,20301,寂灭之域,,3
10,3,3002,0,10,1,20302,寂灭之域,,3
11,3,3003,0,10,1,20303,寂灭之域,,3
12,3,3004,0,10,1,20304,寂灭之域,,3
13,4,4001,0,10,1,20401,东林宗,,4
14,4,4002,0,10,1,20402,东林宗,,4
15,4,4003,0,10,1,20403,东林宗,,4
16,4,4004,0,10,1,20404,东林宗,,4
17,5,5001,0,10,1,20501,无间战场,,5
18,5,5002,0,10,1,20502,无间战场,,5
19,5,5003,0,10,1,20503,无间战场,,5
20,5,5004,0,10,1,20504,无间战场,,5
21,12,12001,0,10,1,20601,莲花幻界,,6
22,12,12002,0,10,1,20602,莲花幻界,,6
23,12,12003,0,10,1,20603,莲花幻界,,6
24,12,12004,0,10,1,20604,莲花幻界,,6
25,6,6001,0,10,1,30101,水府试炼(多人),,7
26,6,6002,0,10,1,30102,水府试炼(多人),,7
27,6,6003,0,10,1,30103,水府试炼(多人),,7
28,6,6004,0,10,1,30104,水府试炼(多人),,7
29,7,7001,0,10,1,30201,无间战场(多人),,8
30,7,7002,0,10,1,30202,无间战场(多人),,8
31,7,7003,0,10,1,30203,无间战场(多人),,8
32,7,7004,0,10,1,30204,无间战场(多人),,8
33,13,13001,0,10,1,30301,莲花幻界(多人),,9
34,13,13002,0,10,1,30302,莲花幻界(多人),,9
35,13,13003,0,10,1,30303,莲花幻界(多人),,9
36,13,13004,0,10,1,30304,莲花幻界(多人),,9
37,14,14001,0,10,1,40301,四象灵域,,10
38,14,14002,0,10,1,40302,四象灵域,,10
39,14,14003,0,10,1,40303,四象灵域,,10
40,14,14004,0,10,1,40304,四象灵域,,10
41,15,15001,0,10,1,40201,妖魔冰谷,,11
42,15,15002,0,10,1,40202,妖魔冰谷,,11
43,15,15003,0,10,1,40203,妖魔冰谷,,11
44,15,15004,0,10,1,40204,妖魔冰谷,,11
45,16,16001,0,10,1,20701,精炼福地,,12
46,16,16002,0,10,1,20702,精炼福地,,12
47,16,16003,0,10,1,20703,精炼福地,,12
48,16,16004,0,10,1,20704,精炼福地,,12
49,17,17001,0,10,1,20801,精炼福地·高级,,13
50,17,17002,0,10,1,20802,精炼福地·高级,,13
51,17,17003,0,10,1,20803,精炼福地·高级,,13
52,17,17004,0,10,1,20804,精炼福地·高级,,13
53,18,18001,0,10,1,21001,骑兽猎场,,14
54,18,18002,0,10,1,21002,骑兽猎场,,14
55,18,18003,0,10,1,21003,骑兽猎场,,14
56,18,18004,0,10,1,21004,骑兽猎场,,14
57,19,19001,0,10,1,20901,羽化洞天,,15
58,19,19002,0,10,1,20902,羽化洞天,,15
59,19,19003,0,10,1,20903,羽化洞天,,15
60,19,19004,0,10,1,20904,羽化洞天,,15
61,20,20001,100000,10,1,21101,经验副本,40,16
62,20,20002,100000,10,1,21102,经验副本,2050,16
63,20,20003,100000,10,1,21103,经验副本,3060,16
64,20,20004,100000,10,1,21104,经验副本,5065,16
65,21,21001,200000,20,2,30,薪火传道,,17
66,21,21002,200000,20,2,31,薪火传道,,17
67,21,21003,200000,20,2,32,薪火传道,,17
68,21,21004,200000,20,2,33,薪火传道,,17
69,21,21005,200000,20,2,34,薪火传道,,17
70,21,21006,200000,20,2,35,薪火传道,,17
71,21,21007,200000,20,2,36,薪火传道,,17
72,21,21008,200000,20,2,37,薪火传道,,17
73,21,21009,200000,20,2,38,薪火传道,,17
74,21,21010,200000,20,2,39,薪火传道,,17
75,21,21011,200000,20,2,40,薪火传道,,17
76,21,21012,200000,20,2,41,薪火传道,,17
77,21,21013,200000,20,2,42,薪火传道,,17
78,21,21014,200000,20,2,43,薪火传道,,17
79,21,21015,200000,20,2,44,薪火传道,,17
80,21,21016,200000,20,2,45,薪火传道,,17
81,21,21017,200000,20,2,1040,薪火传道,,17
82,21,21018,200000,20,2,1041,薪火传道,,17
83,21,21019,200000,20,2,1042,薪火传道,,17
84,21,21020,200000,20,2,1043,薪火传道,,17
85,21,21021,200000,20,2,1044,薪火传道,,17
86,21,21022,200000,20,2,1045,薪火传道,,17
87,21,21023,200000,20,2,1046,薪火传道,,17
88,21,21024,200000,20,2,1047,薪火传道,,17
89,21,21025,200000,20,2,1048,薪火传道,,17
90,21,21026,200000,20,2,1049,薪火传道,,17
91,21,21027,200000,20,2,1050,薪火传道,,17
92,21,21028,200000,20,2,2045,薪火传道,,17
93,21,21029,200000,20,2,2046,薪火传道,,17
94,21,21030,200000,20,2,2047,薪火传道,,17
95,21,21031,200000,20,2,2048,薪火传道,,17
96,21,21032,200000,20,2,2049,薪火传道,,17
97,21,21033,200000,20,2,2050,薪火传道,,17
98,21,21034,200000,20,2,2051,薪火传道,,17
99,21,21035,200000,20,2,2052,薪火传道,,17
100,21,21036,200000,20,2,2053,薪火传道,,17
101,21,21037,200000,20,2,2054,薪火传道,,17
102,21,21038,200000,20,2,2055,薪火传道,,17
103,21,21039,200000,20,2,3050,薪火传道,,17
104,21,21040,200000,20,2,3051,薪火传道,,17
105,21,21041,200000,20,2,3052,薪火传道,,17
106,21,21042,200000,20,2,3053,薪火传道,,17
107,21,21043,200000,20,2,3054,薪火传道,,17
108,21,21044,200000,20,2,3055,薪火传道,,17
109,21,21045,200000,20,2,3056,薪火传道,,17
110,21,21046,200000,20,2,3057,薪火传道,,17
111,21,21047,200000,20,2,3058,薪火传道,,17
112,21,21048,200000,20,2,3059,薪火传道,,17
113,21,21049,200000,20,2,3060,薪火传道,,17
114,21,21050,200000,20,2,4055,薪火传道,,17
115,21,21051,200000,20,2,4056,薪火传道,,17
116,21,21052,200000,20,2,4057,薪火传道,,17
117,21,21053,200000,20,2,4058,薪火传道,,17
118,21,21054,200000,20,2,4059,薪火传道,,17
119,21,21055,200000,20,2,4060,薪火传道,,17
120,21,21056,200000,20,2,4061,薪火传道,,17
121,21,21057,200000,20,2,4062,薪火传道,,17
122,21,21058,200000,20,2,4063,薪火传道,,17
123,21,21059,200000,20,2,4064,薪火传道,,17
124,21,21060,200000,20,2,4065,薪火传道,,17
125,21,21061,200000,20,2,5060,薪火传道,,17
126,21,21062,200000,20,2,5061,薪火传道,,17
127,21,21063,200000,20,2,5062,薪火传道,,17
128,21,21064,200000,20,2,5063,薪火传道,,17
129,21,21065,200000,20,2,5064,薪火传道,,17
130,21,21066,200000,20,2,5065,薪火传道,,17
