id,kind,objectid,number,bind
1,1001,215500001,161000,1
2,1001,195401001,21,1
3,1002,215500001,261000,1
4,1002,195401001,25,1
5,1003,215500001,361000,1
6,1003,195401001,40,1
7,1004,215500001,461000,1
8,1004,195401001,46,1
9,2001,215500001,230000,1
10,2001,215514001,217500,1
11,2002,215500001,330000,1
12,2002,215514001,317500,1
13,2003,215500001,430000,1
14,2003,215514001,617500,1
15,2004,215500001,530000,1
16,2004,215514001,767500,1
17,3001,215514001,7500,1
18,3001,215500001,337500,1
19,3001,164264001,6,1
20,3001,183357001,4,1
21,3001,183358001,4,1
22,3001,205299001,1,1
23,3001,183351003,2,1
24,3002,215514001,7500,1
25,3002,215500001,457500,1
26,3002,164264001,8,1
27,3002,183357001,4,1
28,3002,183358001,5,1
29,3002,205299001,1,1
30,3002,183351003,4,1
31,3003,215514001,7500,1
32,3003,215500001,577500,1
33,3003,164264001,15,1
34,3003,183357001,7,1
35,3003,183358001,7,1
36,3003,205299001,3,1
37,3003,183351003,6,1
38,3004,215514001,7500,1
39,3004,215500001,697500,1
40,3004,164264001,18,1
41,3004,183357001,8,1
42,3004,183358001,7,1
43,3004,205299001,3,1
44,3004,183351003,9,1
45,4001,215500001,382500,1
46,4001,215514001,8500,1
47,4001,193403001,16,1
48,4001,192403002,2,1
49,4002,215500001,540000,1
50,4002,215514001,12000,1
51,4002,193403001,18,1
52,4002,192403002,4,1
53,4003,215500001,697500,1
54,4003,215514001,15500,1
55,4003,193403001,21,1
56,4003,192403002,7,1
57,4004,215500001,855000,1
58,4004,215514001,19000,1
59,4004,193403001,25,1
60,4004,192403002,9,1
61,5001,215500001,450000,1
62,5001,196406002,6,1
63,5001,196405002,6,1
64,5001,196407002,6,1
65,5002,215500001,570000,1
66,5002,196406002,8,1
67,5002,196405002,8,1
68,5002,196407002,8,1
69,5003,215500001,690000,1
70,5003,195406003,5,1
71,5003,195407003,5,1
72,5003,195405003,5,1
73,5004,215500001,810000,1
74,5004,195406003,6,1
75,5004,195407003,6,1
76,5004,195405003,6,1
77,6001,215500001,161000,1
78,6001,195401001,29,1
79,6002,215500001,261000,1
80,6002,195401001,33,1
81,6003,215500001,361000,1
82,6003,195401001,52,1
83,6004,215500001,461000,1
84,6004,195401001,58,1
85,7001,215500001,450000,1
86,7001,196406002,6,1
87,7001,196405002,6,1
88,7001,196407002,6,1
89,7002,215500001,570000,1
90,7002,196406002,10,1
91,7002,196405002,10,1
92,7002,196407002,10,1
93,7003,215500001,690000,1
94,7003,195406003,6,1
95,7003,195407003,6,1
96,7003,195405003,6,1
97,7004,215500001,810000,1
98,7004,195406003,7,1
99,7004,195407003,7,1
100,7004,195405003,7,1
101,8001,173309003,1,1
102,8001,173304007,1,1
103,8002,173309003,2,1
104,8002,173304007,2,1
105,8003,173309003,3,1
106,8003,173304007,3,1
107,8004,173309003,4,1
108,8004,173304007,5,1
109,8005,173309003,5,1
110,8005,173304007,7,1
111,8006,173309003,6,1
112,8006,173304007,9,1
113,8007,173309003,7,1
114,8007,173304007,12,1
115,8008,173309003,8,1
116,8008,173304007,15,1
117,8009,173309003,9,1
118,8009,173304007,18,1
119,8010,173309003,10,1
120,8010,173304007,22,1
121,8011,173309003,12,1
122,8011,173304007,26,1
123,8012,173309003,14,1
124,8012,173304007,30,1
125,8013,173309003,16,1
126,8013,173304007,35,1
127,8014,173309003,18,1
128,8014,173304007,40,1
129,8015,173309003,20,1
130,8015,173304007,45,1
131,8016,173309003,22,1
132,8016,173304007,51,1
133,8017,173309003,24,1
134,8017,173304007,57,1
135,8018,173309003,26,1
136,8018,173304007,63,1
137,8019,173309003,28,1
138,8019,173304007,70,1
139,8020,173309003,30,1
140,8020,173304007,77,1
141,8021,173309003,33,1
142,8021,173304007,84,1
143,8022,173309003,36,1
144,8022,173304007,92,1
145,8023,173309003,39,1
146,8023,173304007,100,1
147,8024,173309003,42,1
148,8024,173304007,108,1
149,8025,173309003,45,1
150,8025,173304007,117,1
151,8026,173309003,48,1
152,8026,173304007,126,1
153,8027,173309003,51,1
154,8027,173304007,135,1
155,8028,173309003,54,1
156,8028,173304007,145,1
157,8029,173309003,57,1
158,8029,173304007,155,1
159,8030,173309003,60,1
160,8030,173304007,165,1
161,8031,173309003,64,1
162,8031,173304007,175,1
163,8032,173309003,68,1
164,8032,173304007,185,1
165,8033,173309003,72,1
166,8033,173304007,195,1
167,8034,173309003,76,1
168,8034,173304007,205,1
169,8035,173309003,80,1
170,8035,173304007,215,1
171,8036,173309003,84,1
172,8036,173304007,225,1
173,8037,173309003,88,1
174,8037,173304007,235,1
175,8038,173309003,92,1
176,8038,173304007,245,1
177,8039,173309003,96,1
