id,level,exp
1,30,7200
2,31,7812
3,32,8476
4,33,9196
5,34,9978
6,35,10826
7,36,11746
8,37,12744
9,38,13827
10,39,15002
11,40,16277
12,41,17661
13,42,19162
14,43,20791
15,44,22558
16,45,24475
17,46,26555
18,47,28812
19,48,31261
20,49,33918
21,50,36801
22,51,39929
23,52,43323
24,53,47005
25,54,51000
26,55,55335
27,56,60038
28,57,65141
29,58,70678
30,59,76686
31,60,83204
32,61,90276
33,62,97949
34,63,106275
35,64,115308
36,65,125109
37,66,135743
38,67,147281
39,68,159800
40,69,173383
41,70,188121
42,71,204111
43,72,221460
44,73,240284
45,74,260708
46,75,282868
47,76,306912
48,77,333000
49,78,361305
50,79,392016
51,80,425337
52,81,461491
53,82,500718
54,83,543279
55,84,589458
56,85,639562
57,86,693925
58,87,752909
59,88,816906
60,89,886343
61,90,961682
62,91,1043425
63,92,1132116
64,93,1228346
65,94,1332755
66,95,1446039
67,96,1568952
68,97,1702313
69,98,1847010
70,99,2004006
71,100,2174347
