id,classid,grade,level,health,attack,defence,crit,toughness,hit,dodge,objectid,number,limit_transform,limit_level,titleid
1,1,1,0,0,0,0,0,0,0,0,215504001,100,0,0,-1
2,1,1,1,413,0,0,0,0,0,0,215504001,100,0,0,-1
3,1,1,2,413,0,8,0,0,0,0,215504001,100,0,0,-1
4,1,1,3,413,0,8,8,0,0,0,215504001,100,0,0,-1
5,1,1,4,413,0,8,8,8,0,0,215504001,100,0,0,-1
6,1,1,5,413,0,8,8,8,4,0,215504001,100,0,0,-1
7,1,1,6,413,0,8,8,8,4,4,215504001,100,0,0,-1
8,1,1,7,413,0,8,8,8,4,4,215504001,100,0,0,-1
9,1,2,0,413,8,8,8,8,4,4,215504001,125,0,0,-1
10,1,2,1,826,8,8,8,8,4,4,215504001,125,0,0,-1
11,1,2,2,826,8,16,8,8,4,4,215504001,125,0,0,-1
12,1,2,3,826,8,16,16,8,4,4,215504001,125,0,0,-1
13,1,2,4,826,8,16,16,16,4,4,215504001,125,0,0,-1
14,1,2,5,826,8,16,16,16,8,4,215504001,125,0,0,-1
15,1,2,6,826,8,16,16,16,8,8,215504001,125,0,0,-1
16,1,2,7,826,8,16,16,16,8,8,215504001,125,0,0,-1
17,1,3,0,826,16,16,16,16,8,8,215504001,150,0,0,-1
18,1,3,1,1239,16,16,16,16,8,8,215504001,150,0,0,-1
19,1,3,2,1239,16,24,16,16,8,8,215504001,150,0,0,-1
20,1,3,3,1239,16,24,24,16,8,8,215504001,150,0,0,-1
21,1,3,4,1239,16,24,24,24,8,8,215504001,150,0,0,-1
22,1,3,5,1239,16,24,24,24,12,8,215504001,150,0,0,-1
23,1,3,6,1239,16,24,24,24,12,12,215504001,150,0,0,-1
24,1,3,7,1239,16,24,24,24,12,12,215504001,150,0,0,-1
25,1,4,0,1239,24,24,24,24,12,12,215504001,175,0,0,-1
26,1,4,1,1652,24,24,24,24,12,12,215504001,175,0,0,-1
27,1,4,2,1652,24,32,24,24,12,12,215504001,175,0,0,-1
28,1,4,3,1652,24,32,32,24,12,12,215504001,175,0,0,-1
29,1,4,4,1652,24,32,32,32,12,12,215504001,175,0,0,-1
30,1,4,5,1652,24,32,32,32,16,12,215504001,175,0,0,-1
31,1,4,6,1652,24,32,32,32,16,16,215504001,175,0,0,-1
32,1,4,7,1652,24,32,32,32,16,16,215504001,175,0,0,-1
33,1,5,0,1652,32,32,32,32,16,16,215504001,200,0,0,-1
34,1,5,1,2065,32,32,32,32,16,16,215504001,200,0,0,-1
35,1,5,2,2065,32,40,32,32,16,16,215504001,200,0,0,-1
36,1,5,3,2065,32,40,40,32,16,16,215504001,200,0,0,-1
37,1,5,4,2065,32,40,40,40,16,16,215504001,200,0,0,-1
38,1,5,5,2065,32,40,40,40,20,16,215504001,200,0,0,-1
39,1,5,6,2065,32,40,40,40,20,20,215504001,200,0,0,-1
40,1,5,7,2065,32,40,40,40,20,20,215504001,200,0,0,-1
41,1,6,0,2065,40,40,40,40,20,20,215504001,225,0,0,-1
42,1,6,1,2478,40,40,40,40,20,20,215504001,225,0,0,-1
43,1,6,2,2478,40,48,40,40,20,20,215504001,225,0,0,-1
44,1,6,3,2478,40,48,48,40,20,20,215504001,225,0,0,-1
45,1,6,4,2478,40,48,48,48,20,20,215504001,225,0,0,-1
46,1,6,5,2478,40,48,48,48,24,20,215504001,225,0,0,-1
47,1,6,6,2478,40,48,48,48,24,24,215504001,225,0,0,-1
48,1,6,7,2478,40,48,48,48,24,24,215504001,225,0,0,-1
49,1,7,0,2478,48,48,48,48,24,24,215504001,250,0,0,-1
50,1,7,1,2891,48,48,48,48,24,24,215504001,250,0,0,-1
51,1,7,2,2891,48,56,48,48,24,24,215504001,250,0,0,-1
52,1,7,3,2891,48,56,56,48,24,24,215504001,250,0,0,-1
53,1,7,4,2891,48,56,56,56,24,24,215504001,250,0,0,-1
54,1,7,5,2891,48,56,56,56,28,24,215504001,250,0,0,-1
55,1,7,6,2891,48,56,56,56,28,28,215504001,250,0,0,-1
56,1,7,7,2891,48,56,56,56,28,28,215504001,250,0,0,-1
57,1,8,0,2891,56,56,56,56,28,28,215504001,275,0,0,-1
58,1,8,1,3304,56,56,56,56,28,28,215504001,275,0,0,-1
59,1,8,2,3304,56,64,56,56,28,28,215504001,275,0,0,-1
60,1,8,3,3304,56,64,64,56,28,28,215504001,275,0,0,-1
61,1,8,4,3304,56,64,64,64,28,28,215504001,275,0,0,-1
62,1,8,5,3304,56,64,64,64,32,28,215504001,275,0,0,-1
63,1,8,6,3304,56,64,64,64,32,32,215504001,275,0,0,-1
64,1,8,7,3304,56,64,64,64,32,32,215504001,275,0,0,-1
65,1,9,0,3304,64,64,64,64,32,32,215504001,300,0,0,-1
66,1,9,1,3717,64,64,64,64,32,32,215504001,300,0,0,-1
67,1,9,2,3717,64,72,64,64,32,32,215504001,300,0,0,-1
68,1,9,3,3717,64,72,72,64,32,32,215504001,300,0,0,-1
69,1,9,4,3717,64,72,72,72,32,32,215504001,300,0,0,-1
70,1,9,5,3717,64,72,72,72,36,32,215504001,300,0,0,-1
71,1,9,6,3717,64,72,72,72,36,36,215504001,300,0,0,-1
72,1,9,7,3717,64,72,72,72,36,36,215504001,300,0,0,-1
73,1,10,0,3717,72,72,72,72,36,36,215504001,325,0,0,-1
74,1,10,1,4130,72,72,72,72,36,36,215504001,325,0,0,-1
75,1,10,2,4130,72,80,72,72,36,36,215504001,325,0,0,-1
76,1,10,3,4130,72,80,80,72,36,36,215504001,325,0,0,-1
77,1,10,4,4130,72,80,80,80,36,36,215504001,325,0,0,-1
78,1,10,5,4130,72,80,80,80,40,36,215504001,325,0,0,-1
79,1,10,6,4130,72,80,80,80,40,40,215504001,325,0,0,-1
80,1,10,7,4130,80,80,80,80,40,40,215505001,6000,0,45,221552025
81,2,1,0,9380,325,185,115,115,58,58,215504001,375,0,0,-1
82,2,1,1,9868,325,185,115,115,58,58,215504001,375,0,0,-1
83,2,1,2,9868,325,195,115,115,58,58,215504001,375,0,0,-1
84,2,1,3,9868,325,195,125,115,58,58,215504001,375,0,0,-1
85,2,1,4,9868,325,195,125,125,58,58,215504001,375,0,0,-1
86,2,1,5,9868,325,195,125,125,63,58,215504001,375,0,0,-1
87,2,1,6,9868,325,195,125,125,63,63,215504001,375,0,0,-1
88,2,1,7,9868,325,195,125,125,63,63,215504001,375,0,0,-1
89,2,2,0,9868,335,195,125,125,63,63,215504001,425,0,0,-1
90,2,2,1,10356,335,195,125,125,63,63,215504001,425,0,0,-1
91,2,2,2,10356,335,205,125,125,63,63,215504001,425,0,0,-1
92,2,2,3,10356,335,205,135,125,63,63,215504001,425,0,0,-1
93,2,2,4,10356,335,205,135,135,63,63,215504001,425,0,0,-1
94,2,2,5,10356,335,205,135,135,68,63,215504001,425,0,0,-1
95,2,2,6,10356,335,205,135,135,68,68,215504001,425,0,0,-1
96,2,2,7,10356,335,205,135,135,68,68,215504001,425,0,0,-1
97,2,3,0,10356,345,205,135,135,68,68,215504001,475,0,0,-1
98,2,3,1,10844,345,205,135,135,68,68,215504001,475,0,0,-1
99,2,3,2,10844,345,215,135,135,68,68,215504001,475,0,0,-1
100,2,3,3,10844,345,215,145,135,68,68,215504001,475,0,0,-1
101,2,3,4,10844,345,215,145,145,68,68,215504001,475,0,0,-1
102,2,3,5,10844,345,215,145,145,73,68,215504001,475,0,0,-1
103,2,3,6,10844,345,215,145,145,73,73,215504001,475,0,0,-1
104,2,3,7,10844,345,215,145,145,73,73,215504001,475,0,0,-1
105,2,4,0,10844,355,215,145,145,73,73,215504001,525,0,0,-1
106,2,4,1,11332,355,215,145,145,73,73,215504001,525,0,0,-1
107,2,4,2,11332,355,225,145,145,73,73,215504001,525,0,0,-1
108,2,4,3,11332,355,225,155,145,73,73,215504001,525,0,0,-1
109,2,4,4,11332,355,225,155,155,73,73,215504001,525,0,0,-1
110,2,4,5,11332,355,225,155,155,78,73,215504001,525,0,0,-1
111,2,4,6,11332,355,225,155,155,78,78,215504001,525,0,0,-1
112,2,4,7,11332,355,225,155,155,78,78,215504001,525,0,0,-1
113,2,5,0,11332,365,225,155,155,78,78,215504001,575,0,0,-1
114,2,5,1,11820,365,225,155,155,78,78,215504001,575,0,0,-1
115,2,5,2,11820,365,235,155,155,78,78,215504001,575,0,0,-1
116,2,5,3,11820,365,235,165,155,78,78,215504001,575,0,0,-1
117,2,5,4,11820,365,235,165,165,78,78,215504001,575,0,0,-1
118,2,5,5,11820,365,235,165,165,83,78,215504001,575,0,0,-1
119,2,5,6,11820,365,235,165,165,83,83,215504001,575,0,0,-1
120,2,5,7,11820,365,235,165,165,83,83,215504001,575,0,0,-1
121,2,6,0,11820,375,235,165,165,83,83,215504001,625,0,0,-1
122,2,6,1,12308,375,235,165,165,83,83,215504001,625,0,0,-1
123,2,6,2,12308,375,245,165,165,83,83,215504001,625,0,0,-1
124,2,6,3,12308,375,245,175,165,83,83,215504001,625,0,0,-1
125,2,6,4,12308,375,245,175,175,83,83,215504001,625,0,0,-1
126,2,6,5,12308,375,245,175,175,88,83,215504001,625,0,0,-1
127,2,6,6,12308,375,245,175,175,88,88,215504001,625,0,0,-1
128,2,6,7,12308,375,245,175,175,88,88,215504001,625,0,0,-1
129,2,7,0,12308,385,245,175,175,88,88,215504001,675,0,0,-1
130,2,7,1,12796,385,245,175,175,88,88,215504001,675,0,0,-1
131,2,7,2,12796,385,255,175,175,88,88,215504001,675,0,0,-1
132,2,7,3,12796,385,255,185,175,88,88,215504001,675,0,0,-1
133,2,7,4,12796,385,255,185,185,88,88,215504001,675,0,0,-1
134,2,7,5,12796,385,255,185,185,93,88,215504001,675,0,0,-1
135,2,7,6,12796,385,255,185,185,93,93,215504001,675,0,0,-1
136,2,7,7,12796,385,255,185,185,93,93,215504001,675,0,0,-1
137,2,8,0,12796,395,255,185,185,93,93,215504001,725,0,0,-1
138,2,8,1,13284,395,255,185,185,93,93,215504001,725,0,0,-1
139,2,8,2,13284,395,265,185,185,93,93,215504001,725,0,0,-1
140,2,8,3,13284,395,265,195,185,93,93,215504001,725,0,0,-1
141,2,8,4,13284,395,265,195,195,93,93,215504001,725,0,0,-1
142,2,8,5,13284,395,265,195,195,98,93,215504001,725,0,0,-1
143,2,8,6,13284,395,265,195,195,98,98,215504001,725,0,0,-1
144,2,8,7,13284,395,265,195,195,98,98,215504001,725,0,0,-1
145,2,9,0,13284,405,265,195,195,98,98,215504001,775,0,0,-1
146,2,9,1,13772,405,265,195,195,98,98,215504001,775,0,0,-1
147,2,9,2,13772,405,275,195,195,98,98,215504001,775,0,0,-1
148,2,9,3,13772,405,275,205,195,98,98,215504001,775,0,0,-1
149,2,9,4,13772,405,275,205,205,98,98,215504001,775,0,0,-1
150,2,9,5,13772,405,275,205,205,103,98,215504001,775,0,0,-1
151,2,9,6,13772,405,275,205,205,103,103,215504001,775,0,0,-1
152,2,9,7,13772,405,275,205,205,103,103,215504001,775,0,0,-1
153,2,10,0,13772,415,275,205,205,103,103,215504001,825,0,0,-1
154,2,10,1,14260,415,275,205,205,103,103,215504001,825,0,0,-1
155,2,10,2,14260,415,285,205,205,103,103,215504001,825,0,0,-1
156,2,10,3,14260,415,285,215,205,103,103,215504001,825,0,0,-1
157,2,10,4,14260,415,285,215,215,103,103,215504001,825,0,0,-1
158,2,10,5,14260,415,285,215,215,108,103,215504001,825,0,0,-1
159,2,10,6,14260,415,285,215,215,108,108,215504001,825,0,0,-1
160,2,10,7,14260,425,285,215,215,108,108,215505001,16000,1,50,221552026
161,3,1,0,20260,705,405,255,255,128,128,215504001,900,0,0,-1
162,3,1,1,20823,705,405,255,255,128,128,215504001,900,0,0,-1
163,3,1,2,20823,705,416,255,255,128,128,215504001,900,0,0,-1
164,3,1,3,20823,705,416,266,255,128,128,215504001,900,0,0,-1
165,3,1,4,20823,705,416,266,266,128,128,215504001,900,0,0,-1
166,3,1,5,20823,705,416,266,266,134,128,215504001,900,0,0,-1
167,3,1,6,20823,705,416,266,266,134,134,215504001,900,0,0,-1
168,3,1,7,20823,705,416,266,266,134,134,215504001,900,0,0,-1
