id,level,nextlevel,health,attack,defence,crit,toughness,hit,dodge,speed,costid,costnumber,costmoney,minprocess,maxprocess,process,effect,scene_effect,idle_effect,name
1,101,102,300,5,3,1,1,1,1,2,183366001,1,3500,75,75,100,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
2,102,103,604,10,6,2,2,2,2,2,183366001,1,3500,75,75,110,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
3,103,104,912,15,9,3,3,3,3,2,183366001,1,3500,75,75,120,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
4,104,105,1223,20,12,4,4,4,4,2,183366001,1,3500,75,75,130,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
5,105,106,1538,25,15,5,5,5,5,2,183366001,1,3500,75,75,140,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
6,106,107,1857,30,18,6,6,6,6,2,183366001,1,3500,75,75,150,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
7,107,108,2180,35,21,7,7,7,7,2,183366001,1,3500,75,75,160,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
8,108,109,2506,40,24,8,8,8,8,2,183366001,1,3500,75,75,170,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
9,109,110,2836,45,27,9,9,9,9,2,183366001,1,3500,75,75,180,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
10,110,111,3170,51,30,10,10,10,10,2,183366001,1,3500,75,75,190,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
11,111,112,3508,57,33,11,11,11,11,2,183366001,1,3500,75,75,200,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
12,112,113,3849,63,36,12,12,12,12,2,183366001,1,3500,75,75,210,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
13,113,114,4194,69,39,13,13,13,13,2,183366001,1,3500,75,75,220,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
14,114,115,4543,75,42,14,14,14,14,2,183366001,1,3500,75,75,230,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
15,115,116,4896,81,45,15,15,15,15,2,183366001,1,3500,75,75,240,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
16,116,117,5252,87,48,16,16,16,16,2,183366001,1,3500,75,75,250,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
17,117,118,5612,93,51,17,17,17,17,2,183366001,1,3500,75,75,260,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
18,118,119,5976,99,54,18,18,18,18,2,183366001,1,3500,75,75,270,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
19,119,120,6344,105,57,19,19,19,19,2,183366001,1,3500,75,75,280,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
20,120,201,6715,111,60,20,20,20,20,2,183366001,1,3500,75,75,290,ZUJI_huoyan_UI,ZUJI_huoyan,,炎流火步
21,201,202,7090,117,63,21,21,21,21,4,183366001,1,3500,75,75,250,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
22,202,203,7469,123,66,22,22,22,22,4,183366001,1,3500,75,75,265,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
23,203,204,7852,129,69,23,23,23,23,4,183366001,1,3500,75,75,280,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
24,204,205,8238,135,72,24,24,24,24,4,183366001,1,3500,75,75,295,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
25,205,206,8628,141,75,25,25,25,25,4,183366001,1,3500,75,75,310,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
26,206,207,9022,147,78,26,26,26,26,4,183366001,1,3500,75,75,325,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
27,207,208,9420,154,81,27,27,27,27,4,183366001,1,3500,75,75,340,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
28,208,209,9821,161,84,28,28,28,28,4,183366001,1,3500,75,75,355,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
29,209,210,10226,168,87,29,29,29,29,4,183366001,1,3500,75,75,370,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
30,210,211,10635,175,90,30,30,30,30,4,183366001,1,3500,75,75,385,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
31,211,212,11048,182,93,31,31,31,31,4,183366001,1,3500,75,75,400,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
32,212,213,11464,189,96,32,32,32,32,4,183366001,1,3500,75,75,415,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
33,213,214,11884,196,99,33,33,33,33,4,183366001,1,3500,75,75,430,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
34,214,215,12308,203,102,34,34,34,34,4,183366001,1,3500,75,75,445,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
35,215,216,12736,210,106,36,36,35,35,4,183366001,1,3500,75,75,460,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
36,216,217,13167,217,110,38,38,36,36,4,183366001,1,3500,75,75,475,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
37,217,218,13602,224,114,40,40,37,37,4,183366001,1,3500,75,75,490,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
38,218,219,14041,231,118,42,42,38,38,4,183366001,1,3500,75,75,505,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
39,219,220,14484,238,122,44,44,39,39,4,183366001,1,3500,75,75,520,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
40,220,301,14930,245,126,46,46,40,40,4,183366001,1,3500,75,75,535,ZUJI_hudie_UI,ZUJI_hudie,,香风蝶舞
41,301,302,15380,252,130,48,48,41,41,6,183366001,1,3500,75,75,500,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
42,302,303,15834,259,134,50,50,42,42,6,183366001,1,3500,75,75,518,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
43,303,304,16292,267,138,52,52,43,43,6,183366001,1,3500,75,75,536,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
44,304,305,16753,275,142,54,54,44,44,6,183366001,1,3500,75,75,554,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
45,305,306,17218,283,146,56,56,45,45,6,183366001,1,3500,75,75,572,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
46,306,307,17687,291,150,58,58,46,46,6,183366001,1,3500,75,75,590,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
47,307,308,18160,299,154,60,60,47,47,6,183366001,1,3500,75,75,608,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
48,308,309,18636,307,158,62,62,48,48,6,183366001,1,3500,75,75,626,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
49,309,310,19116,315,162,64,64,49,49,6,183366001,1,3500,75,75,644,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
50,310,311,19600,323,166,66,66,50,50,6,183366001,1,3500,75,75,662,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
51,311,312,20088,331,170,68,68,51,51,6,183366001,1,3500,75,75,680,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
52,312,313,20579,339,174,70,70,52,52,6,183366001,1,3500,75,75,698,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
53,313,314,21074,347,178,72,72,53,53,6,183366001,1,3500,75,75,716,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
54,314,315,21573,355,182,74,74,54,54,6,183366001,1,3500,75,75,734,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
55,315,316,22076,363,186,76,76,55,55,6,183366001,1,3500,75,75,752,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
56,316,317,22582,371,190,78,78,56,56,6,183366001,1,3500,75,75,770,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
57,317,318,23092,379,194,80,80,57,57,6,183366001,1,3500,75,75,788,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
58,318,319,23606,387,198,82,82,58,58,6,183366001,1,3500,75,75,806,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
59,319,320,24124,395,202,84,84,59,59,6,183366001,1,3500,75,75,824,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
60,320,321,24645,404,206,86,86,60,60,6,183366001,1,3500,75,75,842,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
61,321,322,25170,413,210,88,88,61,61,6,183366001,1,3500,75,75,860,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
62,322,323,25699,422,214,90,90,62,62,6,183366001,1,3500,75,75,878,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
63,323,324,26232,431,218,92,92,63,63,6,183366001,1,3500,75,75,896,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
64,324,325,26768,440,222,94,94,64,64,6,183366001,1,3500,75,75,914,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
65,325,326,27308,449,226,96,96,65,65,6,183366001,1,3500,75,75,932,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
66,326,327,27852,458,230,98,98,66,66,6,183366001,1,3500,75,75,950,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
67,327,328,28400,467,234,100,100,67,67,6,183366001,1,3500,75,75,968,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
68,328,329,28951,476,239,102,102,68,68,6,183366001,1,3500,75,75,986,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
69,329,330,29506,485,244,104,104,69,69,6,183366001,1,3500,75,75,1004,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
70,330,401,30065,494,249,106,106,70,70,6,183366001,1,3500,75,75,1122,ZUJI_binglianhua_UI,ZUJI_binglianhua,,雪绽冰莲
71,401,402,30628,503,254,108,108,71,71,8,183366001,1,3500,75,75,900,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
72,402,403,31194,512,259,110,110,72,72,8,183366001,1,3500,75,75,925,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
73,403,404,31764,521,264,112,112,73,73,8,183366001,1,3500,75,75,950,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
74,404,405,32338,530,269,114,114,74,74,8,183366001,1,3500,75,75,975,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
75,405,406,32916,539,274,116,116,75,75,8,183366001,1,3500,75,75,1000,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
76,406,407,33497,548,279,118,118,76,76,8,183366001,1,3500,75,75,1025,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
77,407,408,34082,558,284,120,120,77,77,8,183366001,1,3500,75,75,1050,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
78,408,409,34671,568,289,122,122,78,78,8,183366001,1,3500,75,75,1075,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
79,409,410,35264,578,294,124,124,79,79,8,183366001,1,3500,75,75,1100,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
80,410,411,35860,588,299,126,126,80,80,8,183366001,1,3500,75,75,1150,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
81,411,412,36460,598,304,128,128,81,81,8,183366001,1,3500,75,75,1250,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
82,412,413,37064,608,309,130,130,82,82,8,183366001,1,3500,75,75,1275,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
83,413,414,37672,618,314,132,132,83,83,8,183366001,1,3500,75,75,1300,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
84,414,415,38283,628,319,134,134,84,84,8,183366001,1,3500,75,75,1325,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
85,415,416,38898,638,324,136,136,85,85,8,183366001,1,3500,75,75,1350,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
86,416,417,39517,648,329,138,138,86,86,8,183366001,1,3500,75,75,1375,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
87,417,418,40140,658,334,140,140,87,87,8,183366001,1,3500,75,75,1400,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
88,418,419,40766,668,339,142,142,88,88,8,183366001,1,3500,75,75,1425,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
89,419,420,41396,678,344,144,144,89,89,8,183366001,1,3500,75,75,1450,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
90,420,421,42030,688,349,146,146,90,90,8,183366001,1,3500,75,75,1475,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
91,421,422,42668,698,354,148,148,91,91,8,183366001,1,3500,75,75,1500,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
92,422,423,43309,708,359,150,150,92,92,8,183366001,1,3500,75,75,1525,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
93,423,424,43954,719,364,152,152,93,93,8,183366001,1,3500,75,75,1550,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
94,424,425,44603,730,369,154,154,94,94,8,183366001,1,3500,75,75,1575,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
95,425,426,45256,741,374,156,156,95,95,8,183366001,1,3500,75,75,1600,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
96,426,427,45912,752,379,158,158,96,96,8,183366001,1,3500,75,75,1625,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
97,427,428,46572,763,384,160,160,97,97,8,183366001,1,3500,75,75,1650,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
98,428,429,47236,774,389,162,162,98,98,8,183366001,1,3500,75,75,1675,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
99,429,430,47904,785,394,164,164,99,99,8,183366001,1,3500,75,75,1700,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
100,430,501,48575,796,399,166,166,100,100,8,183366001,1,3500,75,75,2000,ZUJI_huacao_UI,ZUJI_huacao,,草木生灵
101,501,502,49250,807,405,169,169,101,101,10,183366001,1,3500,75,75,1400,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
102,502,503,49929,818,411,172,172,102,102,10,183366001,1,3500,75,75,1420,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
103,503,504,50612,829,417,175,175,103,103,10,183366001,1,3500,75,75,1440,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
104,504,505,51298,840,423,178,178,104,104,10,183366001,1,3500,75,75,1460,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
105,505,506,51988,851,429,181,181,105,105,10,183366001,1,3500,75,75,1480,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
106,506,507,52682,862,435,184,184,106,106,10,183366001,1,3500,75,75,1500,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
107,507,508,53380,873,441,187,187,107,107,10,183366001,1,3500,75,75,1520,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
108,508,509,54081,884,447,190,190,108,108,10,183366001,1,3500,75,75,1540,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
109,509,510,54786,895,453,193,193,109,109,10,183366001,1,3500,75,75,1560,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
110,510,511,55495,907,459,196,196,110,110,10,183366001,1,3500,75,75,1580,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
111,511,512,56208,919,465,199,199,111,111,10,183366001,1,3500,75,75,1600,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
112,512,513,56924,931,471,202,202,112,112,10,183366001,1,3500,75,75,1620,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
113,513,514,57644,943,477,205,205,113,113,10,183366001,1,3500,75,75,1640,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
114,514,515,58368,955,483,208,208,114,114,10,183366001,1,3500,75,75,1660,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
115,515,516,59096,967,489,211,211,115,115,10,183366001,1,3500,75,75,1900,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
116,516,517,59827,979,495,214,214,116,116,10,183366001,1,3500,75,75,1920,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
117,517,518,60562,991,501,217,217,117,117,10,183366001,1,3500,75,75,1940,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
118,518,519,61301,1003,507,220,220,118,118,10,183366001,1,3500,75,75,1960,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
119,519,520,62044,1015,513,223,223,119,119,10,183366001,1,3500,75,75,1980,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
120,520,521,62790,1027,519,226,226,120,120,10,183366001,1,3500,75,75,2000,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
121,521,522,63540,1039,525,229,229,121,121,10,183366001,1,3500,75,75,2020,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
122,522,523,64294,1051,531,232,232,122,122,10,183366001,1,3500,75,75,2040,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
123,523,524,65052,1063,537,235,235,123,123,10,183366001,1,3500,75,75,2060,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
124,524,525,65813,1075,543,238,238,124,124,10,183366001,1,3500,75,75,2080,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
125,525,526,66578,1087,549,241,241,125,125,10,183366001,1,3500,75,75,2100,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
126,526,527,67347,1100,555,244,244,126,126,10,183366001,1,3500,75,75,2120,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
127,527,528,68120,1113,561,247,247,127,127,10,183366001,1,3500,75,75,2140,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
128,528,529,68896,1126,567,250,250,128,128,10,183366001,1,3500,75,75,2160,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
129,529,530,69676,1139,573,253,253,129,129,10,183366001,1,3500,75,75,2180,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
130,530,601,70460,1152,579,256,256,130,130,10,183366001,1,3500,75,75,2500,ZUJI_shandian_UI,ZUJI_shandian,,雷海神游
131,601,602,71248,1165,585,259,259,131,131,12,183366001,1,3500,75,75,2160,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
132,602,603,72039,1178,591,262,262,132,132,12,183366001,1,3500,75,75,2186,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
133,603,604,72834,1191,597,265,265,133,133,12,183366001,1,3500,75,75,2213,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
134,604,605,73633,1204,603,268,268,134,134,12,183366001,1,3500,75,75,2239,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
135,605,606,74436,1217,610,271,271,136,136,12,183366001,1,3500,75,75,2266,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
136,606,607,75242,1230,617,274,274,138,138,12,183366001,1,3500,75,75,2292,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
137,607,608,76052,1243,624,277,277,140,140,12,183366001,1,3500,75,75,2318,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
138,608,609,76866,1256,631,280,280,142,142,12,183366001,1,3500,75,75,2345,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
139,609,610,77684,1269,638,283,283,144,144,12,183366001,1,3500,75,75,2371,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
140,610,611,78505,1282,645,286,286,146,146,12,183366001,1,3500,75,75,2398,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
141,611,612,79330,1295,652,289,289,148,148,12,183366001,1,3500,75,75,2424,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
142,612,613,80159,1308,659,292,292,150,150,12,183366001,1,3500,75,75,2450,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
143,613,614,80992,1322,666,295,295,152,152,12,183366001,1,3500,75,75,2477,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
144,614,615,81828,1336,673,298,298,154,154,12,183366001,1,3500,75,75,2503,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
145,615,616,82668,1350,680,301,301,156,156,12,183366001,1,3500,75,75,2530,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
146,616,617,83512,1364,687,304,304,158,158,12,183366001,1,3500,75,75,2556,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
147,617,618,84360,1378,694,307,307,160,160,12,183366001,1,3500,75,75,2582,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
148,618,619,85211,1392,701,310,310,162,162,12,183366001,1,3500,75,75,2760,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
149,619,620,86066,1406,708,313,313,164,164,12,183366001,1,3500,75,75,2798,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
150,620,621,86925,1420,715,316,316,166,166,12,183366001,1,3500,75,75,2837,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
151,621,622,87788,1434,722,319,319,168,168,12,183366001,1,3500,75,75,2875,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
152,622,623,88654,1448,729,322,322,170,170,12,183366001,1,3500,75,75,2914,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
153,623,624,89524,1462,736,325,325,172,172,12,183366001,1,3500,75,75,2952,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
