id,level,health,attack,defence,crit,hit,dodge,toughness,exp
1,0,0,0,0,0,0,0,0,6000
2,1,3000,30,15,3,3,3,3,14400
3,2,6500,65,32,6,6,6,6,25200
4,3,10500,105,52,10,10,10,10,38400
5,4,15000,150,75,15,15,15,15,54000
6,5,20000,200,100,20,20,20,20,72000
7,6,25500,255,127,25,25,25,25,92400
8,7,31500,315,157,31,31,31,31,115200
9,8,38000,380,190,38,38,38,38,140400
10,9,45000,450,225,45,45,45,45,168000
11,10,52500,525,262,52,52,52,52,198000
12,11,60500,605,302,60,60,60,60,230400
13,12,69000,690,345,69,69,69,69,265200
14,13,78000,780,390,78,78,78,78,337200
15,14,88000,880,440,88,88,88,88,460800
16,15,100000,1000,500,100,100,100,100,460800
