id,time,objectid,costnumber
1,1,215501001,2
2,2,215501001,2
3,3,215501001,2
4,4,215501001,4
5,5,215501001,4
6,6,215501001,4
7,7,215501001,6
8,8,215501001,6
9,9,215501001,6
10,10,215501001,8
11,11,215501001,8
12,12,215501001,8
13,13,215501001,10
14,14,215501001,10
15,15,215501001,10
16,16,215501001,12
17,17,215501001,12
18,18,215501001,12
19,19,215501001,14
20,20,215501001,14
21,21,215501001,14
22,22,215501001,16
23,23,215501001,16
24,24,215501001,16
25,25,215501001,18
26,26,215501001,18
27,27,215501001,18
28,28,215501001,20
29,29,215501001,20
30,30,215501001,20
