id,copy_id,target_id,position
1,10101,10102,(-176.1, -2, 16.2)
2,10102,10101,(41.75,1.5,-38.5)
3,10102,10103,(13.26,1.42,54.5)
4,10103,10102,(48.7, 24.24, 60.7)
5,10103,80101,(-46.0, 19.76, -29.7)
6,10103,10104,(7.4, 19.6, -26.5)
7,10104,10105,(19.9, -0.6, 1.5)
8,10104,10103,(51.75, 22.9, -182.1)
9,10105,10104,(-45.8, 13.4, 56.7)
10,80101,10103,(-44.2, -3.7, -40.2)
11,80101,80102,(36.59, -3.5, -61.81)
12,80102,80101,(-43.7, -3.3, -38.3)
13,80441,80442,(36.59, -3.5, -61.81)
14,80442,80441,(-44.2, -3.7, -40.2)
15,80442,80443,(36.59, -3.5, -61.81)
16,80443,80442,(-44.2, -3.7, -40.2)
