id,star,property,ratio,describe,property_type
1,1,2,1500,防御百分比,1
2,1,3,1500,生命百分比,1
3,1,4,1000,攻击固定值,0
4,1,5,3000,防御固定值,0
5,1,6,3000,生命固定值,0
6,2,1,200,攻击百分比,1
7,2,2,1500,防御百分比,1
8,2,3,1500,生命百分比,1
9,2,4,1500,攻击固定值,0
10,2,10,1300,暴击伤害固定加成,0
11,2,12,1000,闪避概率直接加成,0
12,2,20,1500,最终伤害加成固定值,0
13,2,21,1500,最终伤害减免固定值,0
14,3,1,400,攻击百分比,1
15,3,4,1000,攻击固定值,0
16,3,7,300,增伤比例,0
17,3,8,300,减伤比例,0
18,3,9,500,暴击伤害比例加成,0
19,3,10,1300,暴击伤害固定加成,0
20,3,13,1200,造成伤害吸血固定值,0
21,3,14,900,毒属性攻击,0
22,3,15,900,火属性攻击,0
23,3,19,1200,全属性抗性,0
24,3,20,1000,最终伤害加成固定值,0
25,3,21,1000,最终伤害减免固定值,0
26,4,1,600,攻击百分比,1
27,4,9,700,暴击伤害比例加成,0
28,4,10,1200,暴击伤害固定加成,0
29,4,11,1200,暴击概率直接加成,0
30,4,13,1000,造成伤害吸血固定值,0
31,4,14,900,毒属性攻击,0
32,4,15,900,火属性攻击,0
33,4,17,1100,暗属性攻击,0
34,4,18,1100,风属性攻击,0
35,4,19,1300,全属性抗性,0
36,5,7,500,增伤比例,0
37,5,8,500,减伤比例,0
38,5,9,900,暴击伤害比例加成,0
39,5,13,1000,造成伤害吸血固定值,0
40,5,14,1100,毒属性攻击,0
41,5,15,1100,火属性攻击,0
42,5,16,1200,冰属性攻击,0
43,5,17,1100,暗属性攻击,0
44,5,18,1100,风属性攻击,0
45,5,19,1500,全属性抗性,0
