id,max_level,level,color
1,1,1,5
2,2,1,4
3,2,2,5
4,3,1,3
5,3,2,4
6,3,3,5
7,4,1,2
8,4,2,3
9,4,3,4
10,4,4,5
11,5,1,2
12,5,2,2
13,5,3,3
14,5,4,4
15,5,5,5
16,6,1,2
17,6,2,2
18,6,3,3
19,6,4,3
20,6,5,4
21,6,6,5
22,7,1,2
23,7,2,2
24,7,3,3
25,7,4,3
26,7,5,4
27,7,6,4
28,7,7,5
29,8,1,2
30,8,2,2
31,8,3,3
32,8,4,3
33,8,5,4
34,8,6,4
35,8,7,5
36,8,8,5
37,9,1,2
38,9,2,2
39,9,3,2
40,9,4,3
41,9,5,3
42,9,6,4
43,9,7,4
44,9,8,5
45,9,9,5
46,10,1,2
47,10,2,2
48,10,3,2
49,10,4,3
50,10,5,3
51,10,6,3
52,10,7,4
53,10,8,4
54,10,9,5
55,10,10,5
56,11,1,2
57,11,2,2
58,11,3,2
59,11,4,3
60,11,5,3
61,11,6,3
62,11,7,4
63,11,8,4
64,11,9,4
65,11,10,5
66,11,11,5
67,12,1,2
68,12,2,2
69,12,3,2
70,12,4,3
71,12,5,3
72,12,6,3
73,12,7,4
74,12,8,4
75,12,9,4
76,12,10,5
77,12,11,5
78,12,12,5
79,13,1,2
80,13,2,2
81,13,3,2
82,13,4,2
83,13,5,3
84,13,6,3
85,13,7,3
86,13,8,4
87,13,9,4
88,13,10,4
89,13,11,5
90,13,12,5
91,13,13,5
92,14,1,2
93,14,2,2
94,14,3,2
95,14,4,2
96,14,5,3
97,14,6,3
98,14,7,3
99,14,8,3
100,14,9,4
101,14,10,4
102,14,11,4
103,14,12,5
104,14,13,5
105,14,14,5
106,15,1,2
107,15,2,2
108,15,3,2
109,15,4,2
110,15,5,3
111,15,6,3
112,15,7,3
113,15,8,3
114,15,9,4
115,15,10,4
116,15,11,4
117,15,12,4
118,15,13,5
119,15,14,5
120,15,15,5
121,16,1,2
122,16,2,2
123,16,3,2
124,16,4,2
125,16,5,3
126,16,6,3
127,16,7,3
128,16,8,3
129,16,9,4
130,16,10,4
131,16,11,4
132,16,12,4
133,16,13,5
134,16,14,5
135,16,15,5
136,16,16,5
137,17,1,2
138,17,2,2
139,17,3,2
140,17,4,2
141,17,5,2
142,17,6,3
143,17,7,3
144,17,8,3
145,17,9,3
146,17,10,4
147,17,11,4
148,17,12,4
149,17,13,4
150,17,14,5
151,17,15,5
152,17,16,5
153,17,17,5
154,18,1,2
155,18,2,2
156,18,3,2
157,18,4,2
158,18,5,2
159,18,6,3
160,18,7,3
161,18,8,3
162,18,9,3
163,18,10,3
164,18,11,4
165,18,12,4
166,18,13,4
167,18,14,4
168,18,15,5
169,18,16,5
170,18,17,5
171,18,18,5
172,19,1,2
173,19,2,2
174,19,3,2
175,19,4,2
176,19,5,2
177,19,6,3
178,19,7,3
179,19,8,3
180,19,9,3
181,19,10,3
182,19,11,4
183,19,12,4
184,19,13,4
185,19,14,4
186,19,15,4
187,19,16,5
188,19,17,5
189,19,18,5
190,19,19,5
191,20,1,2
192,20,2,2
193,20,3,2
194,20,4,2
195,20,5,2
196,20,6,3
197,20,7,3
198,20,8,3
199,20,9,3
200,20,10,3
201,20,11,4
202,20,12,4
203,20,13,4
204,20,14,4
205,20,15,4
206,20,16,5
207,20,17,5
208,20,18,5
209,20,19,5
210,20,20,5
