id,color,equip_level,level,star,kind
1,5,20,1,1,1
2,5,30,3,1,1
3,5,40,4,2,1
4,5,1050,6,2,1
5,5,3060,8,3,1
6,5,5070,10,3,1
7,5,7080,12,3,1
8,5,9090,14,4,1
9,5,11100,16,4,1
10,6,1050,10,3,1
11,6,3060,12,3,1
12,6,5070,14,4,1
13,6,7080,16,4,1
14,6,9090,18,4,1
15,6,11100,20,5,1
16,3,40,3,1,2
17,3,3060,4,2,2
18,3,7080,8,3,2
19,3,9090,10,3,2
20,3,11100,12,3,2
21,4,40,4,2,2
22,4,3060,8,3,2
23,4,7080,12,3,2
24,4,9090,14,4,2
25,4,11100,16,4,2
26,5,40,8,3,2
27,5,3060,12,3,2
28,5,7080,16,4,2
29,5,9090,18,4,2
30,5,11100,20,5,2
31,6,40,12,3,2
32,6,3060,16,4,2
33,6,7080,20,5,2
34,6,9090,20,5,2
35,6,11100,20,5,2
