id,property,level,kind,arg,describe,name
1,1,1,1,20,2-4星专属,攻击加成{0}级:+{1}%
2,1,2,1,40,,攻击加成{0}级:+{1}%
3,1,3,1,60,,攻击加成{0}级:+{1}%
4,1,4,1,80,,攻击加成{0}级:+{1}%
5,1,5,1,100,,攻击加成{0}级:+{1}%
6,1,6,1,120,,攻击加成{0}级:+{1}%
7,1,7,1,140,,攻击加成{0}级:+{1}%
8,1,8,1,160,,攻击加成{0}级:+{1}%
9,1,9,1,180,,攻击加成{0}级:+{1}%
10,1,10,1,200,,攻击加成{0}级:+{1}%
11,1,11,1,220,,攻击加成{0}级:+{1}%
12,1,12,1,240,,攻击加成{0}级:+{1}%
13,1,13,1,260,,攻击加成{0}级:+{1}%
14,1,14,1,280,,攻击加成{0}级:+{1}%
15,1,15,1,300,,攻击加成{0}级:+{1}%
16,1,16,1,320,,攻击加成{0}级:+{1}%
17,1,17,1,340,,攻击加成{0}级:+{1}%
18,1,18,1,360,,攻击加成{0}级:+{1}%
19,1,19,1,380,,攻击加成{0}级:+{1}%
20,1,20,1,400,,攻击加成{0}级:+{1}%
21,2,1,1,30,1-2星专属,防御加成{0}级:+{1}%
22,2,2,1,60,,防御加成{0}级:+{1}%
23,2,3,1,90,,防御加成{0}级:+{1}%
24,2,4,1,120,,防御加成{0}级:+{1}%
25,2,5,1,150,,防御加成{0}级:+{1}%
26,2,6,1,180,,防御加成{0}级:+{1}%
27,2,7,1,210,,防御加成{0}级:+{1}%
28,2,8,1,240,,防御加成{0}级:+{1}%
29,2,9,1,270,,防御加成{0}级:+{1}%
30,2,10,1,300,,防御加成{0}级:+{1}%
31,2,11,1,330,,防御加成{0}级:+{1}%
32,2,12,1,360,,防御加成{0}级:+{1}%
33,2,13,1,390,,防御加成{0}级:+{1}%
34,2,14,1,420,,防御加成{0}级:+{1}%
35,2,15,1,450,,防御加成{0}级:+{1}%
36,2,16,1,480,,防御加成{0}级:+{1}%
37,2,17,1,510,,防御加成{0}级:+{1}%
38,2,18,1,540,,防御加成{0}级:+{1}%
39,2,19,1,570,,防御加成{0}级:+{1}%
40,2,20,1,600,,防御加成{0}级:+{1}%
41,3,1,1,30,1-2星专属,生命加成{0}级:+{1}%
42,3,2,1,60,,生命加成{0}级:+{1}%
43,3,3,1,90,,生命加成{0}级:+{1}%
44,3,4,1,120,,生命加成{0}级:+{1}%
45,3,5,1,150,,生命加成{0}级:+{1}%
46,3,6,1,180,,生命加成{0}级:+{1}%
47,3,7,1,210,,生命加成{0}级:+{1}%
48,3,8,1,240,,生命加成{0}级:+{1}%
49,3,9,1,270,,生命加成{0}级:+{1}%
50,3,10,1,300,,生命加成{0}级:+{1}%
51,3,11,1,330,,生命加成{0}级:+{1}%
52,3,12,1,360,,生命加成{0}级:+{1}%
53,3,13,1,390,,生命加成{0}级:+{1}%
54,3,14,1,420,,生命加成{0}级:+{1}%
55,3,15,1,450,,生命加成{0}级:+{1}%
56,3,16,1,480,,生命加成{0}级:+{1}%
57,3,17,1,510,,生命加成{0}级:+{1}%
58,3,18,1,540,,生命加成{0}级:+{1}%
59,3,19,1,570,,生命加成{0}级:+{1}%
60,3,20,1,600,,生命加成{0}级:+{1}%
61,4,1,0,150,1-3星专属,攻击{0}级:+{1}
62,4,2,0,300,,攻击{0}级:+{1}
63,4,3,0,450,,攻击{0}级:+{1}
64,4,4,0,600,,攻击{0}级:+{1}
65,4,5,0,750,,攻击{0}级:+{1}
66,4,6,0,900,,攻击{0}级:+{1}
67,4,7,0,1050,,攻击{0}级:+{1}
68,4,8,0,1200,,攻击{0}级:+{1}
69,4,9,0,1350,,攻击{0}级:+{1}
70,4,10,0,1500,,攻击{0}级:+{1}
71,4,11,0,1650,,攻击{0}级:+{1}
72,4,12,0,1800,,攻击{0}级:+{1}
73,4,13,0,1950,,攻击{0}级:+{1}
74,4,14,0,2100,,攻击{0}级:+{1}
