id,kind,level,nextlevel,health,attack,defend,crit,toughness,hit,dodge,blood,process
1,1,0,1,0,500,0,0,0,0,0,0,50
2,1,1,2,0,500,0,0,0,0,0,0,5
3,1,2,3,0,550,0,0,0,0,0,0,9
4,1,3,4,0,605,0,0,0,0,0,0,13
5,1,4,5,0,665,0,0,0,0,0,0,17
6,1,5,6,0,730,0,0,0,0,0,0,21
7,1,6,7,0,800,0,0,0,0,0,0,25
8,1,7,8,0,875,0,0,0,0,0,0,29
9,1,8,9,0,955,0,0,0,0,0,0,33
10,1,9,10,0,1040,0,0,0,0,0,0,37
11,1,10,11,0,1130,0,0,0,0,0,0,41
12,1,11,12,0,1225,0,0,0,0,0,0,45
13,1,12,13,0,1325,0,0,0,0,0,0,49
14,1,13,14,0,1430,0,0,0,0,0,0,53
15,1,14,15,0,1540,0,0,0,0,0,0,57
16,1,15,16,0,1655,0,0,0,0,0,0,61
17,1,16,17,0,1775,0,0,0,0,0,0,65
18,1,17,18,0,1900,0,0,0,0,0,0,69
19,1,18,19,0,2030,0,0,0,0,0,0,73
20,1,19,20,0,2165,0,0,0,0,0,0,77
21,1,20,21,0,2305,0,0,0,0,0,0,81
22,1,21,22,0,2450,0,0,0,0,0,0,85
23,1,22,23,0,2600,0,0,0,0,0,0,89
24,1,23,24,0,2755,0,0,0,0,0,0,93
25,1,24,25,0,2915,0,0,0,0,0,0,97
26,1,25,26,0,3080,0,0,0,0,0,0,101
27,1,26,27,0,3250,0,0,0,0,0,0,105
28,1,27,28,0,3425,0,0,0,0,0,0,109
29,1,28,29,0,3605,0,0,0,0,0,0,113
30,1,29,30,0,3790,0,0,0,0,0,0,117
31,1,30,31,0,3980,0,0,0,0,0,0,121
32,1,31,32,0,4175,0,0,0,0,0,0,125
33,1,32,33,0,4375,0,0,0,0,0,0,129
34,1,33,34,0,4580,0,0,0,0,0,0,133
35,1,34,35,0,4790,0,0,0,0,0,0,137
36,1,35,36,0,5005,0,0,0,0,0,0,141
37,1,36,37,0,5225,0,0,0,0,0,0,145
38,1,37,38,0,5450,0,0,0,0,0,0,149
39,1,38,39,0,5680,0,0,0,0,0,0,153
40,1,39,40,0,5915,0,0,0,0,0,0,157
41,1,40,41,0,6155,0,0,0,0,0,0,161
42,1,41,42,0,6400,0,0,0,0,0,0,165
43,1,42,43,0,6650,0,0,0,0,0,0,169
44,1,43,44,0,6905,0,0,0,0,0,0,173
45,1,44,45,0,7165,0,0,0,0,0,0,177
46,1,45,46,0,7430,0,0,0,0,0,0,181
47,1,46,47,0,7700,0,0,0,0,0,0,185
48,1,47,48,0,7975,0,0,0,0,0,0,189
49,1,48,49,0,8255,0,0,0,0,0,0,193
50,1,49,50,0,8540,0,0,0,0,0,0,197
51,1,50,51,0,8830,0,0,0,0,0,0,201
52,1,51,52,0,9125,0,0,0,0,0,0,205
53,1,52,53,0,9425,0,0,0,0,0,0,209
54,1,53,54,0,9730,0,0,0,0,0,0,213
55,1,54,55,0,10040,0,0,0,0,0,0,217
56,1,55,56,0,10355,0,0,0,0,0,0,221
57,1,56,57,0,10675,0,0,0,0,0,0,225
58,1,57,58,0,11000,0,0,0,0,0,0,229
59,1,58,59,0,11330,0,0,0,0,0,0,233
60,1,59,60,0,11665,0,0,0,0,0,0,237
61,1,60,61,0,12005,0,0,0,0,0,0,241
62,1,61,62,0,12350,0,0,0,0,0,0,245
63,1,62,63,0,12700,0,0,0,0,0,0,249
64,1,63,64,0,13055,0,0,0,0,0,0,253
65,1,64,65,0,13415,0,0,0,0,0,0,257
66,1,65,66,0,13780,0,0,0,0,0,0,261
67,1,66,67,0,14150,0,0,0,0,0,0,265
68,1,67,68,0,14525,0,0,0,0,0,0,269
69,1,68,69,0,14905,0,0,0,0,0,0,273
70,1,69,70,0,15290,0,0,0,0,0,0,277
71,1,70,71,0,15680,0,0,0,0,0,0,281
72,1,71,72,0,16075,0,0,0,0,0,0,285
73,1,72,73,0,16475,0,0,0,0,0,0,289
74,1,73,74,0,16880,0,0,0,0,0,0,293
75,1,74,75,0,17290,0,0,0,0,0,0,297
76,1,75,76,0,17705,0,0,0,0,0,0,301
77,1,76,77,0,18125,0,0,0,0,0,0,305
78,1,77,78,0,18550,0,0,0,0,0,0,309
79,1,78,79,0,18980,0,0,0,0,0,0,313
80,1,79,80,0,19415,0,0,0,0,0,0,317
81,1,80,81,0,19855,0,0,0,0,0,0,321
82,1,81,82,0,20300,0,0,0,0,0,0,325
83,1,82,83,0,20750,0,0,0,0,0,0,329
84,1,83,84,0,21205,0,0,0,0,0,0,333
85,1,84,85,0,21665,0,0,0,0,0,0,337
86,1,85,86,0,22130,0,0,0,0,0,0,341
87,1,86,87,0,22600,0,0,0,0,0,0,345
88,1,87,88,0,23075,0,0,0,0,0,0,349
89,1,88,89,0,23555,0,0,0,0,0,0,353
90,1,89,90,0,24040,0,0,0,0,0,0,357
91,1,90,91,0,24530,0,0,0,0,0,0,361
92,1,91,92,0,25025,0,0,0,0,0,0,365
93,1,92,93,0,25525,0,0,0,0,0,0,369
94,1,93,94,0,26030,0,0,0,0,0,0,373
95,1,94,95,0,26540,0,0,0,0,0,0,377
96,1,95,96,0,27055,0,0,0,0,0,0,381
97,1,96,97,0,27575,0,0,0,0,0,0,385
98,1,97,98,0,28100,0,0,0,0,0,0,389
99,1,98,99,0,28630,0,0,0,0,0,0,393
100,1,99,100,0,29165,0,0,0,0,0,0,397
101,1,100,-1,0,29705,0,0,0,0,0,0,397
102,2,0,1,2000,0,0,0,0,0,0,0,400
103,2,1,2,2000,0,0,0,0,0,0,0,100
104,2,2,3,2500,0,0,0,0,0,0,0,130
105,2,3,4,3050,0,0,0,0,0,0,0,160
106,2,4,5,3650,0,0,0,0,0,0,0,190
107,2,5,6,4300,0,0,0,0,0,0,0,220
108,2,6,7,5000,0,0,0,0,0,0,0,250
109,2,7,8,5750,0,0,0,0,0,0,0,280
110,2,8,9,6550,0,0,0,0,0,0,0,310
111,2,9,10,7400,0,0,0,0,0,0,0,340
112,2,10,11,8300,0,0,0,0,0,0,0,370
113,2,11,12,9250,0,0,0,0,0,0,0,400
114,2,12,13,10250,0,0,0,0,0,0,0,430
115,2,13,14,11300,0,0,0,0,0,0,0,460
116,2,14,15,12400,0,0,0,0,0,0,0,490
117,2,15,16,13550,0,0,0,0,0,0,0,520
118,2,16,17,14750,0,0,0,0,0,0,0,550
119,2,17,18,16000,0,0,0,0,0,0,0,580
120,2,18,19,17300,0,0,0,0,0,0,0,610
121,2,19,20,18650,0,0,0,0,0,0,0,640
122,2,20,21,20050,0,0,0,0,0,0,0,670
123,2,21,22,21500,0,0,0,0,0,0,0,700
124,2,22,23,23000,0,0,0,0,0,0,0,730
125,2,23,24,24550,0,0,0,0,0,0,0,760
126,2,24,25,26150,0,0,0,0,0,0,0,790
127,2,25,26,27800,0,0,0,0,0,0,0,820
128,2,26,27,29500,0,0,0,0,0,0,0,850
