id,taskid,parenttask,level
1,600000004,-1,22
2,600000001,600000004,24
3,600000002,600000001,24
4,600000003,600000002,27
5,600000005,600000003,32
6,600000006,600000005,32
7,600000009,600000006,33
8,600000033,600000009,34
9,600000012,600000033,34
10,600000010,600000012,35
11,600000013,600000010,37
12,600000017,600000013,38
13,600000018,600000017,42
14,600000035,600000018,42
15,600000011,600000035,43
16,600000020,600000011,44
17,600000030,600000020,44
18,600000034,600000030,1040
19,600000016,600000034,1041
20,600000021,600000016,1044
21,600000023,600000021,1046
22,600000019,600000023,1047
23,600000025,600000019,1048
24,600000027,600000025,1049
25,600000026,600000027,1050
26,600000031,600000026,1050
27,600000032,600000031,2045
28,600000028,600000032,2046
29,600000029,600000028,2047
30,600000024,600000029,2047
31,600000014,600000024,2050
32,600000015,600000014,3059
