id,rank_min,rank_max,objectid,number_1,number_2,kind
1,1,1,215507001,1500,750,1
2,2,3,215507001,1200,600,1
3,4,6,215507001,900,450,1
4,7,12,215507001,600,300,1
5,13,20,215507001,500,250,1
6,21,30,215507001,400,200,1
7,1,1,215507001,2250,1125,2
8,2,3,215507001,1800,900,2
9,4,6,215507001,1350,675,2
10,7,12,215507001,900,450,2
11,13,20,215507001,750,375,2
12,21,30,215507001,600,300,2
13,1,1,215507001,3000,1500,3
14,2,3,215507001,2400,1200,3
15,4,6,215507001,1800,900,3
16,7,12,215507001,1200,600,3
17,13,20,215507001,1000,500,3
18,21,30,215507001,800,400,3
