id,skill_type,skill_icon,level,guild_level,cost_id,cost_number,property_number,describe
1,1,100004,0,1,215507001,500,0,生命
2,1,100004,1,1,215507001,1000,1000,生命
3,1,100004,2,2,215507001,1500,2000,生命
4,1,100004,3,2,215507001,2000,3000,生命
5,1,100004,4,3,215507001,2500,4000,生命
6,1,100004,5,3,215507001,3000,5000,生命
7,1,100004,6,4,215507001,3500,6000,生命
8,1,100004,7,4,215507001,4000,7000,生命
9,1,100004,8,5,215507001,4500,8000,生命
10,1,100004,9,5,215507001,5000,9000,生命
11,1,100004,10,6,215507001,5500,10000,生命
12,1,100004,11,6,215507001,6000,11000,生命
13,1,100004,12,7,215507001,6500,12000,生命
14,1,100004,13,7,215507001,7000,13000,生命
15,1,100004,14,8,215507001,7500,14000,生命
16,1,100004,15,8,215507001,8000,15000,生命
17,1,100004,16,9,215507001,8500,16000,生命
18,1,100004,17,9,215507001,9000,17000,生命
19,1,100004,18,10,215507001,9500,18000,生命
20,1,100004,19,10,215507001,10000,19000,生命
21,1,100004,20,11,215507001,10500,20000,生命
22,1,100004,21,11,215507001,11000,21000,生命
23,1,100004,22,12,215507001,11500,22000,生命
24,1,100004,23,12,215507001,12000,23000,生命
25,1,100004,24,12,215507001,-1,24000,生命
26,2,100005,0,1,215507001,500,0,攻击
27,2,100005,1,1,215507001,1000,20,攻击
28,2,100005,2,2,215507001,1500,40,攻击
29,2,100005,3,2,215507001,2000,60,攻击
30,2,100005,4,3,215507001,2500,80,攻击
31,2,100005,5,3,215507001,3000,100,攻击
32,2,100005,6,4,215507001,3500,120,攻击
33,2,100005,7,4,215507001,4000,140,攻击
34,2,100005,8,5,215507001,4500,160,攻击
35,2,100005,9,5,215507001,5000,180,攻击
36,2,100005,10,6,215507001,5500,200,攻击
37,2,100005,11,6,215507001,6000,220,攻击
38,2,100005,12,7,215507001,6500,240,攻击
39,2,100005,13,7,215507001,7000,260,攻击
40,2,100005,14,8,215507001,7500,280,攻击
41,2,100005,15,8,215507001,8000,300,攻击
42,2,100005,16,9,215507001,8500,320,攻击
43,2,100005,17,9,215507001,9000,340,攻击
44,2,100005,18,10,215507001,9500,360,攻击
45,2,100005,19,10,215507001,10000,380,攻击
46,2,100005,20,11,215507001,10500,400,攻击
47,2,100005,21,11,215507001,11000,420,攻击
48,2,100005,22,12,215507001,11500,440,攻击
49,2,100005,23,12,215507001,12000,460,攻击
50,2,100005,24,12,215507001,-1,480,攻击
51,3,100006,0,1,215507001,500,0,防御
52,3,100006,1,1,215507001,1000,20,防御
53,3,100006,2,2,215507001,1500,40,防御
54,3,100006,3,2,215507001,2000,60,防御
55,3,100006,4,3,215507001,2500,80,防御
56,3,100006,5,3,215507001,3000,100,防御
57,3,100006,6,4,215507001,3500,120,防御
