id,icon,size
1,10094,0.5
2,40048,0.5
3,40009,0.5
4,40044,0.5
5,10127,0.5
6,40005,0.5
7,40040,0.5
8,10123,0.5
9,10042,0.5
10,40001,0.5
11,143154140,0.5
12,143162240,0.5
13,182352001,0.5
14,40039,0.5
15,40035,0.5
16,40031,0.5
17,11121,0.5
18,143159220,0.5
19,143156230,0.5
20,142153140,0.5
21,143161220,0.5
22,40065,0.5
23,40026,0.5
24,40022,0.5
25,143152220,0.5
26,40056,0.5
27,10139,0.5
28,40017,0.5
29,40052,0.5
30,40013,0.5
31,10131,0.5
32,10050,0.5
33,173304007,0.5
34,142155140,0.5
35,142160130,0.5
36,40047,0.5
37,10049,0.5
38,40008,0.5
39,10126,0.5
40,10045,0.5
41,40004,0.5
42,10122,0.5
43,10041,0.5
44,142157230,0.5
45,143154340,0.5
46,40038,0.5
47,40034,0.5
48,40030,0.5
49,183359001,0.5
50,142153340,0.5
51,40029,0.5
52,40064,0.5
53,40025,0.5
54,40060,0.5
55,40021,0.5
56,143162140,0.5
57,195402001,0.5
58,40059,0.5
59,40055,0.5
60,10138,0.5
61,40016,0.5
62,40051,0.5
63,10134,0.5
64,40012,0.5
65,10130,0.5
66,143159120,0.5
67,142155340,0.5
68,143156130,0.5
69,142160330,0.5
70,143161120,0.5
71,40046,0.5
72,10129,0.5
73,10048,0.5
74,40007,0.5
75,40042,0.5
76,10125,0.5
77,40003,0.5
78,10121,0.5
79,143152120,0.5
80,40037,0.5
81,40033,0.5
82,11123,0.5
83,40028,0.5
84,40063,0.5
85,40024,0.5
86,40020,0.5
87,142157130,0.5
88,143154240,0.5
89,143162340,0.5
90,40058,0.5
91,40019,0.5
92,40054,0.5
93,10137,0.5
94,40015,0.5
95,40050,0.5
96,10133,0.5
97,40011,0.5
98,143159320,0.5
99,10142,0.5
100,143156330,0.5
101,142153240,0.5
102,143161320,0.5
103,40049,0.5
104,40045,0.5
105,10128,0.5
106,10047,0.5
107,40006,0.5
108,40041,0.5
109,10124,0.5
110,10043,0.5
111,40002,0.5
112,10120,0.5
113,143152320,0.5
114,40036,0.5
115,10119,0.5
116,40032,0.5
117,10141,0.5
118,142155240,0.5
119,195401001,0.5
120,142160230,0.5
121,40027,0.5
122,40062,0.5
123,40023,0.5
124,142157330,0.5
125,40057,0.5
126,40018,0.5
127,40053,0.5
128,40014,0.5
129,10132,0.5
130,10051,0.5
131,40010,0.5
132,182353001,0.5
133,143151220,0.5
134,143157230,0.5
135,143151120,0.5
136,143157130,0.5
137,40068,0.5
138,143151320,0.5
139,143157330,0.5
140,40067,0.5
141,10135,0.5
142,40043,0.5
