id,objectid,nowlv,nextlv,costid,costnumber,costmoney,defence,toughness,dodge,minprocess,maxprocess
1,223554001,0,1,183360001,1,3800,20,20,10,5,15
2,223554001,1,2,183360001,2,7600,50,50,25,4,14
3,223554001,2,3,183360001,4,15200,90,90,45,4,12
4,223554001,3,4,183360001,5,19000,140,140,70,3,11
5,223554001,4,5,183360001,7,26600,200,200,100,3,9
6,223554001,5,6,183360001,9,34200,270,270,135,3,9
7,223554001,6,7,183360001,10,38000,350,350,175,2,8
8,223554001,7,8,183360001,12,45600,440,440,220,2,8
9,223554001,8,9,183360001,13,49400,540,540,270,2,6
10,223554001,9,10,183360001,14,53200,650,650,325,2,4
11,223554001,10,-1,183360001,0,0,770,770,385,-1,-1
12,224554002,0,1,183360001,1,3800,40,40,30,5,15
13,224554002,1,2,183360001,2,7600,70,70,45,4,14
14,224554002,2,3,183360001,4,15200,110,110,65,4,12
15,224554002,3,4,183360001,5,19000,160,160,90,3,11
16,224554002,4,5,183360001,7,26600,220,220,120,3,9
17,224554002,5,6,183360001,9,34200,290,290,155,3,9
18,224554002,6,7,183360001,10,38000,370,370,195,2,8
19,224554002,7,8,183360001,12,45600,460,460,240,2,8
20,224554002,8,9,183360001,13,49400,560,560,290,2,6
21,224554002,9,10,183360001,14,53200,670,670,345,2,4
22,224554002,10,-1,183360001,0,0,790,790,405,-1,-1
23,225554003,0,1,183360001,1,3800,100,100,90,5,15
24,225554003,1,2,183360001,2,7600,130,130,105,4,14
25,225554003,2,3,183360001,4,15200,170,170,125,4,12
26,225554003,3,4,183360001,5,19000,220,220,150,3,11
27,225554003,4,5,183360001,7,26600,280,280,180,3,9
28,225554003,5,6,183360001,9,34200,350,350,215,3,9
29,225554003,6,7,183360001,10,38000,430,430,255,2,8
30,225554003,7,8,183360001,12,45600,520,520,300,2,8
31,225554003,8,9,183360001,13,49400,620,620,350,2,6
32,225554003,9,10,183360001,14,53200,730,730,405,2,4
33,225554003,10,-1,183360001,0,0,850,850,465,-1,-1
