id,nowlv,nextlv,costid,costnumber,costmoney,health,attack,defence,crit,hit,dodge,toughness,minprocess,maxprocess
1,100,101,183365001,1,9800,0,0,0,0,0,0,0,140,347
2,101,102,183365001,1,9800,0,0,0,0,60,0,0,123,303
3,102,103,183365001,1,9800,6000,0,0,0,60,0,0,105,260
4,103,104,183365001,1,9800,6000,0,0,0,60,60,0,88,217
5,104,105,183365001,1,9800,6000,0,0,0,60,60,120,70,173
6,105,106,183365001,1,9800,6000,0,0,120,60,60,120,53,130
7,106,107,183365001,2,9800,6000,0,120,120,60,60,120,35,87
8,107,108,183365001,2,19600,6000,120,120,120,60,60,120,42,104
9,108,109,183365001,2,19600,6000,120,120,120,150,60,120,39,95
10,109,200,183365001,3,19600,15000,120,120,120,150,60,120,35,87
11,200,201,183365001,3,19600,15000,120,120,120,150,150,120,32,78
12,201,202,183365001,3,19600,15000,120,120,120,150,150,300,28,69
13,202,203,183365001,3,19600,15000,120,120,300,150,150,300,25,61
14,203,204,183365001,4,19600,15000,120,300,300,150,150,300,21,52
15,204,205,183365001,4,29400,15000,300,300,300,150,150,300,25,61
16,205,206,183365001,4,29400,15000,300,300,300,270,150,300,23,56
17,206,207,183365001,4,29400,27000,300,300,300,270,150,300,21,52
18,207,208,183365001,4,29400,27000,300,300,300,270,270,300,19,48
19,208,209,183365001,4,29400,27000,300,300,300,270,270,540,18,43
20,209,300,183365001,4,29400,27000,300,300,540,270,270,540,16,39
21,300,301,183365001,4,29400,27000,300,540,540,270,270,540,14,35
22,301,302,183365001,4,39200,27000,540,540,540,270,270,540,14,35
23,302,303,183365001,4,39200,27000,540,540,540,420,270,540,14,34
24,303,304,183365001,4,39200,42000,540,540,540,420,270,540,14,34
25,304,305,183365001,4,39200,42000,540,540,540,420,420,540,13,33
26,305,306,183365001,4,39200,42000,540,540,540,420,420,840,13,33
27,306,307,183365001,4,39200,42000,540,540,840,420,420,840,13,33
28,307,308,183365001,5,39200,42000,540,840,840,420,420,840,13,32
29,308,309,183365001,5,49000,42000,840,840,840,420,420,840,13,32
30,309,400,183365001,5,49000,42000,840,840,840,600,420,840,13,31
31,400,401,183365001,5,49000,60000,840,840,840,600,420,840,12,31
32,401,402,183365001,5,49000,60000,840,840,840,600,600,840,12,30
33,402,403,183365001,5,49000,60000,840,840,840,600,600,1200,12,30
34,403,404,183365001,5,49000,60000,840,840,1200,600,600,1200,12,29
35,404,405,183365001,5,49000,60000,840,1200,1200,600,600,1200,12,29
36,405,406,183365001,5,58800,60000,1200,1200,1200,600,600,1200,12,29
37,406,407,183365001,5,58800,60000,1200,1200,1200,810,600,1200,11,28
38,407,408,183365001,5,58800,81000,1200,1200,1200,810,600,1200,11,28
39,408,409,183365001,5,58800,81000,1200,1200,1200,810,810,1200,11,27
40,409,500,183365001,6,58800,81000,1200,1200,1200,810,810,1620,11,27
41,500,501,183365001,6,58800,81000,1200,1200,1620,810,810,1620,11,26
42,501,502,183365001,6,58800,81000,1200,1620,1620,810,810,1620,11,26
43,502,503,183365001,6,68600,81000,1620,1620,1620,810,810,1620,10,26
44,503,504,183365001,6,68600,81000,1620,1620,1620,1050,810,1620,10,25
45,504,505,183365001,6,68600,105000,1620,1620,1620,1050,810,1620,10,25
46,505,506,183365001,6,68600,105000,1620,1620,1620,1050,1050,1620,10,24
47,506,507,183365001,6,68600,105000,1620,1620,1620,1050,1050,2100,10,24
48,507,508,183365001,6,68600,105000,1620,1620,2100,1050,1050,2100,10,23
49,508,509,183365001,6,68600,105000,1620,2100,2100,1050,1050,2100,10,23
50,509,600,183365001,7,78400,105000,2100,2100,2100,1050,1050,2100,10,23
51,600,601,183365001,7,78400,105000,2100,2100,2100,1320,1050,2100,10,22
52,601,602,183365001,7,78400,132000,2100,2100,2100,1320,1050,2100,10,22
53,602,603,183365001,7,78400,132000,2100,2100,2100,1320,1320,2100,10,21
54,603,604,183365001,7,78400,132000,2100,2100,2100,1320,1320,2640,10,21
55,604,605,183365001,7,78400,132000,2100,2100,2640,1320,1320,2640,10,20
56,605,606,183365001,8,78400,132000,2100,2640,2640,1320,1320,2640,10,20
57,606,607,183365001,8,88200,132000,2640,2640,2640,1320,1320,2640,10,19
58,607,608,183365001,8,88200,132000,2640,2640,2640,1640,1320,2640,10,18
59,608,609,183365001,8,88200,164000,2640,2640,2640,1640,1320,2640,10,18
60,609,700,183365001,8,88200,164000,2640,2640,2640,1640,1640,2640,10,17
61,700,701,183365001,8,88200,164000,2640,2640,2640,1640,1640,3280,10,17
62,701,702,183365001,8,88200,164000,2640,2640,3280,1640,1640,3280,10,16
63,702,703,183365001,9,88200,164000,2640,3280,3280,1640,1640,3280,10,16
64,703,704,183365001,9,98000,164000,3280,3280,3280,1640,1640,3280,10,16
65,704,705,183365001,9,98000,164000,3280,3280,3280,2000,1640,3280,10,15
66,705,706,183365001,9,98000,200000,3280,3280,3280,2000,1640,3280,10,15
67,706,707,183365001,9,98000,200000,3280,3280,3280,2000,2000,3280,10,15
68,707,708,183365001,9,98000,200000,3280,3280,3280,2000,2000,4000,10,15
69,708,709,183365001,9,98000,200000,3280,3280,4000,2000,2000,4000,10,15
70,709,710,183365001,9,98000,200000,3280,4000,4000,2000,2000,4000,10,15
71,710,-1,183365001,10,100000,200000,4000,4000,4000,2000,2000,4000,10,15
