id,modelid,position,rotation,scale,size,systemid
1,1,(-170.5,-203,1500),(4.97,135,-7.94),(130,130,130),0.45,131010000
2,2,(-169,-203,1500),(5.38,134.7,-6.19),(130,130,130),0.45,131010000
3,3,(-193,-210,1500),(6.52,134.4,-6.57),(120,120,120),0.6,131010000
4,4,(-169,-214,1500),(7.27,133,-7.7),(120,120,120),0.5,131010000
5,5,(-205.5,-211,1500),(7.39,133.09,-8.65),(120,120,120),0.5,131010000
6,6,(-183,-211,1500),(6.8,134.87,-6.01),(110,110,110),0.45,131010000
7,7,(-157,-211,1500),(5.55,142,-6.14),(120,120,120),0.6,131010000
8,8,(-164.2,-213,1500),(11.27,135.97,-4.8),(90,90,90),0.45,131010000
9,9,(-160,-215,1500),(7.7,134.6,-7.2),(100,100,100),0.45,131010000
10,10,(-106,-208.9,1500),(7.4,145,-7.56),(100,100,100),0.45,131010000
11,11,(-153,-193,1500),(0,121.66,0),(100,100,100),0.5,131010000
12,12,(-193,-257,1500),(5.69,142,-6.05),(100,100,100),0.45,131010000
13,13,(-193,-169,1500),(5.69,142,-6.05),(100,100,100),0.45,131010000
14,14,(-142.16,-191,1500),(8.99,134.5,-11.8),(100,100,100),0.45,131010000
15,15,(-198.4,-202.9,1500),(7.0,125.97,-4.8),(100,100,100),0.45,131010000
16,1,(11.3,-142,1510),(4.97,135,-7.94),(80,80,80),0.4,180000000
17,2,(17.2,-142,1510),(5.38,134.7,-6.19),(85,85,85),0.4,180000000
18,3,(-0.6,-145,1510),(6.52,134.4,-6.57),(80,80,80),0.4,180000000
19,4,(-1.7,-148,1510),(7.27,133,-7.7),(80,80,80),0.4,180000000
20,5,(26.3,-145,1510),(7.39,133.09,-8.65),(90,90,90),0.4,180000000
21,6,(14.2,-144,1510),(6.8,134.87,-6.01),(80,80,80),0.4,180000000
22,7,(15.1,-144,1510),(5.55,142,-6.14),(90,90,90),0.4,180000000
23,8,(15.1,-144,1510),(11.27,135.97,-4.8),(70,70,70),0.4,180000000
24,9,(27,-146,1510),(7.7,134.6,-7.2),(85,85,85),0.4,180000000
25,10,(107,-173.9,1500),(7.4,145,-7.56),(90,90,90),0.4,180000000
26,11,(-81.1,-147,1500),(0,121.66,0),(80,80,80),0.4,180000000
27,12,(-31,-122.8,1500),(5.69,142,-6.05),(80,80,80),0.4,180000000
28,13,(-31,-122.8,1500),(5.69,142,-6.05),(80,80,80),0.4,180000000
29,14,(29,-135,1500),(10.5,150,-9.76),(90,90,90),0.4,180000000
30,15,(15.1,-144,1510),(11.27,135.97,-4.8),(70,70,70),0.4,180000000
31,1,(-170.5,-203,1100),(4.97,135,-7.94),(130,130,130),0.45,273000000
32,2,(-169,-203,1100),(5.38,134.7,-6.19),(130,130,130),0.45,273000000
33,3,(-193,-210,1100),(6.52,134.4,-6.57),(120,120,120),0.6,273000000
34,4,(-169,-214,1100),(7.27,133,-7.7),(120,120,120),0.5,273000000
35,5,(-167,-211,1100),(7.39,133.09,-8.65),(120,120,120),0.5,273000000
36,6,(-173,-211,1100),(6.8,134.87,-6.01),(110,110,110),0.45,273000000
37,7,(-157,-211,1100),(5.55,142,-6.14),(120,120,120),0.6,273000000
38,8,(-160,-215,1100),(11.27,135.97,-4.8),(90,90,90),0.45,273000000
39,9,(-160,-215,1100),(7.7,134.6,-7.2),(100,100,100),0.45,273000000
40,10,(-106,-208.9,1100),(7.4,145,-7.56),(100,100,100),0.45,273000000
41,11,(-153,-193,1100),(0,121.66,0),(100,100,100),0.5,273000000
42,12,(-193,-257,1100),(5.69,142,-6.05),(100,100,100),0.45,273000000
43,13,(-193,-257,1100),(5.69,142,-6.05),(100,100,100),0.45,273000000
44,14,(-106,-208.9,1100),(7.4,145,-7.56),(100,100,100),0.45,273000000
45,15,(-160,-215,1100),(11.27,135.97,-4.8),(90,90,90),0.45,273000000
46,1,(-7.8,-214,900),(4.97,135,-7.94),(130,130,130),0.45,131010200
47,2,(11.6,-210,900),(5.38,134.7,-6.19),(130,130,130),0.45,131010200
48,3,(-25,-214,900),(6.52,134.4,-6.57),(120,120,120),0.45,131010200
49,4,(18.7,-219,900),(7.27,133,-7.7),(120,120,120),0.5,131010200
50,5,(-37,-215,900),(7.39,133.09,-8.65),(120,120,120),0.4,131010200
51,6,(-5.3,-215,900),(6.8,134.87,-6.01),(110,110,110),0.5,131010200
52,7,(17.3,-214,900),(5.55,142,-6.14),(120,120,120),0.45,131010200
53,8,(-5.3,-215,900),(11.27,135.97,-4.8),(95,95,95),0.45,131010200
54,9,(3.8,-222,900),(7.7,134.6,-7.2),(100,100,100),0.45,131010200
55,10,(107,-208.9,900),(7.4,145,-7.56),(100,100,100),0.45,131010200
56,11,(49.8,-193,900),(0,121.66,0),(100,100,100),0.5,131010200
57,12,(9.3,-241,900),(5.69,142,-6.05),(100,100,100),0.45,131010200
58,13,(9.3,-241,900),(5.69,142,-6.05),(100,100,100),0.45,131010200
59,14,(107,-208.9,900),(7.4,145,-7.56),(100,100,100),0.45,131010200
60,15,(-5.3,-215,900),(11.27,135.97,-4.8),(95,95,95),0.45,131010200
