id,modelid,position,rotation,scale,size,systemid
1,1,(-12.7,11.5,1000),(5,135.89,-4.12),(120,120,120),0.5,132030000
2,2,(50,26,1000),(0,131,0),(90,90,90),0.5,132030000
3,3,(-9.26,4.61,1000),(4.5,145,-5.26),(100,100,100),0.5,132030000
4,4,(-11.8,131.5,1000),(27.40,139,-19.7),(100,100,100),0.5,132030000
5,5,(29,66.4,1000),(0,136.66,0),(110,110,110),0.5,132030000
6,6,(-3.9,10.4,1000),(6.66,135.7,-3.489),(120,120,120),0.5,132030000
7,7,(-3.9,10.4,1000),(5.95,125.7,-4.594),(120,120,121),0.300000011920929,132030000
8,8,(-34,48.8,1000),(15.9,124.2,-21.62),(120,120,121),0.300000011920929,132030000
9,9,(-3.9,10.4,1000),(5.95,125.7,-4.594),(100,100,100),0.300000011920929,132030000
10,10,(-3.9,10.4,1000),(5.95,125.7,-4.594),(110,110,110),0.300000011920929,132030000
11,11,(-3.9,10.4,1000),(5.95,125.7,-4.594),(115,115,115),0.300000011920929,132030000
12,12,(16.19,9.83,1000),(2.8,138,-5.6),(110,110,110),0.300000011920929,132030000
13,13,(-3.9,10.4,1000),(5.95,100,-4.594),(100,100,100),0.300000011920929,132030000
14,14,(-15.3,-63.4,1000),(7.9,115.21,-3.65),(110,110,110),0.300000011920929,132030000
15,15,(-68.16,10.4,1000),(4.4,121.21,-11.78),(100,100,100),0.300000011920929,132030000
16,16,(-58.5,9.83,1000),(2.8,138,-5.6),(110,110,110),0.300000011920929,132030000
17,17,(-15.3,10.7,1000),(7.9,115.21,-3.65),(110,110,110),0.300000011920929,132030000
18,1,(-12.7,-14.16,850),(0,121.66,0),(100,100,100),0.5,800000000
19,2,(50,-14.16,1000),(0,121.66,0),(90,90,90),0.5,800000000
20,3,(3,-0.2,1000),(4.1,127,0),(90,90,90),0.5,800000000
21,4,(-17,122,1000),(4.1,108,-29),(100,100,100),0.5,800000000
22,5,(29,66.4,1000),(0,121.66,0),(110,110,110),0.5,800000000
23,6,(-14.4,10.4,1000),(0,121.66,0),(100,100,100),0.5,800000000
24,7,(-14.4,10.4,1000),(0,121.66,0),(100,100,100),0.300000011920929,800000000
25,8,(-34,48.8,1000),(15.9,124.2,-21.62),(120,120,121),0.300000011920929,800000000
26,9,(-3.9,10.4,1000),(5.95,125.7,-4.594),(100,100,100),0.300000011920929,800000000
27,10,(-3.9,10.4,1000),(5.95,125.7,-4.594),(110,110,110),0.300000011920929,800000000
28,11,(-3.9,10.4,1000),(5.95,125.7,-4.594),(115,115,115),0.300000011920929,800000000
29,12,(-48.35,10.4,1000),(2.8,140,-7.718),(110,110,110),0.300000011920929,800000000
30,13,(-3.9,10.4,1000),(5.95,100,-4.594),(100,100,100),0.300000011920929,800000000
31,14,(-15.3,-63.4,1000),(7.9,115.21,-3.65),(110,110,110),0.300000011920929,800000000
32,15,(-3.9,10.4,1000),(5.95,125.7,-4.594),(110,110,110),0.300000011920929,800000000
33,16,(-48.35,10.4,1000),(2.8,140,-7.718),(110,110,110),0.300000011920929,800000000
34,17,(-3.9,10.4,1000),(5.95,100,-4.594),(100,100,100),0.300000011920929,800000000
35,1,(-49,147,1000),(0,121.66,0),(130,130,130),0.300000011920929,110000000
36,2,(50,110,1000),(0,121.66,0),(90,90,90),0.300000011920929,110000000
37,3,(-66.8,120,1000),(4.1,127,0),(100,100,100),0.300000011920929,110000000
38,4,(-23.7,261,1000),(4.1,108,-29),(100,100,100),0.300000011920929,110000000
39,5,(-6.4,169.7,1000),(0,121.66,0),(130,130,130),0.300000011920929,110000000
40,6,(-26.03,114,1000),(0,121.66,0),(130,130,130),0.300000011920929,110000000
41,7,(-26.03,114,1000),(0,121.66,0),(130,130,130),0.300000011920929,110000000
42,8,(-97,140,1000),(15.9,124.2,-21.62),(120,120,121),0.300000011920929,110000000
43,9,(-66.7,123.17,1000),(5.95,125.7,-4.594),(100,100,100),0.300000011920929,110000000
44,10,(-19.4,123,1000),(5.95,125.7,-4.594),(110,110,110),0.300000011920929,110000000
45,11,(-3.9,10.4,1000),(5.95,125.7,-4.594),(115,115,115),0.300000011920929,110000000
46,12,(-48.35,10.4,1000),(2.8,140,-7.718),(110,110,110),0.300000011920929,110000000
47,13,(-3.9,10.4,1000),(5.95,100,-4.594),(100,100,100),0.300000011920929,110000000
48,14,(-15.3,-63.4,1000),(7.9,115.21,-3.65),(110,110,110),0.300000011920929,110000000
49,15,(-103,58.21,1000),(5.95,125.7,-4.594),(115,115,115),0.300000011920929,110000000
50,16,(-85.5,101,1000),(7.8,134,-7.718),(110,110,110),0.300000011920929,110000000
51,17,(-75,98,1000),(5.95,127,-4.594),(100,100,100),0.300000011920929,110000000
52,7,(-3.9,10.4,1000),(5.95,125.7,-4.594),(70,70,70),0.300000011920929,520000000
