id,monsterid,name,monster_type,level,hp,mp,minattack,maxattack,mindef,maxdef,hitrate,dodgerate,crit,critresistrate,luckyValue,damageadd,damageless,hurtless,finnaldamageladd,skillid,attacktype,followditance,movedistance,relivetime,attackcd,blood,resistbuff,dietimes,share,effect,autorecoverhp,levelup,speed
1,200003,刀刀见血,1,58,45874,0,2988,2988,666,666,10,1,10,10,0,0,0,0,0,1,1,2,2,0,4000,-1,0,0,0,,0,0,3
2,200004,万魔之主,1,100,300000,0,2956,2956,1500,1500,52,52,51,1900,0,0,0,0,0,1,0,2,2,0,4000,5,0,0,0,,0,0,3
3,200005,红名小王子,1,60,113472,0,2988,2988,999,999,47,47,60,46,0,0,0,0,0,1,1,2,2,0,4000,-1,0,0,0,,0,0,3
4,201001,黑甲卫,1,4,100,0,30,30,0,0,3,3,3,3,0,0,0,0,20,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
5,201002,雪龙山密探,1,6,150,0,40,40,0,0,5,5,5,5,0,0,0,0,40,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
6,201003,赤芒蛇,1,8,180,0,50,50,0,0,7,7,7,7,0,0,0,0,60,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
7,201004,犴兽,1,10,230,0,60,60,0,0,8,8,8,8,0,0,0,0,70,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
8,201005,雪龙山弟子,1,12,250,0,70,70,0,0,8,8,8,8,0,0,0,0,80,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
9,202001,北山强者,1,15,1500,0,150,150,0,0,17,17,17,17,0,0,0,0,50,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
10,202002,试炼弟子,1,16,2000,0,150,150,0,0,19,19,19,19,0,0,0,0,50,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
11,202003,学宫傀儡,1,18,3000,0,170,170,0,0,21,21,21,21,0,0,0,0,50,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
12,202004,论道弟子,1,19,4000,0,170,170,0,0,25,25,25,25,0,0,0,0,50,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
13,202005,罪孽邪修,1,21,5000,0,200,200,0,0,32,32,32,32,0,0,0,0,50,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
14,202006,穷奇傀儡,1,22,6000,0,160,160,0,0,35,35,35,35,0,0,0,0,50,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
15,202007,少炎氏强者,1,24,7500,0,200,200,0,0,40,40,39,39,0,0,0,0,50,1,0,8,3,1,4000,-1,0,0,1,,0,0,3
16,202101,相柳方,2,30,2500000,0,3000,3000,0,0,75,400,150,75,0,0,0,0,0,1,0,8,0,1800,4000,5,1,0,0,,0,0,3
17,204001,三界宫傀儡,1,36,9000,0,1000,1000,0,0,70,70,69,69,0,0,0,0,100,1,0,8,2,1,4000,-1,0,0,0,,0,0,3
18,204002,火翼卫,1,38,13000,0,1200,1200,0,0,80,80,79,79,0,0,0,0,100,1,0,8,2,1,4000,-1,0,0,0,,0,0,3
19,204003,神仙宫傀儡,1,38,12036,0,1000,1000,0,0,89,89,89,89,0,0,0,0,100,1,0,8,2,1,4000,-1,0,0,0,,0,0,3
20,204101,金毛罴妖王,2,45,9000000,0,5000,5000,0,0,200,600,400,200,0,0,0,0,0,1,0,8,0,3600,4000,5,1,0,0,,0,0,3
