id,monster_id,exp
1,201001,0
2,201002,0
3,201003,0
4,201004,0
5,201005,0
6,201006,0
7,201007,0
8,202001,0
9,202002,0
10,202003,0
11,202004,0
12,202005,0
13,202006,0
14,202007,0
15,202008,0
16,202009,0
17,202010,0
18,202011,0
19,202012,0
20,202101,300000
21,204001,0
22,204002,0
23,204003,0
24,204101,500000
25,205001,0
26,205002,0
27,205003,0
28,205004,0
29,205005,0
30,205006,0
31,205101,800000
32,206001,75
33,206002,100000
34,206003,100
35,206004,200000
36,206005,125
37,206006,300000
38,206007,150
39,206008,400000
40,206009,300
41,206010,500000
42,206011,400
43,206012,600000
44,206013,500
45,206014,700000
46,206015,650
47,206016,800000
48,206017,850
49,206018,900000
50,206019,1050
51,206020,1000000
52,206021,1350
53,206022,1100000
54,207001,150000
55,207002,300000
56,207003,450000
57,207004,600000
58,207005,750000
59,207006,900000
60,207007,1050000
61,301001,1000
62,301002,1000
63,301003,1000
64,301004,1000
65,301005,1000
66,301006,11000
67,301007,1000
68,301008,1000
69,301009,1000
70,301010,1000
71,301011,11000
72,301012,1000
73,301013,1000
74,301014,1000
75,301015,1000
76,301016,11000
77,301017,1000
78,301018,1000
79,301019,1000
80,301020,1000
81,301021,11000
82,301101,1750
83,301102,1750
84,301103,1750
85,301104,1750
86,301105,1750
87,301106,18000
88,301107,1750
89,301108,1750
90,301109,1750
91,301110,1750
92,301111,18000
93,301112,1750
94,301113,1750
95,301114,1750
96,301115,1750
97,301116,18000
98,301117,1750
99,301118,1750
100,301119,1750
101,301120,1750
102,301121,18000
103,301201,2500
104,301202,2500
105,301203,2500
106,301204,2500
107,301205,2500
108,301206,25000
109,301207,2500
110,301208,2500
111,301209,2500
112,301210,2500
113,301211,25000
114,301212,2500
115,301213,2500
116,301214,2500
117,301215,2500
118,301216,25000
119,301217,2500
120,301218,2500
121,301219,2500
122,301220,2500
123,301221,25000
124,301301,3200
125,301302,3200
126,301303,3200
127,301304,3200
128,301305,3200
129,301306,33200
130,301307,3200
131,301308,3200
132,301309,3200
133,301310,3200
134,301311,33200
135,301312,3200
136,301313,3200
137,301314,3200
138,301315,3200
139,301316,33200
140,301317,3200
141,301318,3200
142,301319,3200
143,301320,3200
144,301321,33200
145,302001,834
146,302002,834
147,302003,834
148,302004,834
149,302005,834
150,302101,1250
151,302102,1250
152,302103,1250
153,302104,1250
154,302105,1250
155,302201,1668
156,302202,1668
157,302203,1668
158,302204,1668
159,302205,1668
160,302301,2084
161,302302,2084
162,302303,2084
163,302304,2084
164,302305,2084
165,303001,6250
166,303002,50000
167,303003,6250
168,303004,50000
169,303005,6250
170,303006,50000
