id,monsterid,exp,gold,stone,kind
1,206001,510000,101400,7,1
2,206003,1080000,104400,7,2
3,206005,1500000,107400,7,3
4,206007,1920000,110400,7,4
5,206009,4440000,113400,7,5
6,206011,5520000,116400,7,6
7,206013,7200000,119400,7,7
8,206015,12120000,122400,7,8
9,206017,14880000,125400,7,9
10,206019,17640000,128400,7,10
11,206021,20880000,131400,7,11
12,206201,510000,110400,7,1
13,206203,1080000,146400,7,2
14,206205,1500000,164400,7,3
15,206207,1920000,182400,7,4
16,206209,4440000,326400,7,5
17,206211,5520000,374400,7,6
18,206213,7200000,422400,7,7
19,206215,12120000,662400,7,8
20,206217,14880000,734400,7,9
21,206219,17640000,806400,7,10
22,206221,20880000,986400,7,11
23,206101,510000,110400,7,1
24,206103,1080000,146400,7,2
25,206105,1500000,164400,7,3
26,206107,1920000,182400,7,4
27,206109,4440000,326400,7,5
28,206111,5520000,374400,7,6
29,206113,7200000,422400,7,7
30,206115,12120000,662400,7,8
31,206117,14880000,734400,7,9
32,206119,17640000,806400,7,10
33,206121,20880000,986400,7,11
