monsterid,monsterlevel,hp,mp,minattack,maxattack,mindef,maxdef,hitrate,dodgerate,crit,critresistrate,luckyValue,damageadd,damageless,hurtless,maxlevel,minlevel
209101,40,133333,0,4750,4750,974,974,118,294,368,142,0,0,0,0,44,40
209101,45,282333,0,9925,9925,1349,1349,176,448,596,225,0,0,0,0,1049,45
209101,50,346867,0,14569,14569,1947,1947,267,693,960,356,0,0,0,0,2054,1050
209101,55,592667,0,21512,21512,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
209101,60,762000,0,24818,24818,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
209101,65,846667,0,34290,34290,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
209101,70,1188133,0,54044,54044,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
209101,75,1545680,0,63290,63290,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
209101,80,2038667,0,66720,66720,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
209101,85,2701833,0,117420,117420,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
209101,90,3383333,0,135442,135442,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
209101,95,4001667,0,158908,158908,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
209101,100,4666667,0,181609,181609,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
209201,40,266667,0,5225,5225,974,974,118,294,368,142,0,0,0,0,44,40
209201,45,564667,0,10917,10917,1349,1349,176,448,596,225,0,0,0,0,1049,45
209201,50,693733,0,16026,16026,1947,1947,267,693,960,356,0,0,0,0,2054,1050
209201,55,1185333,0,23663,23663,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
209201,60,1524000,0,27300,27300,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
209201,65,1693333,0,37719,37719,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
209201,70,2376267,0,59448,59448,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
209201,75,3091360,0,69619,69619,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
209201,80,4077333,0,73392,73392,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
209201,85,5403667,0,129162,129162,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
209201,90,6766667,0,148986,148986,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
209201,95,8003333,0,174799,174799,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
209201,100,9333333,0,199770,199770,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
209301,40,400000,0,5225,5225,974,974,118,294,368,142,0,0,0,0,44,40
209301,45,847000,0,10917,10917,1349,1349,176,448,596,225,0,0,0,0,1049,45
209301,50,1040600,0,16026,16026,1947,1947,267,693,960,356,0,0,0,0,2054,1050
209301,55,1778000,0,23663,23663,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
209301,60,2286000,0,27300,27300,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
209301,65,2540000,0,37719,37719,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
209301,70,3564400,0,59448,59448,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
209301,75,4637040,0,69619,69619,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
209301,80,6116000,0,73392,73392,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
209301,85,8105500,0,129162,129162,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
209301,90,10150000,0,148986,148986,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
209301,95,12005000,0,174799,174799,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
