id,monsterid,skilltypeid,skilllevel
1,100001,1,1
2,100002,1,1
3,100003,1,1
4,100004,1,1
5,100005,1,1
6,100101,1,1
7,100201,1,1
8,100301,1,1
9,100401,1,1
10,100501,1,1
11,100601,1,1
12,100701,1,1
13,100801,1,1
14,100901,1,1
15,101001,1,1
16,101101,1,1
17,101102,1,1
18,101201,1,1
19,101301,1,1
20,101401,1,1
21,101402,1,1
22,101403,1,1
23,101404,1,1
24,101405,1,1
25,101501,1,1
26,101502,1,1
27,101503,1,1
28,101801,1,1
29,101701,1,1
30,101601,1,1
31,101901,1,1
32,102001,1,1
33,102101,1,1
34,102201,1,1
35,102301,1,1
36,102401,1,1
37,102501,1,1
38,102601,1,1
39,102701,1,1
40,102801,1,1
41,102901,1,1
42,103001,1,1
43,103101,1,1
44,103201,1,1
45,103301,1,1
46,103401,1,1
47,103501,1,1
48,103601,1,1
49,103701,1,1
50,103801,1,1
51,103901,1,1
52,104001,1,1
53,104101,1,1
54,104201,1,1
55,104301,1,1
56,104401,1,1
57,104501,1,1
58,201001,1,1
59,201002,2,1
60,201003,2,1
61,201004,1,1
62,201005,2,1
63,202001,1,1
64,202002,2,1
65,202003,2,1
66,202004,2,1
67,202005,2,1
68,202006,1,1
69,202007,2,1
70,202101,912,1
71,204001,1,1
72,204002,1,1
73,204003,2,1
74,204101,900,1
75,205001,2,1
76,205002,1,1
77,205003,2,1
78,205004,1,1
79,205005,2,1
80,205006,2,1
81,205101,909,1
82,206001,1,1
83,206002,900,1
84,206003,2,1
85,206004,904,1
86,206005,2,1
87,206006,907,1
88,206007,2,1
89,206008,905,1
90,206009,2,1
91,206010,903,1
92,206011,1,1
93,206012,912,1
94,206013,1,1
95,206014,911,1
96,206015,1,1
97,206016,913,1
98,206017,2,1
99,206018,909,1
100,206019,2,1
101,206020,910,1
102,206021,2,1
103,206022,908,1
104,207001,900,1
105,207002,912,1
106,207004,913,1
107,207003,911,1
108,207005,909,1
109,207006,910,1
110,207007,908,1
111,300001,907,1
112,300002,1,1
113,300003,912,1
114,300004,3,1
115,301001,1,1
116,301002,2,1
117,301003,1,1
118,301004,2,1
119,301005,2,1
120,301006,903,1
121,301007,1,1
122,301008,2,1
123,301009,1,1
124,301010,2,1
125,301011,907,1
126,301012,1,1
127,301013,2,1
128,301014,1,1
129,301015,2,1
130,301016,911,1
131,301017,1,1
132,301018,2,1
133,301019,1,1
134,301020,2,1
135,301021,900,1
136,301101,1,1
137,301102,2,1
138,301103,1,1
139,301104,2,1
140,301105,2,1
141,301106,903,1
142,301107,1,1
143,301108,2,1
144,301109,1,1
145,301110,2,1
146,301111,907,1
147,301112,1,1
148,301113,2,1
149,301114,1,1
150,301115,2,1
151,301116,911,1
152,301117,1,1
153,301118,2,1
154,301119,1,1
155,301120,2,1
156,301121,900,1
157,301201,1,1
158,301202,2,1
159,301203,1,1
160,301204,2,1
161,301205,2,1
162,301206,903,1
163,301207,1,1
164,301208,2,1
165,301209,1,1
166,301210,2,1
167,301211,907,1
168,301212,1,1
169,301213,2,1
170,301214,1,1
171,301215,2,1
172,301216,911,1
173,301217,1,1
174,301218,2,1
175,301219,1,1
176,301220,2,1
177,301221,900,1
178,301301,1,1
179,301302,2,1
180,301303,1,1
181,301304,2,1
182,301305,2,1
183,301306,903,1
184,301307,1,1
185,301308,2,1
186,301309,1,1
187,301310,2,1
188,301311,907,1
189,301312,1,1
190,301313,2,1
191,301314,1,1
192,301315,2,1
193,301316,911,1
194,301317,1,1
195,301318,2,1
196,301319,1,1
197,301320,2,1
198,301321,900,1
199,302001,2,1
200,302002,2,1
201,302003,2,1
202,302004,1,1
203,302005,2,1
204,302101,2,1
205,302102,2,1
206,302103,2,1
207,302104,1,1
208,302105,2,1
209,302201,2,1
210,302202,2,1
211,302203,2,1
212,302204,1,1
213,302205,2,1
214,302301,2,1
215,302302,2,1
216,302303,2,1
217,302304,1,1
218,302305,2,1
219,303001,1,1
220,303002,914,1
221,303003,2,1
222,303004,910,1
223,303005,2,1
224,303006,911,1
225,303007,2,1
226,303008,913,1
227,303009,1,1
228,303010,1,1
229,303011,1,1
230,303012,1,1
231,303101,1,1
232,303102,914,1
233,303103,2,1
234,303104,910,1
235,303105,2,1
236,303106,911,1
237,303107,2,1
238,303108,913,1
239,303109,1,1
240,303110,1,1
241,303111,1,1
242,303112,1,1
243,303201,1,1
244,303202,914,1
245,303203,2,1
246,303204,910,1
247,303205,2,1
248,303206,911,1
249,303207,2,1
250,303208,913,1
251,303209,1,1
252,303210,1,1
253,303211,1,1
254,303212,1,1
255,303301,1,1
256,303302,914,1
257,303303,2,1
258,303304,910,1
259,303305,2,1
260,303306,911,1
261,303307,2,1
262,303308,913,1
263,303309,1,1
264,303310,1,1
265,303311,1,1
266,303312,1,1
267,304001,907,1
268,304002,2,1
269,304003,907,1
270,304004,1,1
271,304005,904,1
272,304006,1,1
273,304007,912,1
274,304008,1,1
275,304009,911,1
276,304010,2,1
277,304011,909,1
278,304101,907,1
279,304102,2,1
280,304103,907,1
281,304104,1,1
282,304105,904,1
283,304106,1,1
284,304107,912,1
285,304108,1,1
286,304109,911,1
287,304110,2,1
288,304111,909,1
289,304201,907,1
290,304202,2,1
291,304203,907,1
292,304204,1,1
293,304205,904,1
294,304206,1,1
295,304207,912,1
296,304208,1,1
297,304209,911,1
298,304210,2,1
299,304211,909,1
300,304301,907,1
301,304302,2,1
302,304303,907,1
303,304304,1,1
304,304305,904,1
305,304306,1,1
306,304307,912,1
307,304308,1,1
308,304309,911,1
309,304310,2,1
310,304311,909,1
311,305001,2,1
312,305002,906,1
313,305003,1,1
314,305004,901,1
315,305005,2,1
316,305006,915,1
317,305007,2,1
318,305008,902,1
319,305009,2,1
320,305010,909,1
321,305011,1,1
322,305012,1,1
323,305013,1,1
324,305014,1,1
325,305015,1,1
326,305101,2,1
327,305102,906,1
328,305103,1,1
329,305104,901,1
330,305105,2,1
331,305106,915,1
332,305107,2,1
333,305108,902,1
334,305109,2,1
335,305110,909,1
336,305111,1,1
337,305112,1,1
338,305113,1,1
339,305114,1,1
340,305115,1,1
341,305201,2,1
342,305202,906,1
343,305203,1,1
344,305204,901,1
345,305205,2,1
346,305206,915,1
347,305207,2,1
348,305208,902,1
349,305209,2,1
350,305210,909,1
351,305211,1,1
352,305212,1,1
353,305213,1,1
354,305214,1,1
355,305215,1,1
356,305301,2,1
357,305302,906,1
358,305303,1,1
359,305304,901,1
360,305305,2,1
361,305306,915,1
362,305307,2,1
363,305308,902,1
364,305309,2,1
365,305310,909,1
366,305311,1,1
367,305312,1,1
368,305313,1,1
369,305314,1,1
370,305315,1,1
371,306401,1,1
372,306402,1,1
373,306403,1,1
374,306001,2,1
375,306002,904,1
376,306003,2,1
377,306004,906,1
378,306005,2,1
379,306006,903,1
380,306007,2,1
381,306008,915,1
382,306009,1,1
383,306010,912,1
384,306101,2,1
385,306102,904,1
386,306103,2,1
387,306104,906,1
388,306105,2,1
389,306106,903,1
390,306107,2,1
391,306108,915,1
392,306109,1,1
393,306110,912,1
394,306201,2,1
395,306202,904,1
396,306203,2,1
397,306204,906,1
398,306205,2,1
399,306206,903,1
400,306207,2,1
401,306208,915,1
402,306209,1,1
403,306210,912,1
404,306301,2,1
405,306302,904,1
406,306303,2,1
407,306304,906,1
408,306305,2,1
409,306306,903,1
410,306307,2,1
411,306308,915,1
412,306309,1,1
413,306310,912,1
414,307001,1,1
415,307002,1,1
416,307003,1,1
417,307004,1,1
418,307005,1,1
419,307006,1,1
420,307101,1,1
421,307102,1,1
422,307103,1,1
423,307104,1,1
424,307105,1,1
425,307106,1,1
426,307201,1,1
427,307202,1,1
428,307203,1,1
429,307204,1,1
430,307205,1,1
431,307206,1,1
432,307301,1,1
433,307302,1,1
434,307303,1,1
435,307304,1,1
436,307305,1,1
437,307306,1,1
438,308001,1,1
439,308002,2,1
440,308003,1,1
441,308004,2,1
442,308005,2,1
443,308006,903,1
444,308007,1,1
445,308008,2,1
446,308009,1,1
447,308010,2,1
448,308011,907,1
449,308012,1,1
450,308013,2,1
451,308014,1,1
452,308015,2,1
453,308016,911,1
454,308017,1,1
455,308018,2,1
456,308019,1,1
457,308020,2,1
458,308021,900,1
459,308101,1,1
460,308102,2,1
461,308103,1,1
462,308104,2,1
463,308105,2,1
464,308106,903,1
465,308107,1,1
466,308108,2,1
467,308109,1,1
468,308110,2,1
469,308111,907,1
470,308112,1,1
471,308113,2,1
472,308114,1,1
473,308115,2,1
474,308116,911,1
475,308117,1,1
476,308118,2,1
477,308119,1,1
478,308120,2,1
479,308121,900,1
480,308201,1,1
481,308202,2,1
482,308203,1,1
483,308204,2,1
484,308205,2,1
485,308206,903,1
486,308207,1,1
487,308208,2,1
488,308209,1,1
489,308210,2,1
490,308211,907,1
491,308212,1,1
492,308213,2,1
493,308214,1,1
494,308215,2,1
495,308216,911,1
496,308217,1,1
497,308218,2,1
498,308219,1,1
499,308220,2,1
500,308221,900,1
501,308301,1,1
502,308302,2,1
503,308303,1,1
504,308304,2,1
505,308305,2,1
506,308306,903,1
507,308307,1,1
508,308308,2,1
509,308309,1,1
510,308310,2,1
511,308311,907,1
512,308312,1,1
513,308313,2,1
514,308314,1,1
515,308315,2,1
516,308316,911,1
517,308317,1,1
518,308318,2,1
519,308319,1,1
520,308320,2,1
521,308321,900,1
522,309001,2,1
523,309002,906,1
524,309003,1,1
525,309004,901,1
526,309005,2,1
527,309006,915,1
528,309007,2,1
529,309008,902,1
530,309009,2,1
531,309010,909,1
532,309011,1,1
533,309012,1,1
534,309013,1,1
535,309014,1,1
536,309015,1,1
537,309101,2,1
538,309102,906,1
539,309103,1,1
540,309104,901,1
541,309105,2,1
542,309106,915,1
543,309107,2,1
544,309108,902,1
545,309109,2,1
546,309110,909,1
547,309111,1,1
548,309112,1,1
549,309113,1,1
550,309114,1,1
551,309115,1,1
552,309201,2,1
553,309202,906,1
554,309203,1,1
555,309204,901,1
556,309205,2,1
557,309206,915,1
558,309207,2,1
559,309208,902,1
560,309209,2,1
561,309210,909,1
562,309211,1,1
563,309212,1,1
564,309213,1,1
565,309214,1,1
566,309215,1,1
567,309301,2,1
568,309302,906,1
569,309303,1,1
570,309304,901,1
571,309305,2,1
572,309306,915,1
573,309307,2,1
574,309308,902,1
575,309309,2,1
576,309310,909,1
577,309311,1,1
578,309312,1,1
579,309313,1,1
580,309314,1,1
581,309315,1,1
582,401111,1,1
583,401112,911,1
584,401121,2,1
585,401122,2,1
586,401131,2,1
587,401132,2,1
588,401133,2,1
589,401134,2,1
590,401141,2,1
591,401142,2,1
592,401143,903,1
593,401151,914,1
594,401152,913,1
595,401161,901,1
596,401162,915,1
597,401171,902,1
598,401181,905,1
599,401211,1,1
600,401212,911,1
601,401221,2,1
602,401222,2,1
603,401231,2,1
604,401232,2,1
605,401233,2,1
606,401234,2,1
607,401241,2,1
608,401242,2,1
609,401243,903,1
610,401251,914,1
611,401252,913,1
612,401261,901,1
613,401262,915,1
614,401271,902,1
615,401281,905,1
616,401311,1,1
617,401312,911,1
618,401321,2,1
619,401322,2,1
620,401331,2,1
621,401332,2,1
622,401333,2,1
623,401334,2,1
624,401341,2,1
625,401342,2,1
626,401343,903,1
627,401351,914,1
628,401352,913,1
629,401361,901,1
630,401362,915,1
