id,kind,rank,neednum,describe,objectid,number,bind,copyid,typeid,point,process,level
1,1,1,1,强化装备,215513001,50,2,121000000,1,1,1,-1
2,1,2,1,分解装备,215513001,50,2,113000000,1,1,1,-1
3,1,3,1,洗炼,215513001,50,2,124000000,1,1,1,-1
4,1,4,1,伙伴成长,215513001,50,2,131020200,1,1,1,-1
5,1,5,1,伙伴灵修,215513001,50,2,131020300,1,1,1,-1
6,1,6,1,伙伴融魂,215513001,50,2,131020400,1,1,1,-1
7,1,7,1,坐骑培养,215513001,50,2,131010100,1,1,1,-1
8,2,5,1,寂灭之域,215513001,50,2,203,2,1,1,42
9,2,1,1,水府试炼[单],215513001,50,2,201,2,1,1,25
10,2,2,1,水府试炼[多],215513001,50,2,301,2,1,1,25
11,2,3,1,无间战场[单],215513001,50,2,205,2,1,1,1048
12,2,4,1,无间战场[多],215513001,50,2,302,2,1,1,1048
13,2,6,1,明月山水图,215513001,50,2,202,2,1,1,32
14,2,7,1,东林宗,215513001,50,2,204,2,1,1,1049
15,2,8,1,应龙试炼,215513001,50,2,242000000,1,1,1,-1
16,3,1,1,竞技场,215513001,50,2,245000000,1,1,1,-1
17,3,2,3,试炼任务5次,215513001,50,2,9030010,4,1,5,35
18,3,3,3,环式任务5次,215513001,50,2,250000000,1,1,5,-1
20,3,5,1,金剑大典,215513001,50,2,10015,3,2,1,30
21,3,6,1,每日运镖3次,215513001,50,2,10002,3,2,3,30
22,3,7,1,仙府香炉,215513001,50,2,10006,3,2,1,33
23,3,8,1,武道会,215513001,50,2,10028,3,2,1,30
24,3,9,1,万魔洞府,215513001,50,2,241011000,1,2,1,-1
25,3,10,1,个人BOSS,215513001,50,2,241013000,1,1,1,-1
26,3,11,1,参与击杀场景妖王,215513001,50,2,241012000,1,1,1,-1
27,3,12,1,参与击杀狱山荒泽BOSS,215513001,50,2,241014000,1,2,1,-1
28,3,16,1,仙盟守护,215513001,50,2,10011,3,2,1,35
29,4,1,1,登录游戏,215513001,50,2,0,0,1,1,-1
30,4,2,1,vip登录游戏,215513001,50,2,281010000,1,2,1,-1
31,4,3,1,天宝阁抽奖,215513001,50,2,500000000,1,1,1,-1
32,4,4,1,商城购买任意物品,215513001,50,2,200000000,1,1,1,-1
33,4,5,1,普通悟道,215513001,50,2,224000000,1,1,1,-1
