id,level,health,attack,defend,hit,dodge,crit,toughness,exp,nextlevel,icon,model,describe
1,101,5000,80,40,20,20,10,10,17,102,1,1,一阶
2,102,10010,160,80,40,40,20,20,17,103,1,1,二阶
3,103,15030,240,120,60,60,30,30,17,201,1,1,三阶
4,201,20060,320,160,80,80,40,40,19,202,2,2,一阶
5,202,25100,401,200,100,100,50,50,20,203,2,2,二阶
6,203,30150,482,240,120,120,60,60,22,204,2,2,三阶
7,204,35210,563,280,140,140,70,70,24,205,2,2,四阶
8,205,40280,644,321,160,160,80,80,26,206,2,2,五阶
9,206,45360,725,362,180,180,90,90,27,207,2,2,六阶
10,207,50450,806,403,200,200,100,100,29,208,2,2,七阶
11,208,55550,888,444,220,220,110,110,31,209,2,2,八阶
12,209,60660,970,485,240,240,120,120,32,210,2,2,九阶
13,210,65780,1052,526,260,260,130,130,34,301,2,2,十阶
14,301,70910,1134,567,281,281,140,140,27,302,3,3,一阶
15,302,76050,1216,608,302,302,150,150,31,303,3,3,二阶
16,303,81200,1298,649,323,323,160,160,34,304,3,3,三阶
17,304,86360,1381,690,344,344,170,170,37,305,3,3,四阶
18,305,91530,1464,731,365,365,180,180,41,306,3,3,五阶
19,306,96710,1547,772,386,386,190,190,44,307,3,3,六阶
20,307,101900,1630,814,407,407,200,200,48,308,3,3,七阶
21,308,107100,1713,856,428,428,210,210,51,309,3,3,八阶
22,309,112310,1796,898,449,449,220,220,54,310,3,3,九阶
23,310,117530,1880,940,470,470,230,230,58,401,3,3,十阶
24,401,122760,1964,982,491,491,240,240,44,402,4,4,一阶
25,402,128000,2048,1024,512,512,250,250,48,403,4,4,二阶
26,403,133250,2132,1066,533,533,261,261,51,404,4,4,三阶
27,404,138510,2216,1108,554,554,272,272,54,405,4,4,四阶
28,405,143780,2300,1150,575,575,283,283,58,406,4,4,五阶
29,406,149060,2384,1192,596,596,294,294,61,407,4,4,六阶
30,407,154350,2469,1234,617,617,305,305,65,408,4,4,七阶
31,408,159650,2554,1276,638,638,316,316,68,409,4,4,八阶
32,409,164960,2639,1318,659,659,327,327,71,410,4,4,九阶
33,410,170280,2724,1361,680,680,338,338,75,501,4,4,十阶
34,501,175610,2809,1404,701,701,349,349,68,502,5,5,一阶
35,502,180950,2894,1447,722,722,360,360,73,503,5,5,二阶
36,503,186300,2980,1490,743,743,371,371,78,504,5,5,三阶
37,504,191660,3066,1533,764,764,382,382,83,505,5,5,四阶
38,505,197030,3152,1576,785,785,393,393,88,506,5,5,五阶
39,506,202410,3238,1619,807,807,404,404,94,507,5,5,六阶
40,507,207800,3324,1662,829,829,415,415,99,508,5,5,七阶
41,508,213200,3410,1705,851,851,426,426,104,509,5,5,八阶
42,509,218610,3497,1748,873,873,437,437,109,510,5,5,九阶
43,510,224030,3584,1791,895,895,448,448,114,601,5,5,十阶
44,601,229460,3671,1834,917,917,459,459,119,602,6,6,一阶
45,602,234900,3758,1878,939,939,470,470,124,603,6,6,二阶
46,603,240350,3845,1922,961,961,481,481,129,604,6,6,三阶
47,604,245810,3932,1966,983,983,492,492,134,605,6,6,四阶
48,605,251280,4020,2010,1005,1005,503,503,139,606,6,6,五阶
49,606,256760,4108,2054,1027,1027,514,514,145,607,6,6,六阶
50,607,262250,4196,2098,1049,1049,525,525,150,608,6,6,七阶
51,608,267750,4284,2142,1071,1071,536,536,155,609,6,6,八阶
52,609,273260,4372,2186,1093,1093,547,547,160,610,6,6,九阶
53,610,278780,4460,2230,1115,1115,558,558,165,701,6,6,十阶
54,701,284310,4548,2274,1137,1137,569,569,146,702,7,7,一阶
55,702,289850,4637,2318,1159,1159,580,580,153,703,7,7,二阶
56,703,295400,4726,2362,1181,1181,591,591,160,704,7,7,三阶
57,704,300960,4815,2406,1203,1203,602,602,167,705,7,7,四阶
58,705,306530,4904,2451,1225,1225,613,613,173,706,7,7,五阶
59,706,312110,4993,2496,1247,1247,624,624,180,707,7,7,六阶
60,707,317700,5082,2541,1269,1269,635,635,187,708,7,7,七阶
61,708,323300,5172,2586,1291,1291,646,646,194,709,7,7,八阶
62,709,328910,5262,2631,1313,1313,657,657,201,710,7,7,九阶
63,710,334530,5352,2676,1335,1335,668,668,207,801,7,7,十阶
64,801,340160,5442,2721,1358,1358,679,679,230,802,8,8,一阶
65,802,345800,5532,2766,1381,1381,690,690,245,803,8,8,二阶
66,803,351450,5622,2811,1404,1404,701,701,260,804,8,8,三阶
67,804,357110,5713,2856,1427,1427,712,712,275,805,8,8,四阶
68,805,362780,5804,2901,1450,1450,723,723,291,806,8,8,五阶
69,806,368460,5895,2946,1473,1473,734,734,306,807,8,8,六阶
70,807,374150,5986,2992,1496,1496,745,745,321,808,8,8,七阶
71,808,379850,6077,3038,1519,1519,756,756,337,809,8,8,八阶
72,809,385560,6168,3084,1542,1542,767,767,352,810,8,8,九阶
73,810,391280,6260,3130,1565,1565,778,778,367,901,8,8,十阶
74,901,397010,6352,3176,1588,1588,789,789,340,902,9,9,一阶
75,902,402750,6444,3222,1611,1611,800,800,357,903,9,9,二阶
76,903,408500,6536,3268,1634,1634,812,812,374,904,9,9,三阶
77,904,414260,6628,3314,1657,1657,824,824,391,905,9,9,四阶
78,905,420030,6720,3360,1680,1680,836,836,408,906,9,9,五阶
79,906,425810,6812,3406,1703,1703,848,848,425,907,9,9,六阶
80,907,431600,6905,3452,1726,1726,860,860,442,908,9,9,七阶
81,908,437400,6998,3498,1749,1749,872,872,459,909,9,9,八阶
82,909,443210,7091,3544,1772,1772,884,884,476,910,9,9,九阶
83,910,449030,7184,3591,1795,1795,896,896,493,1001,9,9,十阶
84,1001,454860,7277,3638,1818,1818,908,908,425,1002,10,10,一阶
85,1002,460700,7370,3685,1841,1841,920,920,444,1003,10,10,二阶
86,1003,466550,7464,3732,1864,1864,932,932,462,1004,10,10,三阶
87,1004,472410,7558,3779,1887,1887,944,944,481,1005,10,10,四阶
88,1005,478280,7652,3826,1910,1910,956,956,500,1006,10,10,五阶
89,1006,484160,7746,3873,1934,1934,968,968,519,1007,10,10,六阶
90,1007,490050,7840,3920,1958,1958,980,980,537,1008,10,10,七阶
91,1008,495950,7934,3967,1982,1982,992,992,556,1009,10,10,八阶
92,1009,501860,8029,4014,2006,2006,1004,1004,575,1010,10,10,九阶
93,1010,507780,8124,4061,2030,2030,1016,1016,575,-1,10,10,十阶
