id,level,reward,number,bind
1,101,173304009,10,1
2,101,173304002,4,1
3,101,183366001,10,1
4,102,173304009,10,1
5,102,173304002,4,1
6,102,183366001,10,1
7,103,173304009,10,1
8,103,173304002,4,1
9,103,183366001,10,1
10,201,173304009,21,1
11,201,173304002,4,1
12,201,183366001,10,1
13,202,173304009,22,1
14,202,173304002,4,1
15,202,183366001,10,1
16,203,173304009,23,1
17,203,173304002,5,1
18,203,183366001,10,1
19,204,173304009,24,1
20,204,173304002,5,1
21,204,183366001,10,1
22,205,173304009,25,1
23,205,173304002,5,1
24,205,183366001,10,1
25,206,173304009,26,1
26,206,173304002,6,1
27,206,183366001,10,1
28,207,173304009,27,1
29,207,173304002,6,1
30,207,183366001,10,1
31,208,173304009,28,1
32,208,173304002,6,1
33,208,183366001,10,1
34,209,173304009,29,1
35,209,173304002,7,1
36,209,183366001,10,1
37,210,173304009,30,1
38,210,173304002,7,1
39,210,183366001,10,1
40,301,173304009,31,1
41,301,173304002,7,1
42,301,183366001,15,1
43,302,173304009,32,1
44,302,173304002,8,1
45,302,183366001,15,1
46,303,173304009,33,1
47,303,173304002,8,1
48,303,183366001,15,1
49,304,173304009,34,1
50,304,173304002,8,1
51,304,183366001,15,1
52,305,173304009,35,1
53,305,173304002,9,1
54,305,183366001,15,1
55,306,173304009,36,1
56,306,173304002,9,1
57,306,183366001,15,1
58,307,173304009,37,1
59,307,173304002,10,1
60,307,183366001,15,1
61,308,173304009,38,1
62,308,173304002,10,1
63,308,183366001,15,1
64,309,173304009,39,1
65,309,173304002,10,1
66,309,183366001,15,1
67,310,173304009,40,1
68,310,173304002,11,1
69,310,183366001,15,1
70,401,173304009,41,1
71,401,173304002,11,1
72,401,183366001,20,1
73,402,173304009,42,1
74,402,173304002,11,1
75,402,183366001,20,1
76,403,173304009,43,1
77,403,173304002,12,1
78,403,183366001,20,1
79,404,173304009,44,1
80,404,173304002,12,1
81,404,183366001,20,1
82,405,173304009,45,1
83,405,173304002,13,1
84,405,183366001,20,1
85,406,173304009,46,1
86,406,173304002,13,1
87,406,183366001,20,1
88,407,173304009,47,1
89,407,173304002,14,1
90,407,183366001,20,1
91,408,173304009,48,1
92,408,173304002,14,1
93,408,183366001,20,1
94,409,173304009,49,1
95,409,173304002,15,1
96,409,183366001,20,1
97,410,173304009,50,1
98,410,173304002,15,1
99,410,183366001,20,1
100,501,173304009,51,1
101,501,173304002,16,1
102,501,183366001,25,1
103,502,173304009,52,1
104,502,173304002,16,1
105,502,183366001,25,1
106,503,173304009,53,1
107,503,173304002,16,1
108,503,183366001,25,1
109,504,173304009,54,1
110,504,173304002,18,1
111,504,183366001,25,1
112,505,173304009,55,1
113,505,173304002,19,1
114,505,183366001,25,1
115,506,173304009,56,1
116,506,173304002,20,1
117,506,183366001,25,1
118,507,173304009,57,1
119,507,173304002,21,1
120,507,183366001,25,1
121,508,173304009,58,1
122,508,173304002,22,1
123,508,183366001,25,1
124,509,173304009,59,1
125,509,173304002,23,1
126,509,183366001,25,1
127,510,173304009,60,1
128,510,173304002,24,1
129,510,183366001,25,1
130,601,173304009,61,1
131,601,173304002,25,1
132,601,183366001,30,1
133,602,173304009,62,1
134,602,173304002,26,1
135,602,183366001,30,1
136,603,173304009,63,1
137,603,173304002,27,1
138,603,183366001,30,1
139,604,173304009,64,1
140,604,173304002,28,1
141,604,183366001,30,1
142,605,173304009,65,1
143,605,173304002,29,1
144,605,183366001,30,1
145,606,173304009,66,1
146,606,173304002,30,1
147,606,183366001,30,1
148,607,173304009,67,1
149,607,173304002,31,1
150,607,183366001,30,1
151,608,173304009,68,1
152,608,173304002,32,1
153,608,183366001,30,1
154,609,173304009,69,1
155,609,173304002,33,1
156,609,183366001,30,1
157,610,173304009,70,1
158,610,173304002,34,1
159,610,183366001,30,1
160,701,173304009,71,1
161,701,173304002,35,1
162,701,183366001,35,1
163,702,173304009,72,1
164,702,173304002,36,1
165,702,183366001,35,1
166,703,173304009,73,1
167,703,173304002,37,1
168,703,183366001,35,1
169,704,173304009,74,1
170,704,173304002,38,1
171,704,183366001,35,1
172,705,173304009,75,1
173,705,173304002,39,1
174,705,183366001,35,1
175,706,173304009,76,1
176,706,173304002,40,1
177,706,183366001,35,1
178,707,173304009,77,1
179,707,173304002,42,1
180,707,183366001,35,1
181,708,173304009,78,1
182,708,173304002,44,1
183,708,183366001,35,1
184,709,173304009,79,1
185,709,173304002,46,1
186,709,183366001,35,1
187,710,173304009,80,1
188,710,173304002,48,1
189,710,183366001,35,1
190,801,173304009,81,1
191,801,173304002,50,1
192,801,183366001,40,1
193,802,173304009,82,1
194,802,173304002,52,1
195,802,183366001,40,1
196,803,173304009,83,1
197,803,173304002,55,1
198,803,183366001,40,1
199,804,173304009,84,1
200,804,173304002,58,1
201,804,183366001,40,1
202,805,173304009,85,1
203,805,173304002,61,1
204,805,183366001,40,1
205,806,173304009,86,1
206,806,173304002,64,1
207,806,183366001,40,1
208,807,173304009,87,1
209,807,173304002,67,1
210,807,183366001,40,1
211,808,173304009,88,1
212,808,173304002,70,1
213,808,183366001,40,1
214,809,173304009,89,1
215,809,173304002,73,1
216,809,183366001,40,1
217,810,173304009,90,1
218,810,173304002,76,1
219,810,183366001,40,1
220,901,173304009,91,1
221,901,173304002,79,1
222,901,183366001,45,1
223,902,173304009,92,1
224,902,173304002,82,1
225,902,183366001,45,1
226,903,173304009,93,1
227,903,173304002,85,1
228,903,183366001,45,1
229,904,173304009,94,1
230,904,173304002,88,1
231,904,183366001,45,1
232,905,173304009,95,1
233,905,173304002,91,1
234,905,183366001,45,1
235,906,173304009,96,1
236,906,173304002,94,1
237,906,183366001,45,1
238,907,173304009,97,1
239,907,173304002,97,1
240,907,183366001,45,1
241,908,173304009,98,1
242,908,173304002,100,1
243,908,183366001,45,1
244,909,173304009,99,1
245,909,173304002,102,1
246,909,183366001,45,1
247,910,173304009,100,1
248,910,173304002,104,1
249,910,183366001,45,1
250,1001,173304009,101,1
251,1001,173304002,106,1
252,1001,183366001,50,1
253,1002,173304009,102,1
254,1002,173304002,108,1
255,1002,183366001,50,1
256,1003,173304009,103,1
257,1003,173304002,110,1
258,1003,183366001,50,1
259,1004,173304009,104,1
260,1004,173304002,112,1
261,1004,183366001,50,1
262,1005,173304009,105,1
263,1005,173304002,114,1
264,1005,183366001,50,1
265,1006,173304009,106,1
266,1006,173304002,116,1
