id,object_name,object_icon,color,object_type,object_rank,profession,stacklimit,usedlevel,sellid,sellgold,auction,use_type,result,describe,buynumber,price,time,usenumber
101000001,至尊攻击,101000001,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000002,至尊防御,101000002,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000003,至尊生命,101000003,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000004,至尊命中,101000004,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000005,至尊闪避,101000005,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000006,至尊暴击,101000006,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000007,至尊韧性,101000007,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000008,至尊破敌,101000008,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000009,至尊诛邪,101000009,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000010,至尊成长,101000010,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000011,至尊御敌,101000011,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000012,至尊辟邪,101000012,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000013,至尊追伤,101000013,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000014,至尊减伤,101000014,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000016,至尊攻击防御,101000016,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000017,至尊命中闪避,101000017,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000018,至尊暴击韧性,101000018,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000019,至尊诛邪辟邪,101000019,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000020,至尊追伤减伤,101000020,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
101000021,至尊破敌御敌,101000021,6,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000001,极品攻击,102000001,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000002,极品防御,102000002,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000003,极品生命,102000003,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000004,极品命中,102000004,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000005,极品闪避,102000005,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000006,极品暴击,102000006,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000007,极品韧性,102000007,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000008,极品破敌,102000008,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000009,极品诛邪,102000009,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000010,极品成长,102000010,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000011,极品御敌,102000011,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000012,极品辟邪,102000012,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000013,极品追伤,102000013,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000014,极品减伤,102000014,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000016,符文二,105000015,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
102000017,符文二,105000015,5,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000001,上品攻击,103000001,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000002,上品防御,103000002,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000003,上品生命,103000003,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000004,上品命中,103000004,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000005,上品闪避,103000005,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000006,上品暴击,103000006,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000007,上品韧性,103000007,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000008,上品破敌,103000008,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000009,上品诛邪,103000009,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000010,上品成长,103000010,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000011,上品御敌,103000011,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000012,上品辟邪,103000012,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000013,上品追伤,103000013,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000014,上品减伤,103000014,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000015,上品精华,103000015,4,10,0,0,1,1,215514001,-1,-1,5,-1,分解可获得500点精华碎片,0,0,0,1
103000016,符文三,105000015,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
103000017,符文三,105000015,4,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000001,中品攻击,104000001,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000002,中品防御,104000002,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000003,中品生命,104000003,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
