descibe,object_id,object_enum,icon
还魂丹,163256001,OBJECTID_RELIVE,-1
喇叭,163271001,OBJECTID_Horn,-1
仙盟令,173301001,OBJECTID_GangToken,-1
讨伐令,173302001,OBJECTID_TaoFa,174302001
攻城令,173303001,OBJECTID_CITYTOKEN,174303001
宝库钥匙,173305001,OBJECTID_TreasureKey,174305001
炼晶石,182353001,OBJECTID_Lianjin,-1
封印真经,183351002,OBJECTID_SealCanon,-1
技能页,183351003,-1,174331001
洗练锁,183355001,OBJECTID_ClearLock,-1
仙草,183359001,OBJECTID_Grass,-1
美酒,183369001,OBJECTID_Meijiu,-1
鲜花,184368001,OBJECTID_Flower,-1
经验,215500001,OBJECTID_Exp,-1
元宝,215501001,OBJECTID_Diamond,215501001
铜钱,215502001,OBJECTID_Gold,215502001
悟性,215503001,OBJECTID_WuXing,215503001
灵气,215504001,OBJECTID_Lingqi,215504001
仙气,215505001,OBJECTID_Xianqi,215505001
修为,215506001,OBJECTID_Xiuwei,-1
个人贡献,215507001,OBJECTID_Contribution,-1
工会经验,215508001,OBJECTID_GangExp,-1
亲密度,215509001,OBJECTID_Intimacy,-1
声望,215510001,OBJECTID_Prestige,-1
功勋,215511001,OBJECTID_Feats,-1
积分,215512001,OBJECTID_Point,-1
礼金,215513001,OBJECTID_BindDiamond,215513001
绑铜,215514001,OBJECTID_BindGold,215514001
荣誉,215519001,OBJECTID_Honor,215519001
