id,object_id,icon,title,level,value_type,value,describe
1,112001001,10010,运营活动,1,4,-1,运营活动中获得
2,112001002,10010,运营活动,1,4,-1,运营活动中获得
3,112001003,10010,运营活动,1,4,-1,运营活动中获得
4,112001004,10010,运营活动,1,4,-1,运营活动中获得
5,112001005,10010,运营活动,1,4,-1,运营活动中获得
6,112001006,10001,爱心礼包,1,4,-1,爱心礼包第二档获得
7,112001007,10130,跨服据点战,30,3,10023,跨服据点战排行榜奖励
8,112001008,10010,运营活动,1,4,-1,运营活动中获得
9,112002001,10010,运营活动,1,4,-1,运营活动中获得
10,112002002,10010,运营活动,1,4,-1,运营活动中获得
11,112002003,10010,运营活动,1,4,-1,运营活动中获得
12,112002004,10010,运营活动,1,4,-1,运营活动中获得
13,112002005,10010,运营活动,1,4,-1,运营活动中获得
14,112002006,10001,爱心礼包,1,4,-1,爱心礼包第二档获得
15,112002007,10130,跨服据点战,30,3,10023,跨服据点战排行榜奖励
16,112002008,10010,运营活动,1,4,-1,运营活动中获得
17,112003001,10010,运营活动,1,4,-1,运营活动中获得
18,112003002,10010,运营活动,1,4,-1,运营活动中获得
19,112003003,10010,运营活动,1,4,-1,运营活动中获得
20,112003004,10010,运营活动,1,4,-1,运营活动中获得
21,112003005,10010,运营活动,1,4,-1,运营活动中获得
22,112003006,10001,爱心礼包,1,4,-1,爱心礼包第二档获得
23,112003007,10130,跨服据点战,30,3,10023,跨服据点战排行榜奖励
24,112003008,10010,运营活动,1,4,-1,运营活动中获得
25,112004001,10010,运营活动,1,4,-1,运营活动中获得
26,112004002,10010,运营活动,1,4,-1,运营活动中获得
27,112004003,10010,运营活动,1,4,-1,运营活动中获得
28,112004004,10010,运营活动,1,4,-1,运营活动中获得
29,112004005,10010,运营活动,1,4,-1,运营活动中获得
30,112004006,10001,爱心礼包,1,4,-1,爱心礼包第二档获得
31,112004007,10130,跨服据点战,30,3,10023,跨服据点战排行榜奖励
32,112004008,10010,运营活动,1,4,-1,运营活动中获得
33,112005001,10010,运营活动,1,4,-1,运营活动中获得
34,112005002,10010,运营活动,1,4,-1,运营活动中获得
35,112005003,10010,运营活动,1,4,-1,运营活动中获得
36,112005004,10010,运营活动,1,4,-1,运营活动中获得
37,112005005,10010,运营活动,1,4,-1,运营活动中获得
38,112005006,10001,爱心礼包,1,4,-1,爱心礼包第二档获得
39,112005007,10130,跨服据点战,30,3,10023,跨服据点战排行榜奖励
40,112005008,10010,运营活动,1,4,-1,运营活动中获得
41,112006001,10010,运营活动,1,4,-1,运营活动中获得
42,112006002,10010,运营活动,1,4,-1,运营活动中获得
43,112006003,10010,运营活动,1,4,-1,运营活动中获得
44,112006004,10010,运营活动,1,4,-1,运营活动中获得
45,112006005,10010,运营活动,1,4,-1,运营活动中获得
46,112006006,10001,爱心礼包,1,4,-1,爱心礼包第二档获得
47,112006007,10130,跨服据点战,30,3,10023,跨服据点战排行榜奖励
48,112006008,10010,运营活动,1,4,-1,运营活动中获得
49,112007001,10010,运营活动,1,4,-1,运营活动中获得
50,112007002,10010,运营活动,1,4,-1,运营活动中获得
51,112007003,10010,运营活动,1,4,-1,运营活动中获得
52,112007004,10010,运营活动,1,4,-1,运营活动中获得
53,112007005,10010,运营活动,1,4,-1,运营活动中获得
54,112007006,10001,爱心礼包,1,4,-1,爱心礼包第二档获得
55,112007007,10130,跨服据点战,30,3,10023,跨服据点战排行榜奖励
56,112007008,10010,运营活动,1,4,-1,运营活动中获得
57,112008001,10010,运营活动,1,4,-1,运营活动中获得
58,112008002,10010,运营活动,1,4,-1,运营活动中获得
59,112008003,10010,运营活动,1,4,-1,运营活动中获得
60,112008004,10010,运营活动,1,4,-1,运营活动中获得
61,112008005,10010,运营活动,1,4,-1,运营活动中获得
62,112008006,10001,爱心礼包,1,4,-1,爱心礼包第二档获得
63,112008007,10130,跨服据点战,30,3,10023,跨服据点战排行榜奖励
64,112008008,10010,运营活动,1,4,-1,运营活动中获得
65,112009001,10010,运营活动,1,4,-1,运营活动中获得
66,112009002,10010,运营活动,1,4,-1,运营活动中获得
67,112009003,10010,运营活动,1,4,-1,运营活动中获得
68,112009004,10010,运营活动,1,4,-1,运营活动中获得
69,112009005,10010,运营活动,1,4,-1,运营活动中获得
70,112009006,10001,爱心礼包,1,4,-1,爱心礼包第二档获得
71,112009007,10130,跨服据点战,30,3,10023,跨服据点战排行榜奖励
72,112009008,10010,运营活动,1,4,-1,运营活动中获得
73,112010001,10010,运营活动,1,4,-1,运营活动中获得
74,112010002,10010,运营活动,1,4,-1,运营活动中获得
