id,kind,minrank,maxrank,objectid,number,bind
1,2,1,1,172306043,1,1
2,1,1,1,183370005,20,1
3,1,1,1,215513001,50,1
4,1,1,1,215514001,10000,1
5,1,2,2,183370005,20,1
6,1,2,2,215513001,100,1
7,1,2,2,215514001,20000,1
8,1,3,3,183370005,30,1
9,1,3,3,215513001,150,1
10,1,3,3,215514001,30000,1
11,1,4,4,183370005,40,1
12,1,4,4,215513001,200,1
13,1,4,4,215514001,40000,1
14,1,5,5,183370005,50,1
15,1,5,5,215513001,250,1
16,1,5,5,215514001,50000,1
17,1,6,6,183370005,60,1
18,1,6,6,215513001,300,1
19,1,6,6,215514001,60000,1
20,1,7,7,183370005,70,1
21,1,7,7,215513001,350,1
22,1,7,7,215514001,70000,1
23,1,8,8,183370005,80,1
24,1,8,8,215513001,400,1
25,1,8,8,215514001,80000,1
26,1,9,9,183370005,90,1
27,1,9,9,215513001,450,1
28,1,9,9,215514001,90000,1
29,1,10,10,183370005,100,1
30,1,10,10,215513001,500,1
31,1,10,10,215514001,100000,1
32,1,11,11,183370005,110,1
33,1,11,11,215513001,550,1
34,1,11,11,215514001,110000,1
35,1,12,12,183370005,120,1
36,1,12,12,215513001,600,1
37,1,12,12,215514001,120000,1
38,1,13,13,183370005,130,1
39,1,13,13,215513001,650,1
40,1,13,13,215514001,130000,1
41,1,14,14,183370005,140,1
42,1,14,14,215513001,700,1
43,1,14,14,215514001,140000,1
44,1,15,15,183370005,150,1
45,1,15,15,215513001,750,1
46,1,15,15,215514001,150000,1
47,1,16,16,183370005,160,1
48,1,16,16,215513001,800,1
49,1,16,16,215514001,160000,1
50,1,17,17,183370005,170,1
51,1,17,17,215513001,850,1
52,1,17,17,215514001,170000,1
53,1,18,18,183370005,180,1
54,1,18,18,215513001,900,1
55,1,18,18,215514001,180000,1
56,1,19,19,183370005,190,1
57,1,19,19,215513001,950,1
58,1,19,19,215514001,190000,1
59,1,20,20,183370005,200,1
60,1,20,20,215513001,1000,1
61,1,20,20,215514001,200000,1
62,1,21,21,183370005,210,1
63,1,21,21,215513001,1050,1
64,1,21,21,215514001,210000,1
65,1,22,22,183370005,220,1
66,1,22,22,215513001,1100,1
67,1,22,22,215514001,220000,1
68,1,23,23,183370005,230,1
69,1,23,23,215513001,1150,1
