id,level,exp,process
1,1,1,20
2,2,2,30
3,3,5,40
4,4,9,50
5,5,14,60
6,6,20,70
7,7,27,80
8,8,35,90
9,9,44,100
10,10,54,110
11,11,65,120
12,12,77,130
13,13,90,140
14,14,104,170
15,15,121,200
16,16,141,230
17,17,164,260
18,18,190,290
19,19,219,320
20,20,251,350
21,21,286,380
22,22,324,410
23,23,365,440
24,24,409,470
25,25,456,500
26,26,506,530
27,27,559,560
28,28,615,590
29,29,674,650
30,30,739,710
31,31,1620,770
32,32,1774,830
33,33,1940,890
34,34,2118,950
35,35,2308,1010
36,36,2510,1070
37,37,2724,1130
38,38,2950,1190
39,39,3188,1250
40,40,3438,1310
41,41,3700,1370
42,42,3974,1430
43,43,4260,1490
44,44,4558,1550
45,45,4868,1610
46,46,5190,1670
47,47,5524,1730
48,48,5870,1790
49,49,6228,1910
50,50,6610,2030
51,51,7016,2150
52,52,7446,2270
53,53,7900,2390
54,54,8378,2510
55,55,8880,2630
56,56,9406,2750
57,57,9956,2870
58,58,10530,2990
59,59,11128,3110
60,60,11750,3230
61,61,12396,3350
62,62,13066,3470
63,63,13760,3590
64,64,14478,3710
65,65,15220,3830
66,66,15986,3950
67,67,16776,4070
68,68,17590,4190
69,69,18428,4430
70,70,28971,4670
71,71,30372,4910
72,72,31845,5150
73,73,33390,5390
74,74,35007,5630
75,75,36696,5870
76,76,38457,6110
77,77,40290,6350
78,78,42195,6590
79,79,44172,6830
80,80,46221,7070
81,81,48342,7310
82,82,50535,7550
83,83,52800,7790
84,84,55137,8150
85,85,57582,8510
86,86,60135,8870
87,87,62796,9230
88,88,65565,9590
89,89,68442,9950
90,90,71427,10310
91,91,74520,10670
92,92,77721,11030
93,93,81030,11390
94,94,84447,11750
95,95,87972,12110
96,96,91605,12470
97,97,95346,12830
98,98,99195,13190
99,99,103152,13550
100,100,107217,13550
