id,level,growth,percent
1,0,100,10000
2,1,40,9500
3,1,20,500
4,2,40,9200
5,2,20,600
6,2,10,200
7,3,40,8900
8,3,20,700
9,3,10,400
10,4,40,8600
11,4,20,800
12,4,10,600
13,5,40,8300
14,5,20,900
15,5,10,800
16,6,40,8000
17,6,20,1000
18,6,10,1000
19,7,40,7700
20,7,20,1100
21,7,10,1200
22,8,40,7400
23,8,20,1200
24,8,10,1400
25,9,40,7100
26,9,20,1300
27,9,10,1600
28,10,40,6800
29,10,20,1400
30,10,10,1800
31,11,40,6500
32,11,20,1500
33,11,10,2000
34,12,40,6200
35,12,20,1600
36,12,10,2200
37,13,40,5900
38,13,20,1700
39,13,10,2400
40,14,40,5600
41,14,20,1800
42,14,10,2600
43,15,40,5300
44,15,20,1900
45,15,10,2800
46,16,40,5000
47,16,20,2000
48,16,10,3000
49,17,40,4700
50,17,20,2100
51,17,10,3200
52,18,40,4400
53,18,20,2200
54,18,10,3400
55,19,40,4100
56,19,20,2300
57,19,10,3600
58,20,40,3800
59,20,20,2400
60,20,10,3800
61,21,40,3500
62,21,20,2500
63,21,10,4000
64,22,40,3200
65,22,20,2600
66,22,10,4200
67,23,40,2900
68,23,20,2700
69,23,10,4400
70,24,40,2600
71,24,20,2800
72,24,10,4600
73,25,40,2300
74,25,20,2900
75,25,10,4800
76,26,40,2000
77,26,20,3000
78,26,10,5000
79,27,40,1700
80,27,20,3100
81,27,10,5200
82,28,40,1400
83,28,20,3200
84,28,10,5400
85,29,40,1100
86,29,20,3300
87,29,10,5600
88,30,40,800
89,30,20,3400
90,30,10,5800
91,31,40,500
92,31,20,3500
93,31,10,6000
94,32,40,200
95,32,20,3600
96,32,10,6200
97,33,20,3600
98,33,10,6200
99,33,5,200
100,34,20,3400
101,34,10,6200
102,34,5,400
103,35,20,3200
104,35,10,6200
105,35,5,600
106,36,20,3000
107,36,10,6200
108,36,5,800
109,37,20,2800
110,37,10,6200
111,37,5,1000
112,38,20,2600
113,38,10,6200
114,38,5,1200
115,39,20,2400
116,39,10,6200
117,39,5,1400
118,40,20,2200
119,40,10,6200
120,40,5,1600
121,41,20,2000
122,41,10,6200
123,41,5,1800
124,42,20,1800
125,42,10,6200
126,42,5,2000
127,43,20,1600
128,43,10,6200
129,43,5,2200
130,44,20,1400
131,44,10,6200
132,44,5,2400
133,45,20,1200
134,45,10,6200
135,45,5,2600
136,46,20,1000
137,46,10,6200
138,46,5,2800
139,47,20,800
140,47,10,6200
141,47,5,3000
142,48,20,600
143,48,10,6200
144,48,5,3200
145,49,20,400
146,49,10,6200
147,49,5,3400
148,50,20,200
149,50,10,6200
150,50,5,3600
151,51,10,6200
152,51,5,3800
153,52,10,6000
154,52,5,3800
155,52,4,200
156,53,10,5800
157,53,5,3800
158,53,4,400
159,54,10,5600
160,54,5,3800
161,54,4,600
162,55,10,5400
163,55,5,3800
164,55,4,800
165,56,10,5200
166,56,5,3800
167,56,4,1000
168,57,10,5000
169,57,5,3800
170,57,4,1200
171,58,10,4800
172,58,5,3800
