id,objectid,petid,level,model_id,skillid,modelid,attack,hitrate,critrate,pettype
1,205299001,222553001,10,6,70010,9970010,200,40,40,0
2,204299002,223553002,30,2,70001,9970001,600,120,120,3
3,204299003,223553003,20,3,70003,9970003,400,80,80,0
4,204299004,223553004,40,4,70002,9970002,800,160,160,1
5,203299005,224553005,50,5,70004,9970004,1000,200,200,2
7,205299003,224553007,30,7,70007,9970007,600,120,120,1
8,205299004,224553008,40,8,70009,9970009,800,160,160,2
9,205299005,225553009,70,9,70011,9970011,1400,280,280,1
10,205299006,225553010,50,10,70006,9970006,1000,200,200,1
11,205299007,225553011,60,11,70008,9970008,1200,240,240,3
12,205299008,225553012,70,12,70012,9970012,1400,280,280,3
