id,type,level,max,property,percent
1,3,1,25,5,10000
2,3,2,50,5,8000
3,3,2,50,4,2000
4,3,3,75,5,6000
5,3,3,75,4,4000
6,3,4,100,5,4000
7,3,4,100,4,4000
8,3,4,100,3,2000
9,3,5,125,5,2000
10,3,5,125,4,5000
11,3,5,125,3,3000
12,3,6,150,4,6000
13,3,6,150,3,4000
14,3,7,175,4,4500
15,3,7,175,3,4500
16,3,7,175,2,1000
17,3,8,200,4,3000
18,3,8,200,3,5000
19,3,8,200,2,2000
20,3,9,230,4,2000
21,3,9,230,3,5000
22,3,9,230,2,2000
23,3,9,230,1,1000
24,3,10,260,4,1000
25,3,10,260,3,4000
26,3,10,260,2,3000
27,3,10,260,1,2000
28,3,11,290,3,4000
29,3,11,290,2,4000
30,3,11,290,1,2000
31,3,12,320,3,3000
32,3,12,320,2,4500
33,3,12,320,1,2500
34,3,13,350,3,2000
35,3,13,350,2,5000
36,3,13,350,1,3000
37,3,14,380,3,1000
38,3,14,380,2,5500
39,3,14,380,1,3500
40,3,15,410,2,6200
41,3,15,410,1,3800
42,3,16,440,2,5500
43,3,16,440,1,4000
44,3,16,440,0,500
45,3,17,475,2,4500
46,3,17,475,1,4500
47,3,17,475,0,1000
48,3,18,510,2,3500
49,3,18,510,1,5000
50,3,18,510,0,1500
51,3,19,545,2,2500
52,3,19,545,1,5500
53,3,19,545,0,2000
54,3,20,580,2,1500
55,3,20,580,1,6000
56,3,20,580,0,2500
57,3,21,615,2,500
58,3,21,615,1,6500
59,3,21,615,0,3000
60,3,22,650,1,6500
61,3,22,650,0,3500
62,3,23,685,1,5800
63,3,23,685,0,4200
64,3,24,720,1,5300
65,3,24,720,0,4700
66,3,25,760,1,4900
67,3,25,760,0,5100
68,3,26,800,1,4600
69,3,26,800,0,5400
70,3,27,840,1,4300
71,3,27,840,0,5700
72,3,28,880,1,4000
73,3,28,880,0,6000
74,3,29,920,1,3700
75,3,29,920,0,6300
76,3,30,960,1,3400
77,3,30,960,0,6600
78,3,31,1000,1,3100
79,3,31,1000,0,6900
80,3,32,1040,1,2800
81,3,32,1040,0,7200
82,1,1,50,10,10000
83,1,2,100,10,8000
84,1,2,100,8,2000
85,1,3,150,10,6000
86,1,3,150,8,4000
87,1,4,200,10,4000
88,1,4,200,8,4000
89,1,4,200,6,2000
90,1,5,250,10,2000
91,1,5,250,8,5000
92,1,5,250,6,3000
93,1,6,300,8,6000
94,1,6,300,6,4000
95,1,7,350,8,4500
96,1,7,350,6,4500
97,1,7,350,4,1000
98,1,8,400,8,3000
99,1,8,400,6,5000
100,1,8,400,4,2000
101,1,9,460,8,2000
102,1,9,460,6,5000
103,1,9,460,4,2000
104,1,9,460,2,1000
105,1,10,520,8,1000
106,1,10,520,6,4000
107,1,10,520,4,3000
108,1,10,520,2,2000
109,1,11,580,6,4000
110,1,11,580,4,4000
111,1,11,580,2,2000
112,1,12,640,6,3000
113,1,12,640,4,4500
114,1,12,640,2,2500
115,1,13,700,6,2000
116,1,13,700,4,5000
117,1,13,700,2,3000
118,1,14,760,6,1000
119,1,14,760,4,5500
120,1,14,760,2,3500
121,1,15,820,4,6200
122,1,15,820,2,3800
123,1,16,880,4,5500
124,1,16,880,2,4000
125,1,16,880,0,500
126,1,17,950,4,4500
127,1,17,950,2,4500
128,1,17,950,0,1000
129,1,18,1020,4,3500
130,1,18,1020,2,5000
131,1,18,1020,0,1500
132,1,19,1090,4,2500
133,1,19,1090,2,5500
134,1,19,1090,0,2000
135,1,20,1160,4,1500
136,1,20,1160,2,6000
137,1,20,1160,0,2500
138,1,21,1230,4,500
139,1,21,1230,2,6500
140,1,21,1230,0,3000
141,1,22,1300,2,6500
