id,level,percent
1,1,200
2,2,220
3,3,240
4,4,260
5,5,280
6,6,300
7,7,320
8,8,340
9,9,360
10,10,380
11,11,400
12,12,420
13,13,440
14,14,460
15,15,480
16,16,500
17,17,520
18,18,540
19,19,560
20,20,580
21,21,600
22,22,620
23,23,640
24,24,660
25,25,680
26,26,700
27,27,720
28,28,740
29,29,760
30,30,780
31,31,800
32,32,820
33,33,840
34,34,860
35,35,880
36,36,900
37,37,920
38,38,940
39,39,960
40,40,980
41,41,1000
42,42,1050
43,43,1100
44,44,1150
45,45,1200
46,46,1250
47,47,1300
48,48,1350
49,49,1400
50,50,1450
51,51,1500
52,52,1550
53,53,1600
54,54,1650
55,55,1700
56,56,1750
57,57,1800
58,58,1850
59,59,1900
60,60,1950
61,61,2050
62,62,2150
63,63,2250
64,64,2350
65,65,2450
66,66,2550
67,67,2650
68,68,2750
69,69,2850
70,70,2950
71,71,3050
72,72,3150
73,73,3250
74,74,3350
75,75,3450
76,76,3550
77,77,3650
78,78,3750
79,79,3850
80,80,3950
81,81,4100
82,82,4250
83,83,4400
84,84,4550
85,85,4700
86,86,4850
87,87,5000
88,88,5150
89,89,5300
90,90,5450
91,91,5600
92,92,5750
93,93,5900
94,94,6050
95,95,6200
96,96,6350
97,97,6500
98,98,6650
99,99,6800
100,100,7000
