id,objectid,skillid,parent_skillid,skill_name,skill_icon,quality,owner,isscale,property_type,property,describe,ratio,skilltype,skilltype_2
1,192412001,700001,700002,顶级雷泽,1001,5,0,0,-2,700001,对[008800]6[-]个目标造成[008800]260%[-]的伤害,2000,0,1
2,193412001,700002,700003,高级雷泽,1002,4,0,0,-2,700002,对[008800]6[-]个目标造成[008800]190%[-]的伤害,2000,0,1
3,194412001,700003,700004,中级雷泽,1003,3,0,0,-2,700003,对[008800]6[-]个目标造成[008800]140%[-]的伤害,2000,0,1
4,195412001,700004,-1,初级雷泽,1004,2,0,0,-2,700004,对[008800]6[-]个目标造成[008800]120%[-]的伤害,2000,0,1
5,192412002,700005,700006,顶级滴水,1101,5,0,0,-2,700005,对目标造成[008800]100%[-]伤害，减少[008800]12%[-]攻击，持续[008800]4[-]秒,1000,0,1
6,193412002,700006,700007,高级滴水,1102,4,0,0,-2,700006,对目标造成[008800]100%[-]伤害，减少[008800]7%[-]攻击，持续[008800]4[-]秒,1000,0,1
7,194412002,700007,700008,中级滴水,1103,3,0,0,-2,700007,对目标造成[008800]100%[-]伤害，减少[008800]3%[-]攻击，持续[008800]4[-]秒,1000,0,1
8,195412002,700008,-1,初级滴水,1104,2,0,0,-2,700008,对目标造成[008800]100%[-]伤害，减少[008800]1.5%[-]攻击，持续[008800]4[-]秒,1000,0,1
9,192412003,700009,700010,顶级雷神,1201,5,0,0,-2,700009,对目标造成[008800]100%[-]伤害，减少[008800]20%[-]防御，持续[008800]4[-]秒,1000,0,1
10,193412003,700010,700011,高级雷神,1202,4,0,0,-2,700010,对目标造成[008800]100%[-]伤害，减少[008800]12%[-]防御，持续[008800]4[-]秒,1000,0,1
11,194412003,700011,700012,中级雷神,1203,3,0,0,-2,700011,对目标造成[008800]100%[-]伤害，减少[008800]5%[-]防御，持续[008800]4[-]秒,1000,0,1
12,195412003,700012,-1,初级雷神,1204,2,0,0,-2,700012,对目标造成[008800]100%[-]伤害，减少[008800]2.5%[-]防御，持续[008800]4[-]秒,1000,0,1
