id,star,mix_luck,max_luck,describe
1,0,0,59,[1c252c][0080eb]4%[-]概率出[0080eb]中级功法书[-][-]
2,1,60,119,[1c252c][0080eb]8%[-]概率出[0080eb]中级功法书[-][-]
3,2,120,239,[1c252c][0080eb]12%[-]概率出[0080eb]中级功法书[-][-]
4,3,240,359,[1c252c][0080eb]16%[-]概率出[0080eb]中级功法书[-][-]
5,4,360,599,[1c252c][0080eb]20%[-]概率出[0080eb]中级功法书[-][-]
6,5,600,839,[1c252c][ea00e8]0.5%[-]概率出[ea00e8]高级功法书[-][-]
7,6,840,1079,[1c252c][ea00e8]1%[-]概率出[ea00e8]高级功法书[-][-]
8,7,1080,1439,[1c252c][ea00e8]1.5%[-]概率出[ea00e8]高级功法书[-][-]
9,8,1440,1800,[1c252c][ea4b0b]0.2%[-]概率出[ea4b0b]顶级功法书[-][-]
10,9,1801,9999,[1c252c][ea4b0b]0.5%[-]概率出[ea4b0b]顶级功法书[-][-]
