id,system_type,value,pill,number
1,1,0,184390001,0
2,1,0,183390002,0
3,1,0,182390003,0
4,1,1,184390001,10
5,1,1,183390002,5
6,1,1,182390003,1
7,1,2,184390001,25
8,1,2,183390002,15
9,1,2,182390003,3
10,1,3,184390001,45
11,1,3,183390002,30
12,1,3,182390003,6
13,1,4,184390001,70
14,1,4,183390002,45
15,1,4,182390003,9
16,1,5,184390001,100
17,1,5,183390002,65
18,1,5,182390003,13
19,1,6,184390001,135
20,1,6,183390002,85
21,1,6,182390003,17
22,1,7,184390001,175
23,1,7,183390002,110
24,1,7,182390003,22
25,1,8,184390001,220
26,1,8,183390002,135
27,1,8,182390003,27
28,1,9,184390001,270
29,1,9,183390002,165
30,1,9,182390003,33
31,1,10,184390001,325
32,1,10,183390002,195
33,1,10,182390003,39
34,1,11,184390001,385
35,1,11,183390002,235
36,1,11,182390003,47
37,1,12,184390001,455
38,1,12,183390002,275
39,1,12,182390003,55
40,1,13,184390001,535
41,1,13,183390002,325
42,1,13,182390003,64
43,1,14,184390001,615
44,1,14,183390002,375
45,1,14,182390003,73
46,1,15,184390001,705
47,1,15,183390002,435
48,1,15,182390003,83
49,2,0,184392001,0
50,2,0,183392002,0
51,2,0,182392003,0
52,2,1,184392001,10
53,2,1,183392002,2
54,2,1,182392003,1
55,2,2,184392001,20
56,2,2,183392002,4
57,2,2,182392003,2
58,2,3,184392001,30
59,2,3,183392002,6
60,2,3,182392003,3
61,2,4,184392001,40
62,2,4,183392002,8
63,2,4,182392003,4
64,2,5,184392001,55
65,2,5,183392002,12
66,2,5,182392003,6
67,2,6,184392001,70
68,2,6,183392002,16
69,2,6,182392003,8
70,2,7,184392001,85
71,2,7,183392002,20
72,2,7,182392003,10
73,2,8,184392001,100
74,2,8,183392002,24
75,2,8,182392003,12
76,2,9,184392001,120
77,2,9,183392002,30
78,2,9,182392003,15
79,2,10,184392001,140
80,2,10,183392002,36
81,2,10,182392003,18
82,2,11,184392001,160
83,2,11,183392002,42
84,2,11,182392003,21
85,2,12,184392001,180
86,2,12,183392002,48
87,2,12,182392003,24
88,2,13,184392001,205
89,2,13,183392002,56
90,2,13,182392003,28
91,2,14,184392001,230
92,2,14,183392002,64
93,2,14,182392003,32
94,3,0,184391001,0
95,3,0,183391002,0
96,3,0,182391003,0
97,3,1,184391001,10
98,3,1,183391002,8
99,3,1,182391003,2
100,3,2,184391001,30
101,3,2,183391002,20
102,3,2,182391003,5
103,3,3,184391001,70
104,3,3,183391002,36
105,3,3,182391003,9
106,3,4,184391001,140
107,3,4,183391002,56
108,3,4,182391003,14
109,3,5,184391001,240
110,3,5,183391002,80
111,3,5,182391003,20
112,3,6,184391001,370
113,3,6,183391002,112
114,3,6,182391003,28
115,4,0,184393001,0
116,4,0,183393002,0
117,4,0,182393003,0
118,4,1,184393001,10
119,4,1,183393002,3
120,4,1,182393003,1
121,4,2,184393001,30
122,4,2,183393002,9
123,4,2,182393003,3
124,4,3,184393001,50
125,4,3,183393002,15
126,4,3,182393003,5
127,4,4,184393001,70
128,4,4,183393002,21
129,4,4,182393003,7
130,4,5,184393001,100
131,4,5,183393002,30
132,4,5,182393003,10
133,4,6,184393001,130
134,4,6,183393002,39
135,4,6,182393003,13
136,4,7,184393001,160
137,4,7,183393002,48
138,4,7,182393003,16
139,4,8,184393001,200
140,4,8,183393002,60
141,4,8,182393003,20
142,4,9,184393001,240
143,4,9,183393002,72
144,4,9,182393003,24
145,4,10,184393001,280
146,4,10,183393002,84
147,4,10,182393003,28
148,5,0,184394001,0
149,5,0,183394002,0
150,5,0,182394003,0
151,5,1,184394001,10
152,5,1,183394002,6
153,5,1,182394003,2
154,5,2,184394001,25
155,5,2,183394002,15
156,5,2,182394003,5
157,5,3,184394001,45
158,5,3,183394002,27
159,5,3,182394003,9
160,5,4,184394001,70
161,5,4,183394002,42
162,5,4,182394003,14
163,5,5,184394001,100
164,5,5,183394002,60
165,5,5,182394003,20
166,5,6,184394001,135
167,5,6,183394002,81
168,5,6,182394003,27
169,5,7,184394001,175
170,5,7,183394002,105
171,5,7,182394003,35
172,5,8,184394001,220
173,5,8,183394002,132
174,5,8,182394003,44
175,5,9,184394001,270
176,5,9,183394002,162
177,5,9,182394003,54
178,5,10,184394001,325
179,5,10,183394002,195
180,5,10,182394003,65
181,6,0,184395001,0
182,6,0,183395002,0
183,6,0,182395003,0
184,6,1,184395001,100
185,6,1,183395002,50
186,6,1,182395003,0
187,6,40,184395001,200
188,6,40,183395002,100
189,6,40,182395003,10
190,6,80,184395001,300
191,6,80,183395002,150
192,6,80,182395003,20
193,6,120,184395001,400
194,6,120,183395002,200
195,6,120,182395003,30
196,6,160,184395001,500
197,6,160,183395002,250
198,6,160,182395003,40
199,6,200,184395001,600
200,6,200,183395002,300
201,6,200,182395003,60
202,6,240,184395001,700
203,6,240,183395002,350
204,6,240,182395003,80
205,6,280,184395001,800
206,6,280,183395002,400
207,6,280,182395003,100
