id,title,systemid,button
1,提升羽翼,131030000,前往提升
2,提升坐骑,131010000,前往提升
3,提升玄兵淬炼,131050100,前往提升
4,提升玄兵注灵,131050200,前往提升
5,提升足迹,131060000,前往提升
6,提升仙器,131070000,前往提升
7,提升伙伴成长,131020200,前往提升
8,提升伙伴灵修,131020300,前往提升
9,提升法宝,107000000,前往提升
10,提升神兵,108000000,前往提升
11,天宝阁抽奖,500000000,前往抽奖
12,击杀世界BOSS,241000000,前往挑战
13,通关水府试炼,243010100,前往挑战
14,通关明月山水图,243010110,前往挑战
15,通关寂灭之域,243010120,前往挑战
16,通关东林宗,243010130,前往挑战
17,通关无间战场,243010140,前往挑战
18,通关巫江仙府,243030000,前往挑战
19,通关妖魔冰谷,243050000,前往挑战
20,通关莲花幻界,243010150,前往挑战
21,通关四象灵域,243040000,前往挑战
22,充值,281010000,前往充值
23,完成普通聚灵,224000000,前往聚灵
24,完成高级聚灵,224000000,前往聚灵
