id,copyid,classify
1,20101,13
2,20102,13
3,20103,13
4,20104,13
5,30101,13
6,30102,13
7,30103,13
8,30104,13
9,20201,14
10,20202,14
11,20203,14
12,20204,14
13,20301,15
14,20302,15
15,20303,15
16,20304,15
17,20401,16
18,20402,16
19,20403,16
20,20404,16
21,20501,17
22,20502,17
23,20503,17
24,20504,17
25,30201,17
26,30202,17
27,30203,17
28,30204,17
29,40101,18
30,40102,18
31,40103,18
32,40104,18
33,40201,19
34,40202,19
35,40203,19
36,40204,19
37,20601,20
38,20602,20
39,20603,20
40,20604,20
41,30301,20
42,30302,20
43,30303,20
44,30304,20
45,40301,21
46,40302,21
47,40303,21
48,40304,21
