id,copyid,time,bigid,bigpercent,smallid,smallpercent,emptypercent
1,90101,1,920001,10,930001,40,50
2,90101,2,920001,10,930001,40,50
3,90101,3,920001,10,930001,40,50
4,90102,1,920002,10,930002,40,50
5,90102,2,920002,10,930002,40,50
6,90102,3,920002,10,930002,40,50
7,90103,1,920003,10,930003,40,50
8,90103,2,920003,10,930003,40,50
9,90103,3,920003,10,930003,40,50
10,90104,1,920004,10,930004,40,50
11,90104,2,920004,10,930004,40,50
12,90104,3,920004,10,930004,40,50
13,90105,1,920005,10,930005,40,50
14,90105,2,920005,10,930005,40,50
15,90105,3,920005,10,930005,40,50
16,90106,1,920006,10,930006,40,50
17,90106,2,920006,10,930006,40,50
18,90106,3,920006,10,930006,40,50
19,90107,1,920007,10,930007,40,50
20,90107,2,920007,10,930007,40,50
21,90107,3,920007,10,930007,40,50
22,90108,1,920008,10,930008,40,50
23,90108,2,920008,10,930008,40,50
24,90108,3,920008,10,930008,40,50
