id,position,sceneposition,rotation,sceneid,npcid
1,(22.45, 1.4, 56.15),(122.45,1.4,142.16),(0.0, 270.0, 0.0),10102,9060001
2,(22.86, 1.4, 22.4),(122.86,1.4,108.4),(0.0, 270.0, 0.0),10102,9060002
3,(51.4, 1.3, 26.3),(151.4,1.3,112.3),(0.0, 270.0, 0.0),10102,9060003
4,(23, 1.5, -19.15),(123,1.5,66.85),(0.0, 270.0, 0.0),10102,9060004
5,(50.18, 1.6, -49.29),(150.18,1.6,36.7),(0.0, 270.0, 0.0),10102,9060005
6,(4.56, 1.6, -72.61),(104.56,1.6,13.38),(0.0, 0.0, 0.0),10102,9060006
7,(-29.6, 1.5, -49.0),(70.4,1.5,37),(0.0, 0.0, 0.0)",10102,9060007
8,(-55.67, 1.4, -51.59),(44.32,1.4,34.41),(0.0, 0.0, 0.0)",10102,9060008
9,(-53.5, 3.4, -22.2),(46.5,3.4,63.8),(0.0, 264.7, 0.0),10102,9060009
10,(20.2, 1.5, -39.4),(120.2,1.5,46.6),(0.0, 272.1, 0.0),10102,9060010
11,(22.7, 1.4, 34.7),(122.7,1.4,120.7),(0.0, 270.0, 0.0),10102,9060071
12,(22.07, 1.4, 12.8),(122.07,1.4,98.8),(0.0, 270.0, 0.0),10102,9060072
13,(8.47, 1.4, 39.5),(108.41,1.4,125.5),(0.0, 270.0, 0.0),10102,9060073
14,(8.47, 1.4, 18.4),(108.47,1.4,104.4),(0.0, 270.0, 0.0),10102,9060074
15,(10.06, 4.2, -0.58),(110.06,4.2,85.42),(0.0, 270.0, 0.0),10102,9060075
16,(20.5, 1.5, -61.2),(120.5,1.5,24.8),(0.0, 272.1, 0.0),10102,9060076
17,(-51.4, 1.4, -36.0),(48.6,1.4,50),(0.0, 257.8, 0.0),10102,9060077
18,(-52.4, 1.4, -10.1),(47.6,1.4,75.9),(0.0, 280.0, 0.0),10102,9060078
19,(-4.4, 1.6, -32.2),(95.6,1.6,53.8),(0.0, 317.0, 0.0),10102,9060079
20,(-2.6, 1.5, -63.2),(97.4,1.5,22.8),(0.0, 0.0, 0.0),10102,9060080
21,(2.9, 0.0, -2.4),(81.9,0,215.6),(0.0, 309.0, 0.0),10104,9060011
22,(55.6, 23.2, -171.9),(134.6,23.2,46.10001),(0.0, 332.8, 0.0),10104,9060012
23,(52.7, 22.6, -129.6),(131.7,22.6,88.39999),(0.0, 305.1, 0.0),10104,9060013
24,(27.5, 16.6, -59.5),(106.5,16.6,158.5),(0.0, 270.8, 0.0),10104,9060014
25,(80.9, 16.6, -29.5),(159.9,16.6,188.5),(0.0, 270.9, 0.0),10104,9060015
26,(81.5, 16.5, -47.8),(160.5,16.5,170.2),(0.0, 258.8, 0.0),10104,9060016
27,(5.5, -0.6, -17.0),(84.5,-0.6,201),(0.0, 254.1, 0.0),10104,9060017
28,(-41.0, 18.7, -102.9),(38,18.7,115.1),(0.0, 323.8, 0.0),10104,9060018
29,(-22.2, 18.8, -101.0),(56.8,18.8,117),(0.0, 323.8, 0.0),10104,9060019
30,(-54.3, 18.8, -90.9),(24.7,18.8,127.1),(0.0, 323.8, 0.0),10104,9060020
31,(71.5, 23.2, -164.4),(150.5,23.2,53.60001),(0.0, 332.8, 0.0),10104,9060081
32,(85.2, 23.2, -169.8),(164.2,23.2,48.2),(0.0, 332.8, 0.0),10104,9060082
33,(36.1, 22.6, -132.1),(115.1,22.6,85.89999),(0.0, 356.4, 0.0),10104,9060083
34,(-0.8, 20.3, -71.5),(78.2,20.3,146.5),(0.0, 327.4, 0.0),10104,9060084
35,(35.5, 21.7, -103.1),(114.5,21.7,114.9),(0.0, 319.6, 0.0),10104,9060085
36,(33.4, 14.4, -46.0),(112.4,14.4,172),(0.0, 329.3, 0.0),10104,9060086
37,(56.8, 16.5, -40.2),(135.8,16.5,177.8),(0.0, 264.6, 0.0),10104,9060087
38,(6.4, -0.4, 13.7),(85.4,-0.4,231.7),(0.0, 272.5, 0.0),10104,9060088
39,(-20.8, 17.0, -81.5),(58.2,17,136.5),(0.0, 327.4, 0.0),10104,9060089
40,(50.3, 22.6, -110.9),(129.3,22.6,107.1),(0.0, 275.6, 0.0),10104,9060090
41,(-3.9, 8.9, 49.6),(79.1,8.9,179.6),(0.0, 352.6, 0.0),10105,9060021
42,(31.4, 8.4, 46.7),(114.4,8.4,176.7),(0.0, 51.9, 0.0),10105,9060022
43,(32.5, 7.9, -5.0),(115.5,7.9,125),(0.0, 99.7, 0.0),10105,9060023
44,(11.3, 7.7, -19.1),(94.3,7.7,110.9),(0.0, 105.9, 0.0),10105,9060024
45,(-4.2, 9.9, -28.0),(78.8,9.9,102),(0.0, 59.8, 0.0),10105,9060025
46,(-5.7, 8.0, -53.4),(77.3,8,76.6),(0.0, 103.1, 0.0),10105,9060026
47,(-0.7, 10.5, -86.3),(82.3,10.5,43.7),(0.0, 1.1, 0.0),10105,9060027
48,(-28.5, 13.0, -8.1),(54.5,13,121.9),(0.0, 72.3, 0.0),10105,9060028
49,(-49.4, 12.8, 9.8),(33.6,12.8,139.8),(0.0, 66.4, 0.0),10105,9060029
50,(-56.6, 13.4, 40.0),(26.4,13.4,170),(0.0, 74.1, 0.0),10105,9060030
51,(-17.7, 11.2, 78.8),(65.3,11.2,208.8),(0.0, 83.3, 0.0),10105,9060091
52,(-50.5, 12.8, 25.0),(32.5,12.8,155),(0.0, 74.1, 0.0),10105,9060092
53,(-29.3, 11.4, 1.8),(53.7,11.4,131.8),(0.0, 72.3, 0.0),10105,9060093
54,(-31.7, 12.9, -21.6),(51.3,12.9,108.4),(0.0, 72.3, 0.0),10105,9060094
55,(-6.8, 7.8, -73.6),(76.2,7.8,56.4),(0.0, 47.1, 0.0),10105,9060095
56,(21.6, 7.8, -73.9),(104.6,7.8,56.1),(0.0, 343.2, 0.0),10105,9060096
57,(20.3, 7.8, -53.5),(103.3,7.8,76.5),(0.0, 250.2, 0.0),10105,9060097
58,(16.9, 7.2, -39.6),(99.9,7.2,90.4),(0.0, 355.7, 0.0),10105,9060098
59,(38.6, 8.3, 19.4),(121.6,8.3,149.4),(0.0, 100.4, 0.0),10105,9060099
60,(-25.3, 9.9, 63.1),(57.7,9.9,193.1),(0.0, 116.8, 0.0),10105,9060100
61,(-36.6,-3.5,-28.2),(37.4,-3.5,57.8),(0.0, 270.0, 0.0),80101,9060031
62,(-34.2,-3.6,-14.5),(39.8,-3.6,71.5),(0.0, 329.7, 0.0),80101,9060032
63,(-23.9,-3.7,-9.8),(50.1,-3.7,76.2),(0.0, 329.7, 0.0),80101,9060033
64,(-2.4,-3.7,-6.7),(71.6,-3.7,79.3),(0.0, 239.7, 0.0),80101,9060034
65,(3.0,-3.4,-23.5),(77,-3.4,62.5),(0.0, 239.7, 0.0),80101,9060035
66,(-4.0,-3.4,-43.1),(70,-3.4,42.9),(0.0, 317.4, 0.0),80101,9060036
67,(8.0,-3.4,-48.5),(82,-3.4,37.5),(0.0, 293.4, 0.0),80101,9060037
68,(25.1,-3.4,-48.5),(99.1,-3.4,37.5),(0.0, 13.3, 0.0),80101,9060038
69,(42.4,-3.7,-57.9),(116.4,-3.7,28.1),(0.0, 262.1, 0.0),80101,9060039
70,(43.0,-3.7,-44.3),(117,-3.7,41.7),(0.0, 262.1, 0.0),80101,9060040
71,(34.9,-3.5,-29.4),(108.9,-3.5,56.6),(0.0, 284.3, 0.0),80101,9060041
72,(43.8,-3.6,-7.5),(117.8,-3.6,78.5),(0.0, 284.3, 0.0),80101,9060042
73,(27.1,-3.7,15.5),(101.1,-3.7,101.5,(0.0, 284.3, 0.0),80101,9060043
74,(6.8,-3.5,48.2),(80.8,-3.5,134.2),(0.0, 194.9, 0.0),80101,9060044
75,(-0.3,-3.7,29.8),(73.7,-3.7,115.8),(0.0, 264.1, 0.0),80101,9060045
76,(-31.3,-3.7,3.3),(42.7,-3.7,89.3),(0.0, 230.6, 0.0),80101,9060061
77,(-11.5,-3.5,36.2),(62.5,-3.5,122.2),(0.0, 311.1, 0.0),80101,9060062
78,(-20.1,-3.7,51.6),(53.9,-3.7,137.6),(0.0, 211.5, 0.0),80101,9060063
79,(-18.7,-3.5,28.8),(55.3,-3.5,114.8),(0.0, 282.0, 0.0),80101,9060064
80,(-22.5,-3.7,16.7),(51.5,-3.7,102.7),(0.0, 318.5, 0.0),80101,9060065
81,(-36.6,-3.5,-28.2),(37.4,-3.5,57.8),(0.0, 270.0, 0.0),80102,9060046
82,(-34.2,-3.6,-14.5),(39.8,-3.6,71.5),(0.0, 329.7, 0.0),80102,9060047
83,(-23.9,-3.7,-9.8),(50.1,-3.7,76.2),(0.0, 329.7, 0.0),80102,9060048
84,(-2.4,-3.7,-6.7),(71.6,-3.7,79.3),(0.0, 239.7, 0.0),80102,9060049
85,(3.0,-3.4,-23.5),(77,-3.4,62.5),(0.0, 239.7, 0.0),80102,9060050
86,(-4.0,-3.4,-43.1),(70,-3.4,42.9),(0.0, 317.4, 0.0),80102,9060051
87,(8.0,-3.4,-48.5),(82,-3.4,37.5),(0.0, 293.4, 0.0),80102,9060052
88,(25.1,-3.4,-48.5),(99.1,-3.4,37.5),(0.0, 13.3, 0.0),80102,9060053
89,(42.4,-3.7,-57.9),(116.4,-3.7,28.1),(0.0, 262.1, 0.0),80102,9060054
90,(43.0,-3.7,-44.3),(117,-3.7,41.7),(0.0, 262.1, 0.0),80102,9060055
91,(34.9,-3.5,-29.4),(108.9,-3.5,56.6),(0.0, 284.3, 0.0),80102,9060056
92,(43.8,-3.6,-7.5),(117.8,-3.6,78.5),(0.0, 284.3, 0.0),80102,9060057
93,(27.1,-3.7,15.5),(101.1,-3.7,101.5,(0.0, 284.3, 0.0),80102,9060058
94,(6.8,-3.5,48.2),(80.8,-3.5,134.2),(0.0, 194.9, 0.0),80102,9060059
95,(-0.3,-3.7,29.8),(73.7,-3.7,115.8),(0.0, 264.1, 0.0),80102,9060060
96,(-31.3,-3.7,3.3),(42.7,-3.7,89.3),(0.0, 230.6, 0.0),80102,9060066
97,(-11.5,-3.5,36.2),(62.5,-3.5,122.2),(0.0, 311.1, 0.0),80102,9060067
98,(-20.1,-3.7,51.6),(53.9,-3.7,137.6),(0.0, 211.5, 0.0),80102,9060068
99,(-18.7,-3.5,28.8),(55.3,-3.5,114.8),(0.0, 282.0, 0.0),80102,9060069
100,(-22.5,-3.7,16.7),(51.5,-3.7,102.7),(0.0, 318.5, 0.0),80102,9060070
