id,position,sceneposition,sceneid
1,(26.4, -1.3, -41.1),(100.4,-1.3,44.9),80101
2,(10.2, -1.3, -35.8),(84.2,-1.3,50.2),80101
3,(-10.1, -3.3, -32.4),(63.9,-3.3,53.6),80101
4,(-1.3, -3.3, -22.1),(72.7,-3.3,63.9),80101
5,(-10.2, -3.6, -4.5),(63.8,-3.6,81.5),80101
6,(-28.4, -3.3, -4.5),(45.6,-3.3,81.5),80101
7,(-45.9, -3.3, -4.5),(28.1,-3.3,81.5),80101
8,(-38.7, -3.3, 15.2),(35.3,-3.3,101.2),80101
9,(-36.6, -3.3, 37.7),(37.4,-3.3,123.7),80101
10,(-5.2, -3.3, 44.6),(68.8,-3.3,130.6),80101
11,(18.0, -3.3, 15.1),(92,-3.3,101.1),80101
12,(18.0, -3.3, -6.6),(92,-3.3,79.4),80101
13,(34.2, -3.3, -21.7),(108.2,-3.3,64.3),80101
14,(42.8, -3.3, -12.4),(116.8,-3.3,73.6),80101
15,(23.7, -3.3, -28.0),(97.7,-3.3,58),80101
16,(26.4, -1.3, -41.1),(100.4,-1.3,44.9),80102
17,(10.2, -1.3, -35.8),(84.2,-1.3,50.2),80102
18,(-10.1, -3.3, -32.4),(63.9,-3.3,53.6),80102
19,(-1.3, -3.3, -22.1),(72.7,-3.3,63.9),80102
20,(-10.2, -3.6, -4.5),(63.8,-3.6,81.5),80102
21,(-28.4, -3.3, -4.5),(45.6,-3.3,81.5),80102
22,(-45.9, -3.3, -4.5),(28.1,-3.3,81.5),80102
23,(-38.7, -3.3, 15.2),(35.3,-3.3,101.2),80102
24,(-36.6, -3.3, 37.7),(37.4,-3.3,123.7),80102
25,(-5.2, -3.3, 44.6),(68.8,-3.3,130.6),80102
26,(18.0, -3.3, 15.1),(92,-3.3,101.1),80102
27,(18.0, -3.3, -6.6),(92,-3.3,79.4),80102
28,(34.2, -3.3, -21.7),(108.2,-3.3,64.3),80102
29,(42.8, -3.3, -12.4),(116.8,-3.3,73.6),80102
30,(23.7, -3.3, -28.0),(97.7,-3.3,58),80102
