id,system_mother,system_son
1,1,100000000
2,1,130000000
3,1,120000000
4,1,150000000
5,1,110000000
6,1,290000000
7,1,310000000
8,1,160000000
9,1,320000000
10,1,190000000
11,1,170000000
12,1,140000000
13,100000000,101000000
14,100000000,102000000
15,100000000,103000000
16,100000000,104000000
17,100000000,105000000
18,100000000,107000000
19,100000000,108000000
20,100000000,109000000
21,110000000,111000000
22,110000000,112000000
23,110000000,113000000
24,110000000,114000000
25,110000000,115000000
26,110000000,116000000
27,120000000,121000000
28,120000000,122000000
29,120000000,123000000
30,120000000,124000000
31,120000000,125000000
32,120000000,126000000
33,130000000,131010000
34,130000000,131020000
35,130000000,131030000
36,130000000,131040000
37,130000000,131050000
38,130000000,131060000
39,130000000,131070000
40,130000000,132010000
41,130000000,132020000
42,130000000,132030000
43,130000000,132040000
44,130000000,132050000
45,140000000,141000000
46,150000000,151000000
47,150000000,152000000
48,150000000,153000000
49,150000000,154000000
50,150000000,155000000
51,160000000,161010000
52,160000000,161011000
53,160000000,161012000
54,160000000,161013000
55,160000000,161014000
56,160000000,161015000
57,160000000,161016000
58,160000000,161017000
59,160000000,161018000
60,160000000,161019000
61,160000000,161020000
62,160000000,161021000
63,160000000,161022000
64,160000000,161023000
65,160000000,161024000
66,160000000,161025000
67,160000000,161026000
68,170000000,171000000
69,170000000,172000000
70,170000000,173000000
71,180000000,181000000
72,230000000,231000000
73,230000000,232000000
74,230000000,233000000
75,290000000,291000000
76,290000000,292000000
77,290000000,293000000
78,310000000,311000000
79,310000000,312000000
80,310000000,313000000
81,190000000,191000000
82,190000000,192000000
83,200000000,201000000
84,200000000,202000000
85,200000000,203000000
86,200000000,204000000
87,200000000,205000000
88,200000000,206000000
89,220000000,221000000
90,220000000,222000000
91,220000000,223000000
92,220000000,224000000
93,220000000,225000000
94,240000000,242000000
95,240000000,243000000
96,240000000,244000000
97,240000000,245000000
98,240000000,246000000
99,240000000,248000000
100,240000000,249000000
101,241000000,241010000
102,241000000,241011000
103,241000000,241012000
104,241000000,241013000
105,241000000,241014000
106,241000000,241015000
107,241000000,241016000
108,243000000,243010000
109,243000000,243020000
110,243000000,243030000
111,243000000,243040000
112,243000000,243050000
113,870000000,871000000
114,870000000,872000000
115,320000000,320000000
116,320000000,321000000
117,320000000,322000000
118,320000000,323000000
119,320000000,324000000
120,320000000,325000000
121,320000000,326000000
122,320000000,327000000
123,910000000,911000000
124,910000000,912000000
125,910000000,913000000
126,910000000,914000000
127,910000000,915000000
