id,name,gradelevel,costgrass,costmoney,percent,speed,health,attack,defence,crit,toughness,hit,dodge,model_id,effect
1,大熊猫,10,0,0,10000,0,0,0,0,0,0,0,0,1,1
2,大熊猫,11,1,3000,10000,1,350,49,24,3,3,4,4,1,1
3,大熊猫,12,1,3000,9000,2,700,98,49,7,7,7,7,1,1
4,大熊猫,13,1,3000,8000,3,1050,147,73,10,10,11,11,1,1
5,大熊猫,14,1,3000,7500,4,1400,196,98,14,14,14,14,1,1-1
6,大熊猫,15,1,3000,7000,5,1750,245,122,17,17,18,18,1,1-1
7,大熊猫,16,1,3000,6500,6,2100,294,147,21,21,21,21,1,1-1
8,大熊猫,17,1,3000,6000,7,2450,343,171,24,24,25,25,1,1-2
9,大熊猫,18,1,3000,5500,8,2800,392,196,28,28,28,28,1,1-2
10,大熊猫,19,1,3000,5000,9,3150,441,220,31,31,32,32,1,1-2
11,迅影霜狼,21,3,9000,4500,10,3550,497,248,35,35,36,36,2,2
12,迅影霜狼,22,3,9000,7380,11,3950,553,276,39,39,40,40,2,2
13,迅影霜狼,23,3,9000,6560,12,4350,609,304,43,43,44,44,2,2
14,迅影霜狼,24,3,9000,6150,13,4750,665,332,47,47,48,48,2,2-1
15,迅影霜狼,25,3,9000,5740,14,5150,721,360,51,51,52,52,2,2-1
16,迅影霜狼,26,3,9000,5330,15,5550,777,388,55,55,56,56,2,2-1
17,迅影霜狼,27,3,9000,4920,16,5950,833,416,59,59,60,60,2,2-2
18,迅影霜狼,28,3,9000,4510,17,6350,889,444,63,63,64,64,2,2-2
19,迅影霜狼,29,3,9000,4100,18,6750,945,472,67,67,68,68,2,2-2
20,清虚白鹿,31,5,15000,3690,19,7200,1008,504,72,72,72,72,3,3
21,清虚白鹿,32,5,15000,6052,20,7650,1071,535,76,76,77,77,3,3
22,清虚白鹿,33,5,15000,5379,21,8100,1134,567,81,81,81,81,3,3
23,清虚白鹿,34,5,15000,5043,22,8550,1197,598,85,85,86,86,3,3-1
24,清虚白鹿,35,5,15000,4707,23,9000,1260,630,90,90,90,90,3,3-1
25,清虚白鹿,36,5,15000,4371,24,9450,1323,661,94,94,95,95,3,3-1
26,清虚白鹿,37,5,15000,4034,25,9900,1386,693,99,99,99,99,3,3-2
27,清虚白鹿,38,5,15000,3698,26,10350,1449,724,103,103,104,104,3,3-2
28,清虚白鹿,39,5,15000,3362,27,10800,1512,756,108,108,108,108,3,3-2
29,神铠犀牛,41,7,21000,3026,28,11300,1582,791,113,113,113,113,4,4
30,神铠犀牛,42,7,21000,4962,29,11800,1652,826,118,118,118,118,4,4
31,神铠犀牛,43,7,21000,4411,30,12300,1722,861,123,123,123,123,4,4
32,神铠犀牛,44,7,21000,4135,31,12800,1792,896,128,128,128,128,4,4-1
33,神铠犀牛,45,7,21000,3860,32,13300,1862,931,133,133,133,133,4,4-1
34,神铠犀牛,46,7,21000,3584,33,13800,1932,966,138,138,138,138,4,4-1
35,神铠犀牛,47,7,21000,3308,34,14300,2002,1001,143,143,143,143,4,4-2
36,神铠犀牛,48,7,21000,3033,35,14800,2072,1036,148,148,148,148,4,4-2
37,神铠犀牛,49,7,21000,2757,36,15300,2142,1071,153,153,153,153,4,4-2
38,九尾灵狐,51,9,27000,2481,37,15850,2219,1109,158,158,159,159,5,5
39,九尾灵狐,52,9,27000,4069,38,16400,2296,1148,164,164,164,164,5,5
40,九尾灵狐,53,9,27000,3617,39,16950,2373,1186,169,169,170,170,5,5
41,九尾灵狐,54,9,27000,3391,40,17500,2450,1225,175,175,175,175,5,5-1
42,九尾灵狐,55,9,27000,3165,41,18050,2527,1263,180,180,181,181,5,5-1
43,九尾灵狐,56,9,27000,2939,42,18600,2604,1302,186,186,186,186,5,5-1
44,九尾灵狐,57,9,27000,2713,43,19150,2681,1340,191,191,192,192,5,5-2
45,九尾灵狐,58,9,27000,2487,44,19700,2758,1379,197,197,197,197,5,5-2
46,九尾灵狐,59,9,27000,2261,45,20250,2835,1417,202,202,203,203,5,5-2
47,金角异兽,61,11,33000,2035,46,20850,2919,1459,208,208,209,209,6,6
48,金角异兽,62,11,33000,3337,47,21450,3003,1501,214,214,215,215,6,6
49,金角异兽,63,11,33000,2966,48,22050,3087,1543,220,220,221,221,6,6
50,金角异兽,64,11,33000,2781,49,22650,3171,1585,226,226,227,227,6,6-1
51,金角异兽,65,11,33000,2595,50,23250,3255,1627,232,232,233,233,6,6-1
52,金角异兽,66,11,33000,2410,51,23850,3339,1669,238,238,239,239,6,6-1
53,金角异兽,67,11,33000,2224,52,24450,3423,1711,244,244,245,245,6,6-2
54,金角异兽,68,11,33000,2039,53,25050,3507,1753,250,250,251,251,6,6-2
55,金角异兽,69,11,33000,1854,54,25650,3591,1795,256,256,257,257,6,6-2
56,炎鬃赤骥,71,13,39000,1668,55,26300,3682,1841,263,263,263,263,7,7
57,炎鬃赤骥,72,13,39000,2736,56,26950,3773,1886,269,269,270,270,7,7
58,炎鬃赤骥,73,13,39000,2432,57,27600,3864,1932,276,276,276,276,7,7
59,炎鬃赤骥,74,13,39000,2280,58,28250,3955,1977,282,282,283,283,7,7-1
60,炎鬃赤骥,75,13,39000,2128,59,28900,4046,2023,289,289,289,289,7,7-1
61,炎鬃赤骥,76,13,39000,1976,60,29550,4137,2068,295,295,296,296,7,7-1
62,炎鬃赤骥,77,13,39000,1824,61,30200,4228,2114,302,302,302,302,7,7-2
63,炎鬃赤骥,78,13,39000,1672,62,30850,4319,2159,308,308,309,309,7,7-2
64,炎鬃赤骥,79,13,39000,1520,63,31500,4410,2205,315,315,315,315,7,7-2
65,北海龙鳌,81,15,45000,1368,64,32200,4508,2254,322,322,322,322,8,8
66,北海龙鳌,82,15,45000,2244,65,32900,4606,2303,329,329,329,329,8,8
67,北海龙鳌,83,15,45000,1994,66,33600,4704,2352,336,336,336,336,8,8
68,北海龙鳌,84,15,45000,1870,67,34300,4802,2401,343,343,343,343,8,8-1
69,北海龙鳌,85,15,45000,1745,68,35000,4900,2450,350,350,350,350,8,8-1
70,北海龙鳌,86,15,45000,1620,69,35700,4998,2499,357,357,357,357,8,8-1
71,北海龙鳌,87,15,45000,1496,70,36400,5096,2548,364,364,364,364,8,8-2
72,北海龙鳌,88,15,45000,1371,71,37100,5194,2597,371,371,371,371,8,8-2
73,北海龙鳌,89,15,45000,1246,72,37800,5292,2646,378,378,378,378,8,8-2
74,紫电狻猊,91,17,51000,1122,73,38550,5397,2698,385,385,386,386,9,9
75,紫电狻猊,92,17,51000,1840,74,39300,5502,2751,393,393,393,393,9,9
76,紫电狻猊,93,17,51000,1635,75,40050,5607,2803,400,400,401,401,9,9
77,紫电狻猊,94,17,51000,1533,76,40800,5712,2856,408,408,408,408,9,9-1
78,紫电狻猊,95,17,51000,1431,77,41550,5817,2908,415,415,416,416,9,9-1
79,紫电狻猊,96,17,51000,1329,78,42300,5922,2961,423,423,423,423,9,9-1
80,紫电狻猊,97,17,51000,1226,79,43050,6027,3013,430,430,431,431,9,9-2
81,紫电狻猊,98,17,51000,1124,80,43800,6132,3066,438,438,438,438,9,9-2
82,紫电狻猊,99,17,51000,1022,81,44550,6237,3118,445,445,446,446,9,9-2
83,仙鸣彩凤,101,19,57000,920,82,45350,6349,3174,453,453,454,454,10,10
84,仙鸣彩凤,102,19,57000,1509,83,46150,6461,3230,461,461,462,462,10,10
85,仙鸣彩凤,103,19,57000,1341,84,46950,6573,3286,469,469,470,470,10,10
86,仙鸣彩凤,104,19,57000,1257,85,47750,6685,3342,477,477,478,478,10,10-1
87,仙鸣彩凤,105,19,57000,1173,86,48550,6797,3398,485,485,486,486,10,10-1
88,仙鸣彩凤,106,19,57000,1090,87,49350,6909,3454,493,493,494,494,10,10-1
89,仙鸣彩凤,107,19,57000,1006,88,50150,7021,3510,501,501,502,502,10,10-2
90,仙鸣彩凤,108,19,57000,922,89,50950,7133,3566,509,509,510,510,10,10-2
91,仙鸣彩凤,109,19,57000,838,90,51750,7245,3622,517,517,518,518,10,10-2
92,云海祥龙,111,22,66000,754,91,52600,7364,3682,526,526,526,526,11,11
93,云海祥龙,112,22,66000,1237,92,53450,7483,3741,534,534,535,535,11,11
94,云海祥龙,113,22,66000,1100,93,54300,7602,3801,543,543,543,543,11,11
95,云海祥龙,114,22,66000,1031,94,55150,7721,3860,551,551,552,552,11,11-1
96,云海祥龙,115,22,66000,962,95,56000,7840,3920,560,560,560,560,11,11-1
97,云海祥龙,116,22,66000,893,96,56850,7959,3979,568,568,569,569,11,11-1
98,云海祥龙,117,22,66000,825,97,57700,8078,4039,577,577,577,577,11,11-2
99,云海祥龙,118,22,66000,756,98,58550,8197,4098,585,585,586,586,11,11-2
100,云海祥龙,119,22,66000,687,99,59400,8316,4158,594,594,594,594,11,11-2
101,界空龙神,121,25,75000,619,100,60300,8442,4221,603,603,603,603,12,12
