id,objectid,color,part,health,attack,defence,hit,dodge,crit,toughness,percent
1,151201001,6,1,0,500,0,0,0,1000,0,1200
2,151202001,6,2,0,2000,1000,0,0,0,0,1100
3,151203001,6,3,50000,0,0,0,1000,0,0,1400
4,151204001,6,4,0,500,0,1000,0,0,0,1200
5,151205001,6,5,0,0,1000,0,0,0,1000,1400
6,151206001,6,6,50000,0,0,0,0,1000,0,1400
7,151207001,6,7,50000,500,0,0,0,0,0,1200
8,151208001,6,8,0,1500,0,0,0,0,1000,1100
9,152201001,5,1,0,350,0,0,0,700,0,1200
10,152202001,5,2,0,1400,700,0,0,0,0,1100
11,152203001,5,3,35000,0,0,0,700,0,0,1400
12,152204001,5,4,0,350,0,700,0,0,0,1200
13,152205001,5,5,0,0,700,0,0,0,700,1400
14,152206001,5,6,35000,0,0,0,0,700,0,1400
15,152207001,5,7,35000,350,0,0,0,0,0,1200
16,152208001,5,8,0,1050,0,0,0,0,700,1100
17,153201001,4,1,0,225,0,0,0,450,0,1200
18,153202001,4,2,0,900,450,0,0,0,0,1100
19,153203001,4,3,22500,0,0,0,450,0,0,1400
20,153204001,4,4,0,225,0,450,0,0,0,1200
21,153205001,4,5,0,0,450,0,0,0,450,1400
22,153206001,4,6,22500,0,0,0,0,450,0,1400
23,153207001,4,7,22500,225,0,0,0,0,0,1200
24,153208001,4,8,0,675,0,0,0,0,450,1100
25,154201001,3,1,0,125,0,0,0,250,0,1200
26,154202001,3,2,0,500,250,0,0,0,0,1100
27,154203001,3,3,12500,0,0,0,250,0,0,1400
28,154204001,3,4,0,125,0,250,0,0,0,1200
29,154205001,3,5,0,0,250,0,0,0,250,1400
30,154206001,3,6,12500,0,0,0,0,250,0,1400
31,154207001,3,7,12500,125,0,0,0,0,0,1200
32,154208001,3,8,0,375,0,0,0,0,250,1100
33,155201001,2,1,0,50,0,0,0,100,0,1200
34,155202001,2,2,0,200,100,0,0,0,0,1100
35,155203001,2,3,5000,0,0,0,100,0,0,1400
36,155204001,2,4,0,50,0,100,0,0,0,1200
37,155205001,2,5,0,0,100,0,0,0,100,1400
38,155206001,2,6,5000,0,0,0,0,100,0,1400
39,155207001,2,7,5000,50,0,0,0,0,0,1200
40,155208001,2,8,0,150,0,0,0,0,100,1100
41,156201001,1,1,0,25,0,0,0,50,0,1200
42,156202001,1,2,0,100,50,0,0,0,0,1100
43,156203001,1,3,2500,0,0,0,50,0,0,1400
44,156204001,1,4,0,25,0,50,0,0,0,1200
45,156205001,1,5,0,0,50,0,0,0,50,1400
46,156206001,1,6,2500,0,0,0,0,50,0,1400
47,156207001,1,7,2500,25,0,0,0,0,0,1200
48,156208001,1,8,0,75,0,0,0,0,50,1100
